===============D e t a i l================
ID	Region	Seg_X	Seg_Y	Pos_X	Pos_Y	HD	ESL	Stat	Frame Delay
0	Column55	0	599	0	6535	1	0	MISS	32.913
1	Column55	0	599	0	6536	1	0	HIT	576.037
2	Column55	0	599	0	6537	1	0	HIT	33.208
3	Column55	0	599	0	6538	1	0	HIT	34.387
4	Column55	0	599	0	6539	1	0	HIT	33.112
5	Column55	0	599	0	6540	1	0	HIT	34.127
6	Column55	0	599	0	6541	1	0	HIT	33.453
7	Column55	0	599	0	6542	1	0	HIT	33.909
8	Column55	0	599	0	6543	1	0	HIT	33.172
9	Column55	0	599	0	6544	1	0	HIT	33.596
10	Column55	0	599	0	6545	1	0	HIT	34.675
11	Column55	0	599	0	6546	1	0	HIT	33.104
12	Column55	0	600	0	6547	1	0	MISS	33.590
13	Column55	0	600	0	6548	1	0	HIT	188.608
14	Column55	0	600	0	6549	1	0	HIT	76.702
15	Column55	0	600	0	6550	1	0	HIT	85.023
16	Column55	0	600	0	6551	1	0	HIT	80.451
17	Column55	0	600	0	6552	1	0	HIT	92.424
18	Column55	0	600	0	6553	1	0	HIT	97.237
19	Column55	0	600	0	6554	1	0	HIT	79.151
20	Column55	0	600	0	6555	1	0	HIT	91.159
21	Column55	0	600	0	6556	1	0	HIT	86.077
22	Column55	0	600	0	6557	1	0	HIT	116.819
23	Column55	0	600	0	6558	1	0	HIT	70.411
24	Column55	0	601	0	6559	1	0	MISS	34.279
25	Column55	0	601	0	6560	1	0	HIT	186.264
26	Column55	0	601	0	6561	1	0	HIT	68.401
27	Column55	0	601	0	6562	1	0	HIT	99.017
28	Column55	0	601	0	6563	1	0	HIT	73.963
29	Column55	0	601	0	6564	1	0	HIT	135.399
30	Column55	0	601	0	6565	1	0	HIT	76.501
31	Column55	0	601	0	6566	1	0	HIT	86.832
32	Column55	0	601	0	6567	1	0	HIT	124.841
33	Column55	0	601	0	6568	1	0	HIT	86.029
34	Column55	0	601	0	6569	1	0	HIT	71.606
35	Column55	0	601	0	6570	1	0	HIT	64.357
36	Column55	0	602	0	6571	1	0	MISS	33.868
37	Column55	0	602	0	6572	1	0	HIT	184.561
38	Column55	0	602	0	6573	1	0	HIT	82.033
39	Column55	0	602	0	6574	1	0	HIT	146.270
40	Column55	0	602	0	6575	1	0	HIT	125.011
41	Column55	0	602	0	6576	1	0	HIT	162.068
42	Column55	0	602	0	6577	1	0	HIT	129.446
43	Column55	0	602	0	6578	1	0	HIT	83.053
44	Column55	0	602	0	6579	1	0	HIT	101.023
45	Column55	0	602	0	6580	1	0	HIT	78.446
46	Column55	0	602	0	6581	1	0	HIT	137.052
47	Column55	0	602	0	6582	1	0	HIT	209.310
48	Column55	0	603	0	6583	1	0	MISS	35.118
49	Column55	0	603	0	6584	1	0	HIT	323.851
50	Column55	0	603	0	6585	1	0	HIT	116.029
51	Column55	0	603	0	6586	1	0	HIT	100.077
52	Column55	0	603	0	6587	1	0	HIT	131.627
53	Column55	0	603	0	6588	1	0	HIT	101.292
54	Column55	0	603	0	6589	1	0	HIT	154.236
55	Column55	0	603	0	6590	1	0	HIT	104.718
56	Column55	0	603	0	6591	1	0	HIT	95.212
57	Column55	0	603	0	6592	1	0	HIT	101.706
58	Column55	0	603	0	6593	1	0	HIT	119.273
59	Column55	0	603	0	6594	1	0	HIT	105.285
60	Column55	0	604	0	6595	1	0	MISS	33.280
61	Column55	0	604	0	6596	1	0	HIT	205.549
62	Column55	0	604	0	6597	1	0	HIT	72.118
63	Column55	0	604	0	6598	1	0	HIT	123.338
64	Column55	0	604	0	6599	1	0	HIT	78.197
65	Column55	0	604	0	6600	1	0	HIT	78.901
66	Column55	0	604	0	6601	1	0	HIT	82.885
67	Column55	0	604	0	6602	1	0	HIT	81.189
68	Column55	0	604	0	6603	1	0	HIT	88.259
69	Column55	0	604	0	6604	1	0	HIT	68.394
70	Column55	0	604	0	6605	1	0	HIT	117.528
71	Column55	0	604	0	6606	1	0	HIT	103.546
72	Column55	0	605	0	6607	1	0	MISS	34.025
73	Column55	0	605	0	6608	1	0	HIT	295.218
74	Column55	0	605	0	6609	1	0	HIT	66.860
75	Column55	0	605	0	6610	1	0	HIT	81.324
76	Column55	0	605	0	6611	1	0	HIT	86.149
77	Column55	0	605	0	6612	1	0	HIT	84.102
78	Column55	0	605	0	6613	1	0	HIT	88.602
79	Column55	0	605	0	6614	1	0	HIT	99.317
80	Column55	0	605	0	6615	1	0	HIT	76.148
81	Column55	0	605	0	6616	1	0	HIT	142.972
82	Column55	0	605	0	6617	1	0	HIT	91.193
83	Column55	0	605	0	6618	1	0	HIT	78.976
84	Column55	0	606	0	6619	1	0	MISS	34.644
85	Column55	0	606	0	6620	1	0	HIT	757.073
86	Column55	0	606	0	6621	1	0	HIT	137.333
87	Column55	0	606	0	6622	1	0	HIT	101.766
88	Column55	0	606	0	6623	1	0	HIT	114.447
89	Column55	0	606	0	6624	1	0	HIT	109.591
90	Column55	0	606	0	6625	1	0	HIT	221.007
91	Column55	0	606	0	6626	1	0	HIT	199.935
92	Column55	0	606	0	6627	1	0	HIT	122.012
93	Column55	0	606	0	6628	1	0	HIT	118.680
94	Column55	0	606	0	6629	1	0	HIT	123.034
95	Column55	0	606	0	6630	1	0	HIT	93.201
96	Column55	0	607	0	6631	1	0	MISS	34.437
97	Column55	0	607	0	6632	1	0	HIT	241.290
98	Column55	0	607	0	6633	1	0	HIT	87.002
99	Column55	0	607	0	6634	1	0	HIT	88.202
100	Column55	0	607	0	6635	1	0	HIT	70.284
101	Column55	0	607	0	6636	1	0	HIT	71.964
102	Column55	0	607	0	6637	1	0	HIT	87.738
103	Column55	0	607	0	6638	1	0	HIT	62.309
104	Column55	0	607	0	6639	1	0	HIT	65.437
105	Column55	0	607	0	6640	1	0	HIT	65.807
106	Column55	0	607	0	6641	1	0	HIT	120.557
107	Column55	0	607	0	6642	1	0	HIT	77.407
108	Column55	0	608	0	6643	1	0	MISS	34.779
109	Column55	0	608	0	6644	1	0	HIT	233.432
110	Column55	0	608	0	6645	1	0	HIT	65.491
111	Column55	0	608	0	6646	1	0	HIT	70.932
112	Column55	0	608	0	6647	1	0	HIT	877.402
113	Column55	0	608	0	6648	1	0	HIT	34.786
114	Column55	0	608	0	6649	1	0	HIT	33.571
115	Column55	0	608	0	6650	1	0	HIT	33.834
116	Column55	0	608	0	6651	1	0	HIT	33.376
117	Column55	0	608	0	6652	1	0	HIT	33.362
118	Column55	0	608	0	6653	1	0	HIT	35.028
119	Column55	0	608	0	6654	1	0	HIT	35.411
120	Row7	1	561	1	6655	2	0	MISS	34.238
121	Row7	1	561	2	6655	2	0	HIT	216.345
122	Row7	1	561	3	6655	2	0	HIT	86.041
123	Row7	1	561	4	6655	2	0	HIT	81.764
124	Row7	1	561	5	6655	2	0	HIT	95.967
125	Row7	1	561	6	6655	2	0	HIT	139.870
126	Row7	1	561	7	6655	2	0	HIT	65.898
127	Row7	1	561	8	6655	2	0	HIT	70.844
128	Row7	1	561	9	6655	2	0	HIT	99.301
129	Row7	1	561	10	6655	2	0	HIT	72.114
130	Row7	1	561	11	6655	2	0	HIT	74.115
131	Row7	1	561	12	6655	2	0	HIT	77.978
132	Row7	2	561	13	6655	2	0	MISS	35.141
133	Row7	2	561	14	6655	2	0	HIT	220.729
134	Row7	2	561	15	6655	2	0	HIT	84.167
135	Row7	2	561	16	6655	2	0	HIT	93.196
136	Row7	2	561	17	6655	2	0	HIT	123.233
137	Row7	2	561	18	6655	2	0	HIT	104.212
138	Row7	2	561	19	6655	2	0	HIT	67.296
139	Row7	2	561	20	6655	2	0	HIT	81.494
140	Row7	2	561	21	6655	2	0	HIT	73.573
141	Row7	2	561	22	6655	2	0	HIT	75.122
142	Row7	2	561	23	6655	2	0	HIT	84.327
143	Row7	2	561	24	6655	2	0	HIT	86.744
144	Row7	3	561	25	6655	2	0	MISS	34.642
145	Row7	3	561	26	6655	2	0	HIT	209.395
146	Row7	3	561	27	6655	2	0	HIT	83.323
147	Row7	3	561	28	6655	2	0	HIT	87.041
148	Row7	3	561	29	6655	2	0	HIT	73.440
149	Row7	3	561	30	6655	2	0	HIT	83.167
150	Row7	3	561	31	6655	2	0	HIT	81.542
151	Row7	3	561	32	6655	2	0	HIT	85.374
152	Row7	3	561	33	6655	2	0	HIT	84.400
153	Row7	3	561	34	6655	2	0	HIT	91.650
154	Row7	3	561	35	6655	2	0	HIT	74.762
155	Row7	3	561	36	6655	2	0	HIT	73.115
156	Row7	4	561	37	6655	2	0	MISS	34.533
157	Row7	4	561	38	6655	2	0	HIT	277.867
158	Row7	4	561	39	6655	2	0	HIT	122.211
159	Row7	4	561	40	6655	2	0	HIT	65.018
160	Row7	4	561	41	6655	2	0	HIT	80.987
161	Row7	4	561	42	6655	2	0	HIT	66.726
162	Row7	4	561	43	6655	2	0	HIT	75.603
163	Row7	4	561	44	6655	2	0	HIT	79.160
164	Row7	4	561	45	6655	2	0	HIT	77.241
165	Row7	4	561	46	6655	2	0	HIT	81.225
166	Row7	4	561	47	6655	2	0	HIT	69.274
167	Row7	4	561	48	6655	2	0	HIT	84.409
168	Row7	5	561	49	6655	2	0	MISS	33.413
169	Row7	5	561	50	6655	2	0	HIT	309.948
170	Row7	5	561	51	6655	2	0	HIT	74.720
171	Row7	5	561	52	6655	2	0	HIT	86.956
172	Row7	5	561	53	6655	2	0	HIT	81.986
173	Row7	5	561	54	6655	2	0	HIT	92.067
174	Row7	5	561	55	6655	2	0	HIT	68.358
175	Row7	5	561	56	6655	2	0	HIT	75.873
176	Row7	5	561	57	6655	2	0	HIT	85.263
177	Row7	5	561	58	6655	2	0	HIT	102.278
178	Row7	5	561	59	6655	2	0	HIT	95.463
179	Row7	5	561	60	6655	2	0	HIT	88.420
180	Row7	6	561	61	6655	2	0	MISS	34.741
181	Row7	6	561	62	6655	2	0	HIT	177.775
182	Row7	6	561	63	6655	2	0	HIT	77.905
183	Row7	6	561	64	6655	2	0	HIT	77.703
184	Row7	6	561	65	6655	2	0	HIT	78.987
185	Row7	6	561	66	6655	2	0	HIT	97.774
186	Row7	6	561	67	6655	2	0	HIT	80.188
187	Row7	6	561	68	6655	2	0	HIT	79.718
188	Row7	6	561	69	6655	2	0	HIT	80.076
189	Row7	6	561	70	6655	2	0	HIT	108.869
190	Row7	6	561	71	6655	2	0	HIT	66.967
191	Row7	6	561	72	6655	2	0	HIT	77.632
192	Row7	7	561	73	6655	2	0	MISS	33.587
193	Row7	7	561	74	6655	2	0	HIT	177.120
194	Row7	7	561	75	6655	2	0	HIT	60.553
195	Row7	7	561	76	6655	2	0	HIT	94.728
196	Row7	7	561	77	6655	2	0	HIT	67.498
197	Row7	7	561	78	6655	2	0	HIT	94.916
198	Row7	7	561	79	6655	2	0	HIT	70.114
