===============D e t a i l================
ID	Region	Seg_X	Seg_Y	Pos_X	Pos_Y	HD	ESL	Stat	Frame Delay
0	Column1	0	1	0	1	1	0	MISS	33.110
1	Column1	0	1	0	2	1	0	HIT	1447.022
2	Column1	0	1	0	3	1	0	HIT	33.608
3	Column1	0	1	0	4	1	0	HIT	34.562
4	Column1	0	1	0	5	1	0	HIT	34.880
5	Column1	0	1	0	6	1	0	HIT	34.456
6	Column1	0	1	0	7	1	0	HIT	34.021
7	Column1	0	1	0	8	1	0	HIT	34.557
8	Column1	0	1	0	9	1	0	HIT	34.878
9	Column1	0	1	0	10	1	0	HIT	34.466
10	Column1	0	1	0	11	1	0	HIT	33.694
11	Column1	0	1	0	12	1	0	HIT	34.763
12	Column1	0	2	0	13	1	0	MISS	34.514
13	Column1	0	2	0	14	1	0	HIT	243.984
14	Column1	0	2	0	15	1	0	HIT	71.746
15	Column1	0	2	0	16	1	0	HIT	127.373
16	Column1	0	2	0	17	1	0	HIT	67.033
17	Column1	0	2	0	18	1	0	HIT	101.242
18	Column1	0	2	0	19	1	0	HIT	80.074
19	Column1	0	2	0	20	1	0	HIT	83.386
20	Column1	0	2	0	21	1	0	HIT	102.821
21	Column1	0	2	0	22	1	0	HIT	116.093
22	Column1	0	2	0	23	1	0	HIT	104.089
23	Column1	0	2	0	24	1	0	HIT	99.103
24	Column1	0	3	0	25	1	0	MISS	35.883
25	Column1	0	3	0	26	1	0	HIT	317.490
26	Column1	0	3	0	27	1	0	HIT	86.615
27	Column1	0	3	0	28	1	0	HIT	83.431
28	Column1	0	3	0	29	1	0	HIT	100.089
29	Column1	0	3	0	30	1	0	HIT	142.660
30	Column1	0	3	0	31	1	0	HIT	82.993
31	Column1	0	3	0	32	1	0	HIT	115.150
32	Column1	0	3	0	33	1	0	HIT	70.225
33	Column1	0	3	0	34	1	0	HIT	70.083
34	Column1	0	3	0	35	1	0	HIT	73.975
35	Column1	0	3	0	36	1	0	HIT	76.044
36	Column1	0	4	0	37	1	0	MISS	33.982
37	Column1	0	4	0	38	1	0	HIT	206.577
38	Column1	0	4	0	39	1	0	HIT	73.271
39	Column1	0	4	0	40	1	0	HIT	69.456
40	Column1	0	4	0	41	1	0	HIT	67.668
41	Column1	0	4	0	42	1	0	HIT	94.165
42	Column1	0	4	0	43	1	0	HIT	66.717
43	Column1	0	4	0	44	1	0	HIT	121.792
44	Column1	0	4	0	45	1	0	HIT	63.439
45	Column1	0	4	0	46	1	0	HIT	92.341
46	Column1	0	4	0	47	1	0	HIT	94.235
47	Column1	0	4	0	48	1	0	HIT	107.658
48	Column1	0	5	0	49	1	0	MISS	33.512
49	Column1	0	5	0	50	1	0	HIT	169.922
50	Column1	0	5	0	51	1	0	HIT	96.127
51	Column1	0	5	0	52	1	0	HIT	52.642
52	Column1	0	5	0	53	1	0	HIT	67.984
53	Column1	0	5	0	54	1	0	HIT	100.606
54	Column1	0	5	0	55	1	0	HIT	104.841
55	Column1	0	5	0	56	1	0	HIT	59.994
56	Column1	0	5	0	57	1	0	HIT	118.688
57	Column1	0	5	0	58	1	0	HIT	45.078
58	Column1	0	5	0	59	1	0	HIT	88.016
59	Column1	0	5	0	60	1	0	HIT	117.265
60	Column1	0	6	0	61	1	0	MISS	34.710
61	Column1	0	6	0	62	1	0	HIT	175.565
62	Column1	0	6	0	63	1	0	HIT	90.138
63	Column1	0	6	0	64	1	0	HIT	37.760
64	Column1	0	6	0	65	1	0	HIT	112.573
65	Column1	0	6	0	66	1	0	HIT	47.128
66	Column1	0	6	0	67	1	0	HIT	50.166
67	Column1	0	6	0	68	1	0	HIT	58.676
68	Column1	0	6	0	69	1	0	HIT	109.984
69	Column1	0	6	0	70	1	0	HIT	68.832
70	Column1	0	6	0	71	1	0	HIT	54.722
71	Column1	0	6	0	72	1	0	HIT	99.320
72	Column1	0	7	0	73	1	0	MISS	33.445
73	Column1	0	7	0	74	1	0	HIT	222.408
74	Column1	0	7	0	75	1	0	HIT	54.127
75	Column1	0	7	0	76	1	0	HIT	51.655
76	Column1	0	7	0	77	1	0	HIT	55.605
77	Column1	0	7	0	78	1	0	HIT	82.349
78	Column1	0	7	0	79	1	0	HIT	99.802
79	Column1	0	7	0	80	1	0	HIT	93.863
80	Column1	0	7	0	81	1	0	HIT	52.667
81	Column1	0	7	0	82	1	0	HIT	52.779
82	Column1	0	7	0	83	1	0	HIT	97.039
83	Column1	0	7	0	84	1	0	HIT	56.382
84	Column1	0	8	0	85	1	0	MISS	34.201
85	Column1	0	8	0	86	1	0	HIT	178.677
86	Column1	0	8	0	87	1	0	HIT	56.833
87	Column1	0	8	0	88	1	0	HIT	40.550
88	Column1	0	8	0	89	1	0	HIT	84.358
89	Column1	0	8	0	90	1	0	HIT	65.932
90	Column1	0	8	0	91	1	0	HIT	68.120
91	Column1	0	8	0	92	1	0	HIT	97.797
92	Column1	0	8	0	93	1	0	HIT	76.642
93	Column1	0	8	0	94	1	0	HIT	93.720
94	Column1	0	8	0	95	1	0	HIT	50.365
95	Column1	0	8	0	96	1	0	HIT	70.551
96	Column1	0	9	0	97	1	0	MISS	34.210
97	Column1	0	9	0	98	1	0	HIT	145.860
98	Column1	0	9	0	99	1	0	HIT	80.420
99	Column1	0	9	0	100	1	0	HIT	34.646
100	Column1	0	9	0	101	1	0	HIT	98.656
101	Column1	0	9	0	102	1	0	HIT	57.861
102	Column1	0	9	0	103	1	0	HIT	60.543
103	Column1	0	9	0	104	1	0	HIT	100.600
104	Column1	0	9	0	105	1	0	HIT	49.006
105	Column1	0	9	0	106	1	0	HIT	52.983
106	Column1	0	9	0	107	1	0	HIT	106.837
107	Column1	0	9	0	108	1	0	HIT	41.345
108	Column1	0	10	0	109	1	0	MISS	33.361
109	Column1	0	10	0	110	1	0	HIT	176.278
110	Column1	0	10	0	111	1	0	HIT	45.699
111	Column1	0	10	0	112	1	0	HIT	63.431
112	Column1	0	10	0	113	1	0	HIT	57.801
113	Column1	0	10	0	114	1	0	HIT	74.536
114	Column1	0	10	0	115	1	0	HIT	79.946
115	Column1	0	10	0	116	1	0	HIT	58.251
116	Column1	0	10	0	117	1	0	HIT	47.004
117	Column1	0	10	0	118	1	0	HIT	50.554
118	Column1	0	10	0	119	1	0	HIT	63.167
119	Column1	0	10	0	120	1	0	HIT	57.928
120	Row331	1	11	1	121	2	1	MISS	21.162
121	Row331	1	11	2	121	2	1	HIT	172.481
122	Row331	1	11	3	121	2	1	HIT	42.389
123	Row331	1	11	4	121	2	1	HIT	65.343
124	Row331	1	11	5	121	2	1	HIT	64.535
125	Row331	1	11	6	121	2	1	HIT	62.445
126	Row331	1	11	7	121	2	1	HIT	53.132
127	Row331	1	11	8	121	2	1	HIT	74.775
128	Row331	1	11	9	121	2	1	HIT	46.070
129	Row331	1	11	10	121	2	1	HIT	65.333
130	Row331	1	11	11	121	2	1	HIT	60.606
131	Row331	1	11	12	121	2	1	HIT	73.610
132	Row331	2	11	13	121	2	1	MISS	21.393
133	Row331	2	11	14	121	2	1	HIT	176.073
134	Row331	2	11	15	121	2	1	HIT	37.281
135	Row331	2	11	16	121	2	1	HIT	65.882
136	Row331	2	11	17	121	2	1	HIT	65.102
137	Row331	2	11	18	121	2	1	HIT	112.165
138	Row331	2	11	19	121	2	1	HIT	40.350
139	Row331	2	11	20	121	2	1	HIT	77.871
140	Row331	2	11	21	121	2	1	HIT	96.772
141	Row331	2	11	22	121	2	1	HIT	40.658
142	Row331	2	11	23	121	2	1	HIT	52.096
143	Row331	2	11	24	121	2	1	HIT	97.890
144	Row331	3	11	25	121	2	1	MISS	20.213
145	Row331	3	11	26	121	2	1	HIT	146.595
146	Row331	3	11	27	121	2	1	HIT	55.153
147	Row331	3	11	28	121	2	1	HIT	120.425
148	Row331	3	11	29	121	2	1	HIT	50.454
149	Row331	3	11	30	121	2	1	HIT	52.399
150	Row331	3	11	31	121	2	1	HIT	70.210
151	Row331	3	11	32	121	2	1	HIT	43.988
152	Row331	3	11	33	121	2	1	HIT	87.073
153	Row331	3	11	34	121	2	1	HIT	40.087
154	Row331	3	11	35	121	2	1	HIT	89.448
155	Row331	3	11	36	121	2	1	HIT	50.866
156	Row331	4	11	37	121	2	1	MISS	20.995
157	Row331	4	11	38	121	2	1	HIT	168.893
158	Row331	4	11	39	121	2	1	HIT	96.709
159	Row331	4	11	40	121	2	1	HIT	29.955
160	Row331	4	11	41	121	2	1	HIT	93.541
161	Row331	4	11	42	121	2	1	HIT	43.567
162	Row331	4	11	43	121	2	1	HIT	96.595
163	Row331	4	11	44	121	2	1	HIT	41.012
164	Row331	4	11	45	121	2	1	HIT	112.809
165	Row331	4	11	46	121	2	1	HIT	61.616
166	Row331	4	11	47	121	2	1	HIT	45.339
167	Row331	4	11	48	121	2	1	HIT	51.992
168	Row331	5	11	49	121	2	1	MISS	23.089
169	Row331	5	11	50	121	2	1	HIT	148.074
170	Row331	5	11	51	121	2	1	HIT	58.261
171	Row331	5	11	52	121	2	1	HIT	60.888
172	Row331	5	11	53	121	2	1	HIT	28.151
173	Row331	5	11	54	121	2	1	HIT	41.026
174	Row331	5	11	55	121	2	1	HIT	100.600
175	Row331	5	11	56	121	2	1	HIT	47.117
176	Row331	5	11	57	121	2	1	HIT	43.201
177	Row331	5	11	58	121	2	1	HIT	81.363
178	Row331	5	11	59	121	2	1	HIT	41.439
179	Row331	5	11	60	121	2	1	HIT	53.467
180	Row331	6	11	61	121	2	1	MISS	20.573
181	Row331	6	11	62	121	2	1	HIT	152.349
182	Row331	6	11	63	121	2	1	HIT	50.600
183	Row331	6	11	64	121	2	1	HIT	72.058
184	Row331	6	11	65	121	2	1	HIT	39.684
185	Row331	6	11	66	121	2	1	HIT	52.227
186	Row331	6	11	67	121	2	1	HIT	63.370
187	Row331	6	11	68	121	2	1	HIT	85.151
188	Row331	6	11	69	121	2	1	HIT	101.048
189	Row331	6	11	70	121	2	1	HIT	42.399
190	Row331	6	11	71	121	2	1	HIT	109.192
191	Row331	6	11	72	121	2	1	HIT	70.079
192	Row331	7	11	73	121	2	1	MISS	20.279
193	Row331	7	11	74	121	2	1	HIT	154.559
194	Row331	7	11	75	121	2	1	HIT	63.553
195	Row331	7	11	76	121	2	1	HIT	54.467
196	Row331	7	11	77	121	2	1	HIT	69.168
197	Row331	7	11	78	121	2	1	HIT	113.229
198	Row331	7	11	79	121	2	1	HIT	41.490
199	Row331	7	11	80	121	2	1	HIT	114.141
200	Row331	7	11	81	121	2	1	HIT	40.319
201	Row331	7	11	82	121	2	1	HIT	98.876
202	Row331	7	11	83	121	2	1	HIT	38.480
203	Row331	7	11	84	121	2	1	HIT	105.912
204	Row331	8	11	85	121	2	1	MISS	20.751
205	Row331	8	11	86	121	2	1	HIT	150.865
206	Row331	8	11	87	121	2	1	HIT	104.298
207	Row331	8	11	88	121	2	1	HIT	89.434
208	Row331	8	11	89	121	2	1	HIT	52.884
209	Row331	8	11	90	121	2	1	HIT	81.628
210	Row331	8	11	91	121	2	1	HIT	53.473
211	Row331	8	11	92	121	2	1	HIT	94.520
212	Row331	8	11	93	121	2	1	HIT	41.393
213	Row331	8	11	94	121	2	1	HIT	37.407
214	Row331	8	11	95	121	2	1	HIT	86.861
215	Row331	8	11	96	121	2	1	HIT	80.622
216	Row331	9	11	97	121	2	1	MISS	21.109
217	Row331	9	11	98	121	2	1	HIT	192.479
218	Row331	9	11	99	121	2	1	HIT	42.729
219	Row331	9	11	100	121	2	1	HIT	55.895
220	Row331	9	11	101	121	2	1	HIT	67.773
221	Row331	9	11	102	121	2	1	HIT	110.995
222	Row331	9	11	103	121	2	1	HIT	50.902
223	Row331	9	11	104	121	2	1	HIT	78.466
224	Row331	9	11	105	121	2	1	HIT	44.697
225	Row331	9	11	106	121	2	1	HIT	67.207
226	Row331	9	11	107	121	2	1	HIT	95.130
227	Row331	9	11	108	121	2	1	HIT	46.427
228	Row331	10	11	109	121	2	1	MISS	20.553
229	Row331	10	11	110	121	2	1	HIT	185.527
230	Row331	10	11	111	121	2	1	HIT	106.051
231	Row331	10	11	112	121	2	1	HIT	65.782
232	Row331	10	11	113	121	2	1	HIT	47.577
233	Row331	10	11	114	121	2	1	HIT	76.910
234	Row331	10	11	115	121	2	1	HIT	44.394
235	Row331	10	11	116	121	2	1	HIT	101.373
236	Row331	10	11	117	121	2	1	HIT	48.420
237	Row331	10	11	118	121	2	1	HIT	108.401
238	Row331	10	11	119	121	2	1	HIT	40.603
239	Row331	10	11	120	121	2	1	HIT	55.393
240	Row332	12	11	122	121	2	1	MISS	21.607
241	Row332	12	11	123	121	2	1	HIT	175.151
242	Row332	12	11	124	121	2	1	HIT	88.472
243	Row332	12	11	125	121	2	1	HIT	42.586
244	Row332	12	11	126	121	2	1	HIT	103.807
245	Row332	12	11	127	121	2	1	HIT	45.075
246	Row332	12	11	128	121	2	1	HIT	80.667
247	Row332	12	11	129	121	2	1	HIT	100.455
248	Row332	12	11	130	121	2	1	HIT	47.192
249	Row332	12	11	131	121	2	1	HIT	99.923
250	Row332	12	11	132	121	2	1	HIT	46.225
251	Row332	12	11	133	121	2	1	HIT	64.408
252	Row332	13	11	134	121	2	1	MISS	21.594
253	Row332	13	11	135	121	2	1	HIT	170.684
254	Row332	13	11	136	121	2	1	HIT	49.047
