===============D e t a i l================
ID	Region	Seg_X	Seg_Y	Pos_X	Pos_Y	HD	ESL	Stat	Frame Delay
0	Column1	0	1	0	1	1	0	MISS	34.074
1	Column1	0	1	0	2	1	0	HIT	954.931
2	Column1	0	1	0	3	1	0	HIT	33.755
3	Column1	0	1	0	4	1	0	HIT	34.667
4	Column1	0	1	0	5	1	0	HIT	34.176
5	Column1	0	1	0	6	1	0	HIT	33.898
6	Column1	0	1	0	7	1	0	HIT	33.951
7	Column1	0	1	0	8	1	0	HIT	33.953
8	Column1	0	1	0	9	1	0	HIT	69.461
9	Column1	0	1	0	10	1	0	HIT	73.767
10	Column1	0	1	0	11	1	0	HIT	69.864
11	Column1	0	1	0	12	1	0	HIT	213.223
12	Column1	0	2	0	13	1	0	MISS	34.563
13	Column1	0	2	0	14	1	0	HIT	272.478
14	Column1	0	2	0	15	1	0	HIT	65.285
15	Column1	0	2	0	16	1	0	HIT	99.225
16	Column1	0	2	0	17	1	0	HIT	231.419
17	Column1	0	2	0	18	1	0	HIT	112.014
18	Column1	0	2	0	19	1	0	HIT	57.588
19	Column1	0	2	0	20	1	0	HIT	159.575
20	Column1	0	2	0	21	1	0	HIT	148.294
21	Column1	0	2	0	22	1	0	HIT	117.340
22	Column1	0	2	0	23	1	0	HIT	191.805
23	Column1	0	2	0	24	1	0	HIT	144.702
24	Column1	0	3	0	25	1	0	MISS	34.059
25	Column1	0	3	0	26	1	0	HIT	401.056
26	Column1	0	3	0	27	1	0	HIT	105.005
27	Column1	0	3	0	28	1	0	HIT	231.801
28	Column1	0	3	0	29	1	0	HIT	53.805
29	Column1	0	3	0	30	1	0	HIT	67.634
30	Column1	0	3	0	31	1	0	HIT	177.402
31	Column1	0	3	0	32	1	0	HIT	60.804
32	Column1	0	3	0	33	1	0	HIT	189.117
33	Column1	0	3	0	34	1	0	HIT	56.638
34	Column1	0	3	0	35	1	0	HIT	56.862
35	Column1	0	3	0	36	1	0	HIT	69.408
36	Column1	0	4	0	37	1	0	MISS	33.288
37	Column1	0	4	0	38	1	0	HIT	243.781
38	Column1	0	4	0	39	1	0	HIT	115.419
39	Column1	0	4	0	40	1	0	HIT	114.681
40	Column1	0	4	0	41	1	0	HIT	162.146
41	Column1	0	4	0	42	1	0	HIT	111.443
42	Column1	0	4	0	43	1	0	HIT	176.780
43	Column1	0	4	0	44	1	0	HIT	121.060
44	Column1	0	4	0	45	1	0	HIT	103.722
45	Column1	0	4	0	46	1	0	HIT	70.854
46	Column1	0	4	0	47	1	0	HIT	107.513
47	Column1	0	4	0	48	1	0	HIT	167.580
48	Column1	0	5	0	49	1	0	MISS	33.095
49	Column1	0	5	0	50	1	0	HIT	248.222
50	Column1	0	5	0	51	1	0	HIT	96.530
51	Column1	0	5	0	52	1	0	HIT	245.370
52	Column1	0	5	0	53	1	0	HIT	56.612
53	Column1	0	5	0	54	1	0	HIT	68.866
54	Column1	0	5	0	55	1	0	HIT	168.132
55	Column1	0	5	0	56	1	0	HIT	103.949
56	Column1	0	5	0	57	1	0	HIT	115.326
57	Column1	0	5	0	58	1	0	HIT	130.948
58	Column1	0	5	0	59	1	0	HIT	100.086
59	Column1	0	5	0	60	1	0	HIT	92.769
60	Column1	0	6	0	61	1	0	MISS	34.508
61	Column1	0	6	0	62	1	0	HIT	318.410
62	Column1	0	6	0	63	1	0	HIT	294.065
63	Column1	0	6	0	64	1	0	HIT	57.824
64	Column1	0	6	0	65	1	0	HIT	115.224
65	Column1	0	6	0	66	1	0	HIT	82.920
66	Column1	0	6	0	67	1	0	HIT	70.540
67	Column1	0	6	0	68	1	0	HIT	221.896
68	Column1	0	6	0	69	1	0	HIT	143.553
69	Column1	0	6	0	70	1	0	HIT	233.171
70	Column1	0	6	0	71	1	0	HIT	133.024
71	Column1	0	6	0	72	1	0	HIT	67.748
72	Column1	0	7	0	73	1	0	MISS	33.256
73	Column1	0	7	0	74	1	0	HIT	182.768
74	Column1	0	7	0	75	1	0	HIT	210.197
75	Column1	0	7	0	76	1	0	HIT	90.698
76	Column1	0	7	0	77	1	0	HIT	173.237
77	Column1	0	7	0	78	1	0	HIT	61.006
78	Column1	0	7	0	79	1	0	HIT	149.391
79	Column1	0	7	0	80	1	0	HIT	62.136
80	Column1	0	7	0	81	1	0	HIT	225.786
81	Column1	0	7	0	82	1	0	HIT	152.757
82	Column1	0	7	0	83	1	0	HIT	197.991
83	Column1	0	7	0	84	1	0	HIT	57.458
84	Column1	0	8	0	85	1	0	MISS	34.691
85	Column1	0	8	0	86	1	0	HIT	299.551
86	Column1	0	8	0	87	1	0	HIT	118.811
87	Column1	0	8	0	88	1	0	HIT	150.247
88	Column1	0	8	0	89	1	0	HIT	87.953
89	Column1	0	8	0	90	1	0	HIT	117.618
90	Column1	0	8	0	91	1	0	HIT	78.188
91	Column1	0	8	0	92	1	0	HIT	465.651
92	Column1	0	8	0	93	1	0	HIT	308.022
93	Column1	0	8	0	94	1	0	HIT	52.588
94	Column1	0	8	0	95	1	0	HIT	200.892
95	Column1	0	8	0	96	1	0	HIT	127.676
96	Column1	0	9	0	97	1	0	MISS	34.572
97	Column1	0	9	0	98	1	0	HIT	333.583
98	Column1	0	9	0	99	1	0	HIT	107.989
99	Column1	0	9	0	100	1	0	HIT	77.137
100	Column1	0	9	0	101	1	0	HIT	96.856
101	Column1	0	9	0	102	1	0	HIT	124.604
102	Column1	0	9	0	103	1	0	HIT	62.228
103	Column1	0	9	0	104	1	0	HIT	227.404
104	Column1	0	9	0	105	1	0	HIT	55.982
105	Column1	0	9	0	106	1	0	HIT	152.532
106	Column1	0	9	0	107	1	0	HIT	59.872
107	Column1	0	9	0	108	1	0	HIT	116.501
108	Column1	0	10	0	109	1	0	MISS	34.398
109	Column1	0	10	0	110	1	0	HIT	227.726
110	Column1	0	10	0	111	1	0	HIT	166.840
111	Column1	0	10	0	112	1	0	HIT	157.423
112	Column1	0	10	0	113	1	0	HIT	167.221
113	Column1	0	10	0	114	1	0	HIT	45.647
114	Column1	0	10	0	115	1	0	HIT	137.954
115	Column1	0	10	0	116	1	0	HIT	62.519
