===============D e t a i l================
ID	Region	Seg_X	Seg_Y	Pos_X	Pos_Y	HD	ESL	Stat	Frame Delay
0	Column55	0	599	0	6535	1	0	MISS	33.633
1	Column55	0	599	0	6536	1	0	HIT	549.941
2	Column55	0	599	0	6537	1	0	HIT	34.451
3	Column55	0	599	0	6538	1	0	HIT	34.955
4	Column55	0	599	0	6539	1	0	HIT	116.911
5	Column55	0	599	0	6540	1	0	HIT	170.290
6	Column55	0	599	0	6541	1	0	HIT	151.369
7	Column55	0	599	0	6542	1	0	HIT	154.357
8	Column55	0	599	0	6543	1	0	HIT	206.317
9	Column55	0	599	0	6544	1	0	HIT	177.368
10	Column55	0	599	0	6545	1	0	HIT	247.673
11	Column55	0	599	0	6546	1	0	HIT	221.789
12	Column55	0	600	0	6547	1	0	MISS	34.237
13	Column55	0	600	0	6548	1	0	HIT	566.264
14	Column55	0	600	0	6549	1	0	HIT	149.566
15	Column55	0	600	0	6550	1	0	HIT	152.164
16	Column55	0	600	0	6551	1	0	HIT	132.559
17	Column55	0	600	0	6552	1	0	HIT	124.252
18	Column55	0	600	0	6553	1	0	HIT	122.105
19	Column55	0	600	0	6554	1	0	HIT	107.078
20	Column55	0	600	0	6555	1	0	HIT	153.059
21	Column55	0	600	0	6556	1	0	HIT	171.569
22	Column55	0	600	0	6557	1	0	HIT	144.045
23	Column55	0	600	0	6558	1	0	HIT	137.640
24	Column55	0	601	0	6559	1	0	MISS	35.990
25	Column55	0	601	0	6560	1	0	HIT	364.193
26	Column55	0	601	0	6561	1	0	HIT	113.285
27	Column55	0	601	0	6562	1	0	HIT	243.563
28	Column55	0	601	0	6563	1	0	HIT	120.591
29	Column55	0	601	0	6564	1	0	HIT	138.114
30	Column55	0	601	0	6565	1	0	HIT	117.833
31	Column55	0	601	0	6566	1	0	HIT	106.814
32	Column55	0	601	0	6567	1	0	HIT	114.575
33	Column55	0	601	0	6568	1	0	HIT	93.516
34	Column55	0	601	0	6569	1	0	HIT	121.466
35	Column55	0	601	0	6570	1	0	HIT	102.932
36	Column55	0	602	0	6571	1	0	MISS	34.854
37	Column55	0	602	0	6572	1	0	HIT	324.046
38	Column55	0	602	0	6573	1	0	HIT	148.355
39	Column55	0	602	0	6574	1	0	HIT	142.557
40	Column55	0	602	0	6575	1	0	HIT	134.918
41	Column55	0	602	0	6576	1	0	HIT	148.488
42	Column55	0	602	0	6577	1	0	HIT	138.918
43	Column55	0	602	0	6578	1	0	HIT	122.844
44	Column55	0	602	0	6579	1	0	HIT	135.537
45	Column55	0	602	0	6580	1	0	HIT	124.416
46	Column55	0	602	0	6581	1	0	HIT	133.005
47	Column55	0	602	0	6582	1	0	HIT	206.665
48	Column55	0	603	0	6583	1	0	MISS	34.595
49	Column55	0	603	0	6584	1	0	HIT	1272.598
50	Column55	0	603	0	6585	1	0	HIT	189.970
51	Column55	0	603	0	6586	1	0	HIT	180.902
52	Column55	0	603	0	6587	1	0	HIT	160.204
53	Column55	0	603	0	6588	1	0	HIT	200.921
54	Column55	0	603	0	6589	1	0	HIT	719.443
55	Column55	0	603	0	6590	1	0	HIT	410.408
56	Column55	0	603	0	6591	1	0	HIT	284.698
57	Column55	0	603	0	6592	1	0	HIT	457.827
58	Column55	0	603	0	6593	1	0	HIT	329.264
59	Column55	0	603	0	6594	1	0	HIT	270.536
60	Column55	0	604	0	6595	1	0	MISS	35.976
61	Column55	0	604	0	6596	1	0	HIT	730.204
62	Column55	0	604	0	6597	1	0	HIT	234.563
63	Column55	0	604	0	6598	1	0	HIT	271.911
64	Column55	0	604	0	6599	1	0	HIT	145.323
65	Column55	0	604	0	6600	1	0	HIT	131.959
66	Column55	0	604	0	6601	1	0	HIT	93.049
67	Column55	0	604	0	6602	1	0	HIT	122.056
68	Column55	0	604	0	6603	1	0	HIT	728.826
69	Column55	0	604	0	6604	1	0	HIT	405.116
70	Column55	0	604	0	6605	1	0	HIT	293.563
71	Column55	0	604	0	6606	1	0	HIT	190.450
72	Column55	0	605	0	6607	1	0	MISS	34.481
73	Column55	0	605	0	6608	1	0	HIT	522.835
74	Column55	0	605	0	6609	1	0	HIT	280.976
75	Column55	0	605	0	6610	1	0	HIT	391.999
76	Column55	0	605	0	6611	1	0	HIT	300.950
77	Column55	0	605	0	6612	1	0	HIT	309.323
78	Column55	0	605	0	6613	1	0	HIT	223.716
79	Column55	0	605	0	6614	1	0	HIT	276.029
80	Column55	0	605	0	6615	1	0	HIT	179.776
81	Column55	0	605	0	6616	1	0	HIT	169.805
82	Column55	0	605	0	6617	1	0	HIT	119.707
83	Column55	0	605	0	6618	1	0	HIT	131.226
84	Column55	0	606	0	6619	1	0	MISS	34.330
85	Column55	0	606	0	6620	1	0	HIT	364.650
86	Column55	0	606	0	6621	1	0	HIT	130.233
87	Column55	0	606	0	6622	1	0	HIT	104.674
88	Column55	0	606	0	6623	1	0	HIT	117.279
89	Column55	0	606	0	6624	1	0	HIT	91.939
90	Column55	0	606	0	6625	1	0	HIT	120.429
91	Column55	0	606	0	6626	1	0	HIT	143.153
92	Column55	0	606	0	6627	1	0	HIT	218.880
93	Column55	0	606	0	6628	1	0	HIT	248.249
94	Column55	0	606	0	6629	1	0	HIT	197.684
95	Column55	0	606	0	6630	1	0	HIT	194.626
96	Column55	0	607	0	6631	1	0	MISS	33.933
97	Column55	0	607	0	6632	1	0	HIT	468.942
98	Column55	0	607	0	6633	1	0	HIT	170.535
99	Column55	0	607	0	6634	1	0	HIT	158.106
100	Column55	0	607	0	6635	1	0	HIT	199.569
101	Column55	0	607	0	6636	1	0	HIT	241.683
102	Column55	0	607	0	6637	1	0	HIT	322.745
103	Column55	0	607	0	6638	1	0	HIT	221.077
104	Column55	0	607	0	6639	1	0	HIT	196.501
105	Column55	0	607	0	6640	1	0	HIT	216.129
106	Column55	0	607	0	6641	1	0	HIT	212.838
107	Column55	0	607	0	6642	1	0	HIT	159.139
108	Column55	0	608	0	6643	1	0	MISS	34.025
109	Column55	0	608	0	6644	1	0	HIT	444.282
110	Column55	0	608	0	6645	1	0	HIT	157.464
111	Column55	0	608	0	6646	1	0	HIT	201.923
112	Column55	0	608	0	6647	1	0	HIT	185.732
113	Column55	0	608	0	6648	1	0	HIT	163.233
114	Column55	0	608	0	6649	1	0	HIT	284.065
115	Column55	0	608	0	6650	1	0	HIT	217.493
116	Column55	0	608	0	6651	1	0	HIT	199.115
117	Column55	0	608	0	6652	1	0	HIT	181.694
118	Column55	0	608	0	6653	1	0	HIT	175.526
119	Column55	0	608	0	6654	1	0	HIT	219.164
120	Row7	1	561	1	6655	2	0	MISS	34.904
121	Row7	1	561	2	6655	2	0	HIT	491.537
122	Row7	1	561	3	6655	2	0	HIT	131.592
123	Row7	1	561	4	6655	2	0	HIT	189.565
124	Row7	1	561	5	6655	2	0	HIT	142.679
125	Row7	1	561	6	6655	2	0	HIT	144.285
126	Row7	1	561	7	6655	2	0	HIT	178.597
127	Row7	1	561	8	6655	2	0	HIT	143.895
128	Row7	1	561	9	6655	2	0	HIT	143.401
129	Row7	1	561	10	6655	2	0	HIT	249.870
130	Row7	1	561	11	6655	2	0	HIT	149.934
131	Row7	1	561	12	6655	2	0	HIT	171.081
132	Row7	2	561	13	6655	2	0	MISS	34.220
133	Row7	2	561	14	6655	2	0	HIT	576.405
134	Row7	2	561	15	6655	2	0	HIT	223.149
135	Row7	2	561	16	6655	2	0	HIT	156.833
136	Row7	2	561	17	6655	2	0	HIT	130.238
137	Row7	2	561	18	6655	2	0	HIT	99.127
138	Row7	2	561	19	6655	2	0	HIT	106.901
139	Row7	2	561	20	6655	2	0	HIT	196.933
140	Row7	2	561	21	6655	2	0	HIT	280.647
141	Row7	2	561	22	6655	2	0	HIT	163.561
142	Row7	2	561	23	6655	2	0	HIT	190.823
143	Row7	2	561	24	6655	2	0	HIT	135.358
144	Row7	3	561	25	6655	2	0	MISS	34.327
145	Row7	3	561	26	6655	2	0	HIT	350.339
146	Row7	3	561	27	6655	2	0	HIT	167.743
147	Row7	3	561	28	6655	2	0	HIT	181.062
148	Row7	3	561	29	6655	2	0	HIT	183.592
149	Row7	3	561	30	6655	2	0	HIT	167.617
150	Row7	3	561	31	6655	2	0	HIT	140.983
151	Row7	3	561	32	6655	2	0	HIT	178.805
152	Row7	3	561	33	6655	2	0	HIT	170.922
153	Row7	3	561	34	6655	2	0	HIT	106.994
154	Row7	3	561	35	6655	2	0	HIT	100.079
155	Row7	3	561	36	6655	2	0	HIT	143.440
156	Row7	4	561	37	6655	2	0	MISS	34.671
157	Row7	4	561	38	6655	2	0	HIT	346.071
158	Row7	4	561	39	6655	2	0	HIT	294.953
159	Row7	4	561	40	6655	2	0	HIT	197.120
160	Row7	4	561	41	6655	2	0	HIT	87.581
161	Row7	4	561	42	6655	2	0	HIT	117.999
162	Row7	4	561	43	6655	2	0	HIT	105.067
163	Row7	4	561	44	6655	2	0	HIT	102.288
164	Row7	4	561	45	6655	2	0	HIT	94.199
165	Row7	4	561	46	6655	2	0	HIT	145.202
166	Row7	4	561	47	6655	2	0	HIT	87.751
167	Row7	4	561	48	6655	2	0	HIT	105.650
168	Row7	5	561	49	6655	2	0	MISS	33.901
169	Row7	5	561	50	6655	2	0	HIT	262.995
170	Row7	5	561	51	6655	2	0	HIT	118.893
171	Row7	5	561	52	6655	2	0	HIT	117.885
172	Row7	5	561	53	6655	2	0	HIT	143.364
173	Row7	5	561	54	6655	2	0	HIT	200.819
174	Row7	5	561	55	6655	2	0	HIT	434.902
175	Row7	5	561	56	6655	2	0	HIT	150.338
176	Row7	5	561	57	6655	2	0	HIT	114.918
177	Row7	5	561	58	6655	2	0	HIT	324.979
178	Row7	5	561	59	6655	2	0	HIT	138.181
179	Row7	5	561	60	6655	2	0	HIT	121.659
180	Row7	6	561	61	6655	2	0	MISS	34.337
181	Row7	6	561	62	6655	2	0	HIT	410.150
182	Row7	6	561	63	6655	2	0	HIT	1088.907
183	Row7	6	561	64	6655	2	0	HIT	786.030
184	Row7	6	561	65	6655	2	0	HIT	524.276
185	Row7	6	561	66	6655	2	0	HIT	438.818
186	Row7	6	561	67	6655	2	0	HIT	360.345
187	Row7	6	561	68	6655	2	0	HIT	292.051
188	Row7	6	561	69	6655	2	0	HIT	274.524
189	Row7	6	561	70	6655	2	0	HIT	224.938
190	Row7	6	561	71	6655	2	0	HIT	262.975
191	Row7	6	561	72	6655	2	0	HIT	250.606
192	Row7	7	561	73	6655	2	0	MISS	33.032
193	Row7	7	561	74	6655	2	0	HIT	421.181
194	Row7	7	561	75	6655	2	0	HIT	201.714
195	Row7	7	561	76	6655	2	0	HIT	221.361
