===============D e t a i l================
ID	Region	Seg_X	Seg_Y	Pos_X	Pos_Y	HD	ESL	Stat	Frame Delay
0	Column60	11	34	121	364	1	0	MISS	37.565
1	Column60	11	34	121	365	1	0	HIT	1082.022
2	Column60	11	34	121	366	1	0	HIT	35.975
3	Column60	11	34	121	367	1	0	HIT	34.907
4	Column60	11	34	121	368	1	0	HIT	33.909
5	Column60	11	34	121	369	1	0	HIT	33.952
6	Column60	11	34	121	370	1	0	HIT	34.937
7	Column60	11	34	121	371	1	0	HIT	307.910
8	Column60	11	34	121	372	1	0	HIT	70.846
9	Column60	11	34	121	373	1	0	HIT	122.180
10	Column60	11	34	121	374	1	0	HIT	58.531
11	Column60	11	34	121	375	1	0	HIT	97.104
12	Column60	11	35	121	376	1	0	MISS	34.648
13	Column60	11	35	121	377	1	0	HIT	305.411
14	Column60	11	35	121	378	1	0	HIT	70.525
15	Column60	11	35	121	379	1	0	HIT	78.128
16	Column60	11	35	121	380	1	0	HIT	205.595
17	Column60	11	35	121	381	1	0	HIT	87.802
18	Column60	11	35	121	382	1	0	HIT	62.204
19	Column60	11	35	121	383	1	0	HIT	69.160
20	Column60	11	35	121	384	1	0	HIT	68.761
21	Column60	11	35	121	385	1	0	HIT	153.950
22	Column60	11	35	121	386	1	0	HIT	100.198
23	Column60	11	35	121	387	1	0	HIT	67.677
24	Column60	11	36	121	388	1	0	MISS	34.011
25	Column60	11	36	121	389	1	0	HIT	311.809
26	Column60	11	36	121	390	1	0	HIT	69.816
27	Column60	11	36	121	391	1	0	HIT	140.678
28	Column60	11	36	121	392	1	0	HIT	73.282
29	Column60	11	36	121	393	1	0	HIT	84.770
30	Column60	11	36	121	394	1	0	HIT	68.286
31	Column60	11	36	121	395	1	0	HIT	76.840
32	Column60	11	36	121	396	1	0	HIT	236.322
33	Column60	11	36	121	397	1	0	HIT	86.029
34	Column60	11	36	121	398	1	0	HIT	65.580
35	Column60	11	36	121	399	1	0	HIT	147.649
36	Column60	11	37	121	400	1	0	MISS	34.211
37	Column60	11	37	121	401	1	0	HIT	313.476
38	Column60	11	37	121	402	1	0	HIT	158.384
39	Column60	11	37	121	403	1	0	HIT	56.878
40	Column60	11	37	121	404	1	0	HIT	78.629
41	Column60	11	37	121	405	1	0	HIT	73.459
42	Column60	11	37	121	406	1	0	HIT	126.600
43	Column60	11	37	121	407	1	0	HIT	158.388
44	Column60	11	37	121	408	1	0	HIT	40.512
45	Column60	11	37	121	409	1	0	HIT	124.881
46	Column60	11	37	121	410	1	0	HIT	77.417
47	Column60	11	37	121	411	1	0	HIT	66.614
48	Column60	11	38	121	412	1	0	MISS	33.553
49	Column60	11	38	121	413	1	0	HIT	250.126
50	Column60	11	38	121	414	1	0	HIT	69.873
51	Column60	11	38	121	415	1	0	HIT	83.379
52	Column60	11	38	121	416	1	0	HIT	79.607
53	Column60	11	38	121	417	1	0	HIT	62.830
54	Column60	11	38	121	418	1	0	HIT	122.928
55	Column60	11	38	121	419	1	0	HIT	74.156
56	Column60	11	38	121	420	1	0	HIT	86.109
57	Column60	11	38	121	421	1	0	HIT	110.342
58	Column60	11	38	121	422	1	0	HIT	75.982
59	Column60	11	38	121	423	1	0	HIT	128.992
60	Column60	11	39	121	424	1	0	MISS	35.245
61	Column60	11	39	121	425	1	0	HIT	237.537
62	Column60	11	39	121	426	1	0	HIT	152.875
63	Column60	11	39	121	427	1	0	HIT	53.858
64	Column60	11	39	121	428	1	0	HIT	152.545
65	Column60	11	39	121	429	1	0	HIT	51.647
66	Column60	11	39	121	430	1	0	HIT	70.548
67	Column60	11	39	121	431	1	0	HIT	74.075
68	Column60	11	39	121	432	1	0	HIT	157.132
69	Column60	11	39	121	433	1	0	HIT	63.832
70	Column60	11	39	121	434	1	0	HIT	65.620
71	Column60	11	39	121	435	1	0	HIT	84.098
72	Column60	11	40	121	436	1	0	MISS	33.485
