===============D e t a i l================
ID	Region	Seg_X	Seg_Y	Pos_X	Pos_Y	HD	ESL	Stat	Frame Delay
0	Column1	0	1	0	1	1	0	MISS	34.416
1	Column1	0	1	0	2	1	0	HIT	34.911
2	Column1	0	1	0	3	1	0	HIT	33.661
3	Column1	0	1	0	4	1	0	HIT	33.713
4	Column1	0	1	0	5	1	0	HIT	33.380
5	Column1	0	1	0	6	1	0	HIT	33.988
6	Column1	0	1	0	7	1	0	HIT	34.983
7	Column1	0	1	0	8	1	0	HIT	39.895
8	Column1	0	1	0	9	1	0	HIT	33.335
9	Column1	0	1	0	10	1	0	HIT	35.454
10	Column1	0	1	0	11	1	0	HIT	35.049
11	Column1	0	1	0	12	1	0	HIT	35.300
12	Column1	0	2	0	13	1	0	MISS	34.896
13	Column1	0	2	0	14	1	0	HIT	33.692
14	Column1	0	2	0	15	1	0	HIT	34.973
15	Column1	0	2	0	16	1	0	HIT	35.457
16	Column1	0	2	0	17	1	0	HIT	33.909
17	Column1	0	2	0	18	1	0	HIT	33.911
18	Column1	0	2	0	19	1	0	HIT	33.948
19	Column1	0	2	0	20	1	0	HIT	33.910
20	Column1	0	2	0	21	1	0	HIT	78.345
21	Column1	0	2	0	22	1	0	HIT	68.944
22	Column1	0	2	0	23	1	0	HIT	108.709
23	Column1	0	2	0	24	1	0	HIT	79.805
24	Column1	0	3	0	25	1	0	MISS	34.947
25	Column1	0	3	0	26	1	0	HIT	163.743
26	Column1	0	3	0	27	1	0	HIT	87.419
27	Column1	0	3	0	28	1	0	HIT	50.955
28	Column1	0	3	0	29	1	0	HIT	107.756
29	Column1	0	3	0	30	1	0	HIT	125.640
30	Column1	0	3	0	31	1	0	HIT	75.828
31	Column1	0	3	0	32	1	0	HIT	78.788
32	Column1	0	3	0	33	1	0	HIT	91.828
33	Column1	0	3	0	34	1	0	HIT	85.774
34	Column1	0	3	0	35	1	0	HIT	54.857
35	Column1	0	3	0	36	1	0	HIT	113.720
36	Column1	0	4	0	37	1	0	MISS	43.875
37	Column1	0	4	0	38	1	0	HIT	121.736
38	Column1	0	4	0	39	1	0	HIT	105.761
39	Column1	0	4	0	40	1	0	HIT	78.793
40	Column1	0	4	0	41	1	0	HIT	96.739
41	Column1	0	4	0	42	1	0	HIT	66.865
42	Column1	0	4	0	43	1	0	HIT	103.831
43	Column1	0	4	0	44	1	0	HIT	96.897
44	Column1	0	4	0	45	1	0	HIT	75.849
45	Column1	0	4	0	46	1	0	HIT	64.890
46	Column1	0	4	0	47	1	0	HIT	131.649
47	Column1	0	4	0	48	1	0	HIT	78.352
48	Column1	0	5	0	49	1	0	MISS	34.949
49	Column1	0	5	0	50	1	0	HIT	139.336
50	Column1	0	5	0	51	1	0	HIT	79.789
51	Column1	0	5	0	52	1	0	HIT	107.714
52	Column1	0	5	0	53	1	0	HIT	63.825
53	Column1	0	5	0	54	1	0	HIT	110.340
54	Column1	0	5	0	55	1	0	HIT	62.906
55	Column1	0	5	0	56	1	0	HIT	109.752
56	Column1	0	5	0	57	1	0	HIT	91.791
57	Column1	0	5	0	58	1	0	HIT	80.836
58	Column1	0	5	0	59	1	0	HIT	90.875
59	Column1	0	5	0	60	1	0	HIT	78.912
60	Column1	0	6	0	61	1	0	MISS	35.003
61	Column1	0	6	0	62	1	0	HIT	146.841
62	Column1	0	6	0	63	1	0	HIT	89.075
63	Column1	0	6	0	64	1	0	HIT	93.795
64	Column1	0	6	0	65	1	0	HIT	91.819
65	Column1	0	6	0	66	1	0	HIT	82.430
66	Column1	0	6	0	67	1	0	HIT	93.900
67	Column1	0	6	0	68	1	0	HIT	95.390
68	Column1	0	6	0	69	1	0	HIT	81.831
69	Column1	0	6	0	70	1	0	HIT	75.833
70	Column1	0	6	0	71	1	0	HIT	93.796
71	Column1	0	6	0	72	1	0	HIT	66.953
72	Column1	0	7	0	73	1	0	MISS	34.869
73	Column1	0	7	0	74	1	0	HIT	175.571
74	Column1	0	7	0	75	1	0	HIT	78.947
75	Column1	0	7	0	76	1	0	HIT	77.885
76	Column1	0	7	0	77	1	0	HIT	94.743
77	Column1	0	7	0	78	1	0	HIT	105.761
78	Column1	0	7	0	79	1	0	HIT	95.772
79	Column1	0	7	0	80	1	0	HIT	75.852
80	Column1	0	7	0	81	1	0	HIT	77.836
81	Column1	0	7	0	82	1	0	HIT	93.812
82	Column1	0	7	0	83	1	0	HIT	79.831
83	Column1	0	7	0	84	1	0	HIT	112.788
84	Column1	0	8	0	85	1	0	MISS	34.954
85	Column1	0	8	0	86	1	0	HIT	95.755
86	Column1	0	8	0	87	1	0	HIT	109.799
87	Column1	0	8	0	88	1	0	HIT	92.389
88	Column1	0	8	0	89	1	0	HIT	92.302
89	Column1	0	8	0	90	1	0	HIT	108.346
90	Column1	0	8	0	91	1	0	HIT	62.835
91	Column1	0	8	0	92	1	0	HIT	93.800
92	Column1	0	8	0	93	1	0	HIT	76.838
93	Column1	0	8	0	94	1	0	HIT	93.857
94	Column1	0	8	0	95	1	0	HIT	83.799
95	Column1	0	8	0	96	1	0	HIT	59.886
96	Column1	0	9	0	97	1	0	MISS	34.977
97	Column1	0	9	0	98	1	0	HIT	176.709
98	Column1	0	9	0	99	1	0	HIT	89.774
99	Column1	0	9	0	100	1	0	HIT	78.792
100	Column1	0	9	0	101	1	0	HIT	86.771
101	Column1	0	9	0	102	1	0	HIT	89.363
102	Column1	0	9	0	103	1	0	HIT	90.413
103	Column1	0	9	0	104	1	0	HIT	78.867
104	Column1	0	9	0	105	1	0	HIT	94.760
105	Column1	0	9	0	106	1	0	HIT	76.894
106	Column1	0	9	0	107	1	0	HIT	77.881
107	Column1	0	9	0	108	1	0	HIT	93.794
108	Column1	0	10	0	109	1	0	MISS	35.018
109	Column1	0	10	0	110	1	0	HIT	142.741
110	Column1	0	10	0	111	1	0	HIT	77.396
111	Column1	0	10	0	112	1	0	HIT	94.870
112	Column1	0	10	0	113	1	0	HIT	87.809
113	Column1	0	10	0	114	1	0	HIT	83.776
114	Column1	0	10	0	115	1	0	HIT	91.875
115	Column1	0	10	0	116	1	0	HIT	98.779
116	Column1	0	10	0	117	1	0	HIT	49.911
117	Column1	0	10	0	118	1	0	HIT	101.727
118	Column1	0	10	0	119	1	0	HIT	78.835
119	Column1	0	10	0	120	1	0	HIT	79.819
120	Row331	1	11	1	121	2	1	MISS	22.235
121	Row331	1	11	2	121	2	1	HIT	184.609
122	Row331	1	11	3	121	2	1	HIT	82.813
123	Row331	1	11	4	121	2	1	HIT	66.215
124	Row331	1	11	5	121	2	1	HIT	83.011
125	Row331	1	11	6	121	2	1	HIT	79.503
126	Row331	1	11	7	121	2	1	HIT	81.887
127	Row331	1	11	8	121	2	1	HIT	79.928
128	Row331	1	11	9	121	2	1	HIT	82.757
129	Row331	1	11	10	121	2	1	HIT	79.796
130	Row331	1	11	11	121	2	1	HIT	86.811
131	Row331	1	11	12	121	2	1	HIT	77.027
132	Row331	2	11	13	121	2	1	MISS	21.621
133	Row331	2	11	14	121	2	1	HIT	20.945
134	Row331	2	11	15	121	2	1	HIT	21.240
135	Row331	2	11	16	121	2	1	HIT	20.994
136	Row331	2	11	17	121	2	1	HIT	22.455
137	Row331	2	11	18	121	2	1	HIT	21.543
138	Row331	2	11	19	121	2	1	HIT	21.015
139	Row331	2	11	20	121	2	1	HIT	21.977
140	Row331	2	11	21	121	2	1	HIT	36.903
141	Row331	2	11	22	121	2	1	HIT	22.988
142	Row331	2	11	23	121	2	1	HIT	21.216
143	Row331	2	11	24	121	2	1	HIT	20.985
144	Row331	3	11	25	121	2	1	MISS	21.250
145	Row331	3	11	26	121	2	1	HIT	21.942
146	Row331	3	11	27	121	2	1	HIT	21.983
147	Row331	3	11	28	121	2	1	HIT	21.983
148	Row331	3	11	29	121	2	1	HIT	20.944
149	Row331	3	11	30	121	2	1	HIT	20.944
150	Row331	3	11	31	121	2	1	HIT	20.945
151	Row331	3	11	32	121	2	1	HIT	20.942
152	Row331	3	11	33	121	2	1	HIT	21.982
153	Row331	3	11	34	121	2	1	HIT	21.942
154	Row331	3	11	35	121	2	1	HIT	31.958
155	Row331	3	11	36	121	2	1	HIT	31.957
156	Row331	4	11	37	121	2	1	MISS	22.313
157	Row331	4	11	38	121	2	1	HIT	52.906
158	Row331	4	11	39	121	2	1	HIT	32.956
159	Row331	4	11	40	121	2	1	HIT	29.924
160	Row331	4	11	41	121	2	1	HIT	32.945
161	Row331	4	11	42	121	2	1	HIT	48.857
162	Row331	4	11	43	121	2	1	HIT	33.910
163	Row331	4	11	44	121	2	1	HIT	30.918
164	Row331	4	11	45	121	2	1	HIT	48.964
165	Row331	4	11	46	121	2	1	HIT	20.944
166	Row331	4	11	47	121	2	1	HIT	34.993
167	Row331	4	11	48	121	2	1	HIT	46.919
168	Row331	5	11	49	121	2	1	MISS	20.945
169	Row331	5	11	50	121	2	1	HIT	58.823
170	Row331	5	11	51	121	2	1	HIT	33.986
171	Row331	5	11	52	121	2	1	HIT	48.870
172	Row331	5	11	53	121	2	1	HIT	30.963
173	Row331	5	11	54	121	2	1	HIT	48.991
174	Row331	5	11	55	121	2	1	HIT	21.985
175	Row331	5	11	56	121	2	1	HIT	49.072
176	Row331	5	11	57	121	2	1	HIT	84.819
177	Row331	5	11	58	121	2	1	HIT	20.986
178	Row331	5	11	59	121	2	1	HIT	20.943
179	Row331	5	11	60	121	2	1	HIT	31.964
180	Row331	6	11	61	121	2	1	MISS	24.988
181	Row331	6	11	62	121	2	1	HIT	41.979
182	Row331	6	11	63	121	2	1	HIT	33.955
183	Row331	6	11	64	121	2	1	HIT	49.465
184	Row331	6	11	65	121	2	1	HIT	31.974
185	Row331	6	11	66	121	2	1	HIT	33.941
186	Row331	6	11	67	121	2	1	HIT	33.913
187	Row331	6	11	68	121	2	1	HIT	47.906
188	Row331	6	11	69	121	2	1	HIT	31.959
189	Row331	6	11	70	121	2	1	HIT	36.842
190	Row331	6	11	71	121	2	1	HIT	33.943
191	Row331	6	11	72	121	2	1	HIT	41.930
192	Row331	7	11	73	121	2	1	MISS	21.976
193	Row331	7	11	74	121	2	1	HIT	136.666
194	Row331	7	11	75	121	2	1	HIT	21.982
195	Row331	7	11	76	121	2	1	HIT	380.839
196	Row331	7	11	77	121	2	1	HIT	20.943
197	Row331	7	11	78	121	2	1	HIT	19.998
198	Row331	7	11	79	121	2	1	HIT	21.340
199	Row331	7	11	80	121	2	1	HIT	22.464
200	Row331	7	11	81	121	2	1	HIT	22.556
201	Row331	7	11	82	121	2	1	HIT	21.947
202	Row331	7	11	83	121	2	1	HIT	20.978
203	Row331	7	11	84	121	2	1	HIT	20.950
204	Row331	8	11	85	121	2	1	MISS	21.898
205	Row331	8	11	86	121	2	1	HIT	21.035
206	Row331	8	11	87	121	2	1	HIT	21.983
207	Row331	8	11	88	121	2	1	HIT	21.900
208	Row331	8	11	89	121	2	1	HIT	21.941
209	Row331	8	11	90	121	2	1	HIT	21.942
210	Row331	8	11	91	121	2	1	HIT	21.892
211	Row331	8	11	92	121	2	1	HIT	27.926
212	Row331	8	11	93	121	2	1	HIT	27.926
213	Row331	8	11	94	121	2	1	HIT	20.944
214	Row331	8	11	95	121	2	1	HIT	21.943
215	Row331	8	11	96	121	2	1	HIT	38.933
216	Row331	9	11	97	121	2	1	MISS	21.279
217	Row331	9	11	98	121	2	1	HIT	70.856
218	Row331	9	11	99	121	2	1	HIT	21.943
219	Row331	9	11	100	121	2	1	HIT	36.456
220	Row331	9	11	101	121	2	1	HIT	31.958
221	Row331	9	11	102	121	2	1	HIT	52.369
222	Row331	9	11	103	121	2	1	HIT	24.977
223	Row331	9	11	104	121	2	1	HIT	47.874
224	Row331	9	11	105	121	2	1	HIT	49.933
