===============D e t a i l================
ID	Region	Seg_X	Seg_Y	Pos_X	Pos_Y	HD	ESL	Stat	Frame Delay
0	Column60	11	34	121	364	1	0	MISS	32.913
1	Column60	11	34	121	365	1	0	HIT	45.395
2	Column60	11	34	121	366	1	0	HIT	34.090
3	Column60	11	34	121	367	1	0	HIT	35.994
4	Column60	11	34	121	368	1	0	HIT	35.017
5	Column60	11	34	121	369	1	0	HIT	34.864
6	Column60	11	34	121	370	1	0	HIT	34.422
7	Column60	11	34	121	371	1	0	HIT	34.530
8	Column60	11	34	121	372	1	0	HIT	34.129
9	Column60	11	34	121	373	1	0	HIT	34.873
10	Column60	11	34	121	374	1	0	HIT	34.572
11	Column60	11	34	121	375	1	0	HIT	34.167
12	Column60	11	35	121	376	1	0	MISS	34.533
13	Column60	11	35	121	377	1	0	HIT	33.909
14	Column60	11	35	121	378	1	0	HIT	33.910
15	Column60	11	35	121	379	1	0	HIT	36.901
16	Column60	11	35	121	380	1	0	HIT	33.897
17	Column60	11	35	121	381	1	0	HIT	36.901
18	Column60	11	35	121	382	1	0	HIT	39.893
19	Column60	11	35	121	383	1	0	HIT	42.884
20	Column60	11	35	121	384	1	0	HIT	34.906
21	Column60	11	35	121	385	1	0	HIT	34.974
22	Column60	11	35	121	386	1	0	HIT	66.824
23	Column60	11	35	121	387	1	0	HIT	52.463
24	Column60	11	36	121	388	1	0	MISS	33.139
25	Column60	11	36	121	389	1	0	HIT	149.843
26	Column60	11	36	121	390	1	0	HIT	76.164
27	Column60	11	36	121	391	1	0	HIT	83.652
28	Column60	11	36	121	392	1	0	HIT	88.763
29	Column60	11	36	121	393	1	0	HIT	107.881
30	Column60	11	36	121	394	1	0	HIT	88.019
31	Column60	11	36	121	395	1	0	HIT	72.805
32	Column60	11	36	121	396	1	0	HIT	102.865
33	Column60	11	36	121	397	1	0	HIT	64.827
34	Column60	11	36	121	398	1	0	HIT	89.762
35	Column60	11	36	121	399	1	0	HIT	89.809
36	Column60	11	37	121	400	1	0	MISS	33.947
37	Column60	11	37	121	401	1	0	HIT	118.326
38	Column60	11	37	121	402	1	0	HIT	103.774
39	Column60	11	37	121	403	1	0	HIT	86.810
40	Column60	11	37	121	404	1	0	HIT	58.886
41	Column60	11	37	121	405	1	0	HIT	77.393
42	Column60	11	37	121	406	1	0	HIT	84.542
43	Column60	11	37	121	407	1	0	HIT	85.367
44	Column60	11	37	121	408	1	0	HIT	70.402
45	Column60	11	37	121	409	1	0	HIT	110.909
46	Column60	11	37	121	410	1	0	HIT	73.846
47	Column60	11	37	121	411	1	0	HIT	88.958
48	Column60	11	38	121	412	1	0	MISS	35.694
49	Column60	11	38	121	413	1	0	HIT	120.136
50	Column60	11	38	121	414	1	0	HIT	91.589
51	Column60	11	38	121	415	1	0	HIT	78.849
52	Column60	11	38	121	416	1	0	HIT	108.426
53	Column60	11	38	121	417	1	0	HIT	66.583
54	Column60	11	38	121	418	1	0	HIT	79.838
55	Column60	11	38	121	419	1	0	HIT	119.724
56	Column60	11	38	121	420	1	0	HIT	51.912
57	Column60	11	38	121	421	1	0	HIT	87.124
58	Column60	11	38	121	422	1	0	HIT	98.685
59	Column60	11	38	121	423	1	0	HIT	64.001
60	Column60	11	39	121	424	1	0	MISS	34.977
61	Column60	11	39	121	425	1	0	HIT	165.372
62	Column60	11	39	121	426	1	0	HIT	63.554
63	Column60	11	39	121	427	1	0	HIT	91.798
64	Column60	11	39	121	428	1	0	HIT	97.826
65	Column60	11	39	121	429	1	0	HIT	76.635
66	Column60	11	39	121	430	1	0	HIT	76.993
67	Column60	11	39	121	431	1	0	HIT	84.856
68	Column60	11	39	121	432	1	0	HIT	92.338
69	Column60	11	39	121	433	1	0	HIT	68.855
70	Column60	11	39	121	434	1	0	HIT	89.566
71	Column60	11	39	121	435	1	0	HIT	93.013
72	Column60	11	40	121	436	1	0	MISS	34.674
73	Column60	11	40	121	437	1	0	HIT	132.958
74	Column60	11	40	121	438	1	0	HIT	83.829
75	Column60	11	40	121	439	1	0	HIT	78.874
76	Column60	11	40	121	440	1	0	HIT	91.953
77	Column60	11	40	121	441	1	0	HIT	72.851
78	Column60	11	40	121	442	1	0	HIT	96.743
79	Column60	11	40	121	443	1	0	HIT	95.888
80	Column60	11	40	121	444	1	0	HIT	72.808
81	Column60	11	40	121	445	1	0	HIT	80.946
82	Column60	11	40	121	446	1	0	HIT	84.885
83	Column60	11	40	121	447	1	0	HIT	74.846
84	Column60	11	41	121	448	1	0	MISS	34.948
85	Column60	11	41	121	449	1	0	HIT	161.460
86	Column60	11	41	121	450	1	0	HIT	84.566
87	Column60	11	41	121	451	1	0	HIT	79.899
88	Column60	11	41	121	452	1	0	HIT	79.516
89	Column60	11	41	121	453	1	0	HIT	86.795
90	Column60	11	41	121	454	1	0	HIT	122.319
91	Column60	11	41	121	455	1	0	HIT	64.830
92	Column60	11	41	121	456	1	0	HIT	56.417
93	Column60	11	41	121	457	1	0	HIT	107.955
94	Column60	11	41	121	458	1	0	HIT	66.361
95	Column60	11	41	121	459	1	0	HIT	79.788
96	Column60	11	42	121	460	1	0	MISS	33.998
97	Column60	11	42	121	461	1	0	HIT	145.819
98	Column60	11	42	121	462	1	0	HIT	91.305
99	Column60	11	42	121	463	1	0	HIT	79.921
100	Column60	11	42	121	464	1	0	HIT	79.891
101	Column60	11	42	121	465	1	0	HIT	95.171
102	Column60	11	42	121	466	1	0	HIT	94.753
103	Column60	11	42	121	467	1	0	HIT	79.508
104	Column60	11	42	121	468	1	0	HIT	69.102
105	Column60	11	42	121	469	1	0	HIT	79.182
106	Column60	11	42	121	470	1	0	HIT	117.708
107	Column60	11	42	121	471	1	0	HIT	72.809
108	Column60	11	43	121	472	1	0	MISS	33.336
109	Column60	11	43	121	473	1	0	HIT	145.636
110	Column60	11	43	121	474	1	0	HIT	78.598
111	Column60	11	43	121	475	1	0	HIT	79.230
112	Column60	11	43	121	476	1	0	HIT	62.506
113	Column60	11	43	121	477	1	0	HIT	115.555
114	Column60	11	43	121	478	1	0	HIT	57.839
115	Column60	11	43	121	479	1	0	HIT	92.800
116	Column60	11	43	121	480	1	0	HIT	82.301
117	Column60	11	43	121	481	1	0	HIT	95.211
118	Column60	11	43	121	482	1	0	HIT	77.014
119	Column60	11	43	121	483	1	0	HIT	79.033
120	Row313	10	44	120	484	0	0	MISS	34.541
121	Row313	10	44	119	484	0	0	HIT	168.521
122	Row313	10	44	118	484	0	0	HIT	80.790
123	Row313	10	44	117	484	0	0	HIT	80.110
124	Row313	10	44	116	484	0	0	HIT	83.996
125	Row313	10	44	115	484	0	0	HIT	81.879
126	Row313	10	44	114	484	0	0	HIT	116.679
127	Row313	10	44	113	484	0	0	HIT	67.892
128	Row313	10	44	112	484	0	0	HIT	81.782
129	Row313	10	44	111	484	0	0	HIT	73.335
130	Row313	10	44	110	484	0	0	HIT	81.684
131	Row313	10	44	109	484	0	0	HIT	83.092
132	Row313	9	44	108	484	0	0	MISS	33.320
133	Row313	9	44	107	484	0	0	HIT	63.101
134	Row313	9	44	106	484	0	0	HIT	86.010
135	Row313	9	44	105	484	0	0	HIT	69.129
136	Row313	9	44	104	484	0	0	HIT	71.568
137	Row313	9	44	103	484	0	0	HIT	122.297
138	Row313	9	44	102	484	0	0	HIT	35.903
139	Row313	9	44	101	484	0	0	HIT	88.767
140	Row313	9	44	100	484	0	0	HIT	72.772
141	Row313	9	44	99	484	0	0	HIT	71.122
142	Row313	9	44	98	484	0	0	HIT	76.663
143	Row313	9	44	97	484	0	0	HIT	93.136
144	Row313	8	44	96	484	0	0	MISS	33.472
145	Row313	8	44	95	484	0	0	HIT	116.915
146	Row313	8	44	94	484	0	0	HIT	77.231
147	Row313	8	44	93	484	0	0	HIT	109.024
148	Row313	8	44	92	484	0	0	HIT	78.458
149	Row313	8	44	91	484	0	0	HIT	80.244
150	Row313	8	44	90	484	0	0	HIT	66.191
151	Row313	8	44	89	484	0	0	HIT	93.751
152	Row313	8	44	88	484	0	0	HIT	78.791
153	Row313	8	44	87	484	0	0	HIT	63.874
154	Row313	8	44	86	484	0	0	HIT	86.767
155	Row313	8	44	85	484	0	0	HIT	79.146
156	Row313	7	44	84	484	0	0	MISS	33.526
157	Row313	7	44	83	484	0	0	HIT	131.276
158	Row313	7	44	82	484	0	0	HIT	77.673
159	Row313	7	44	81	484	0	0	HIT	78.943
160	Row313	7	44	80	484	0	0	HIT	79.830
161	Row313	7	44	79	484	0	0	HIT	78.124
162	Row313	7	44	78	484	0	0	HIT	95.923
163	Row313	7	44	77	484	0	0	HIT	89.137
164	Row313	7	44	76	484	0	0	HIT	76.026
165	Row313	7	44	75	484	0	0	HIT	67.821
166	Row313	7	44	74	484	0	0	HIT	81.257
167	Row313	7	44	73	484	0	0	HIT	52.238
168	Row313	6	44	72	484	0	0	MISS	34.113
169	Row313	6	44	71	484	0	0	HIT	135.121
170	Row313	6	44	70	484	0	0	HIT	70.252
171	Row313	6	44	69	484	0	0	HIT	84.709
172	Row313	6	44	68	484	0	0	HIT	90.039
173	Row313	6	44	67	484	0	0	HIT	82.189
174	Row313	6	44	66	484	0	0	HIT	80.819
175	Row313	6	44	65	484	0	0	HIT	82.770
176	Row313	6	44	64	484	0	0	HIT	89.761
177	Row313	6	44	63	484	0	0	HIT	78.834
178	Row313	6	44	62	484	0	0	HIT	54.220
179	Row313	6	44	61	484	0	0	HIT	78.780
180	Row313	5	44	60	484	0	0	MISS	34.481
181	Row313	5	44	59	484	0	0	HIT	131.284
