===============D e t a i l================
ID	Region	Seg_X	Seg_Y	Pos_X	Pos_Y	HD	ESL	Stat	Frame Delay
0	Column1	0	1	0	1	1	0	MISS	86.811
1	Column1	0	1	0	2	1	0	HIT	143.333
2	Column1	0	1	0	3	1	0	HIT	236.367
3	Column1	0	1	0	4	1	0	HIT	42.886
4	Column1	0	1	0	5	1	0	HIT	34.984
5	Column1	0	1	0	6	1	0	HIT	103.721
6	Column1	0	1	0	7	1	0	HIT	33.897
7	Column1	0	1	0	8	1	0	HIT	34.889
8	Column1	0	1	0	9	1	0	HIT	34.907
9	Column1	0	1	0	10	1	0	HIT	88.762
10	Column1	0	1	0	11	1	0	HIT	34.421
11	Column1	0	1	0	12	1	0	HIT	106.366
12	Column1	0	2	0	13	1	0	MISS	34.636
13	Column1	0	2	0	14	1	0	HIT	36.031
14	Column1	0	2	0	15	1	0	HIT	33.195
15	Column1	0	2	0	16	1	0	HIT	34.721
16	Column1	0	2	0	17	1	0	HIT	34.279
17	Column1	0	2	0	18	1	0	HIT	33.689
18	Column1	0	2	0	19	1	0	HIT	34.061
19	Column1	0	2	0	20	1	0	HIT	33.980
20	Column1	0	2	0	21	1	0	HIT	34.907
21	Column1	0	2	0	22	1	0	HIT	34.907
22	Column1	0	2	0	23	1	0	HIT	33.909
23	Column1	0	2	0	24	1	0	HIT	94.790
24	Column1	0	3	0	25	1	0	MISS	33.910
25	Column1	0	3	0	26	1	0	HIT	34.905
26	Column1	0	3	0	27	1	0	HIT	34.547
27	Column1	0	3	0	28	1	0	HIT	33.954
28	Column1	0	3	0	29	1	0	HIT	100.776
29	Column1	0	3	0	30	1	0	HIT	33.979
30	Column1	0	3	0	31	1	0	HIT	56.849
31	Column1	0	3	0	32	1	0	HIT	161.610
32	Column1	0	3	0	33	1	0	HIT	51.865
33	Column1	0	3	0	34	1	0	HIT	183.576
34	Column1	0	3	0	35	1	0	HIT	35.212
35	Column1	0	3	0	36	1	0	HIT	34.228
36	Column1	0	4	0	37	1	0	MISS	34.018
37	Column1	0	4	0	38	1	0	HIT	164.504
38	Column1	0	4	0	39	1	0	HIT	80.917
39	Column1	0	4	0	40	1	0	HIT	82.155
40	Column1	0	4	0	41	1	0	HIT	207.988
41	Column1	0	4	0	42	1	0	HIT	34.948
42	Column1	0	4	0	43	1	0	HIT	33.954
43	Column1	0	4	0	44	1	0	HIT	110.707
44	Column1	0	4	0	45	1	0	HIT	116.137
45	Column1	0	4	0	46	1	0	HIT	55.898
46	Column1	0	4	0	47	1	0	HIT	73.847
47	Column1	0	4	0	48	1	0	HIT	168.594
48	Column1	0	5	0	49	1	0	MISS	33.910
49	Column1	0	5	0	50	1	0	HIT	78.794
50	Column1	0	5	0	51	1	0	HIT	116.724
51	Column1	0	5	0	52	1	0	HIT	71.394
52	Column1	0	5	0	53	1	0	HIT	80.455
53	Column1	0	5	0	54	1	0	HIT	98.297
54	Column1	0	5	0	55	1	0	HIT	78.605
55	Column1	0	5	0	56	1	0	HIT	90.230
56	Column1	0	5	0	57	1	0	HIT	174.532
57	Column1	0	5	0	58	1	0	HIT	34.943
58	Column1	0	5	0	59	1	0	HIT	67.936
59	Column1	0	5	0	60	1	0	HIT	131.341
60	Column1	0	6	0	61	1	0	MISS	34.319
61	Column1	0	6	0	62	1	0	HIT	93.330
62	Column1	0	6	0	63	1	0	HIT	160.138
63	Column1	0	6	0	64	1	0	HIT	33.958
64	Column1	0	6	0	65	1	0	HIT	73.804
65	Column1	0	6	0	66	1	0	HIT	123.435
66	Column1	0	6	0	67	1	0	HIT	69.921
67	Column1	0	6	0	68	1	0	HIT	67.203
68	Column1	0	6	0	69	1	0	HIT	121.262
69	Column1	0	6	0	70	1	0	HIT	56.890
70	Column1	0	6	0	71	1	0	HIT	108.711
71	Column1	0	6	0	72	1	0	HIT	77.793
72	Column1	0	7	0	73	1	0	MISS	33.981
73	Column1	0	7	0	74	1	0	HIT	174.604
74	Column1	0	7	0	75	1	0	HIT	50.914
75	Column1	0	7	0	76	1	0	HIT	176.531
76	Column1	0	7	0	77	1	0	HIT	33.952
77	Column1	0	7	0	78	1	0	HIT	83.778
78	Column1	0	7	0	79	1	0	HIT	117.686
79	Column1	0	7	0	80	1	0	HIT	43.927
80	Column1	0	7	0	81	1	0	HIT	79.905
81	Column1	0	7	0	82	1	0	HIT	106.759
82	Column1	0	7	0	83	1	0	HIT	79.255
83	Column1	0	7	0	84	1	0	HIT	79.594
84	Column1	0	8	0	85	1	0	MISS	35.413
85	Column1	0	8	0	86	1	0	HIT	133.591
86	Column1	0	8	0	87	1	0	HIT	113.028
87	Column1	0	8	0	88	1	0	HIT	86.776
88	Column1	0	8	0	89	1	0	HIT	118.332
89	Column1	0	8	0	90	1	0	HIT	73.847
90	Column1	0	8	0	91	1	0	HIT	160.569
91	Column1	0	8	0	92	1	0	HIT	33.909
92	Column1	0	8	0	93	1	0	HIT	48.872
93	Column1	0	8	0	94	1	0	HIT	201.465
94	Column1	0	8	0	95	1	0	HIT	34.964
95	Column1	0	8	0	96	1	0	HIT	57.888
96	Column1	0	9	0	97	1	0	MISS	34.978
97	Column1	0	9	0	98	1	0	HIT	174.534
98	Column1	0	9	0	99	1	0	HIT	51.905
99	Column1	0	9	0	100	1	0	HIT	70.814
100	Column1	0	9	0	101	1	0	HIT	108.760
101	Column1	0	9	0	102	1	0	HIT	72.929
102	Column1	0	9	0	103	1	0	HIT	108.784
103	Column1	0	9	0	104	1	0	HIT	127.752
104	Column1	0	9	0	105	1	0	HIT	54.213
105	Column1	0	9	0	106	1	0	HIT	78.789
106	Column1	0	9	0	107	1	0	HIT	96.771
107	Column1	0	9	0	108	1	0	HIT	61.596
108	Column1	0	10	0	109	1	0	MISS	34.859
109	Column1	0	10	0	110	1	0	HIT	143.615
110	Column1	0	10	0	111	1	0	HIT	108.691
111	Column1	0	10	0	112	1	0	HIT	73.842
112	Column1	0	10	0	113	1	0	HIT	148.647
113	Column1	0	10	0	114	1	0	HIT	34.240
114	Column1	0	10	0	115	1	0	HIT	96.265
115	Column1	0	10	0	116	1	0	HIT	83.154
116	Column1	0	10	0	117	1	0	HIT	81.726
117	Column1	0	10	0	118	1	0	HIT	103.727
118	Column1	0	10	0	119	1	0	HIT	62.876
119	Column1	0	10	0	120	1	0	HIT	119.682
120	Row331	1	11	1	121	2	1	MISS	62.832
121	Row331	1	11	2	121	2	1	HIT	320.144
122	Row331	1	11	3	121	2	1	HIT	20.943
123	Row331	1	11	4	121	2	1	HIT	20.986
124	Row331	1	11	5	121	2	1	HIT	135.638
125	Row331	1	11	6	121	2	1	HIT	21.941
126	Row331	1	11	7	121	2	1	HIT	49.869
127	Row331	1	11	8	121	2	1	HIT	183.551
128	Row331	1	11	9	121	2	1	HIT	21.978
129	Row331	1	11	10	121	2	1	HIT	39.894
130	Row331	1	11	11	121	2	1	HIT	119.234
131	Row331	1	11	12	121	2	1	HIT	100.770
132	Row331	2	11	13	121	2	1	MISS	21.513
133	Row331	2	11	14	121	2	1	HIT	21.973
134	Row331	2	11	15	121	2	1	HIT	21.942
135	Row331	2	11	16	121	2	1	HIT	21.015
136	Row331	2	11	17	121	2	1	HIT	21.490
137	Row331	2	11	18	121	2	1	HIT	20.548
138	Row331	2	11	19	121	2	1	HIT	21.587
139	Row331	2	11	20	121	2	1	HIT	21.423
140	Row331	2	11	21	121	2	1	HIT	20.938
141	Row331	2	11	22	121	2	1	HIT	22.586
142	Row331	2	11	23	121	2	1	HIT	20.201
143	Row331	2	11	24	121	2	1	HIT	20.993
144	Row331	3	11	25	121	2	1	MISS	21.941
145	Row331	3	11	26	121	2	1	HIT	21.941
146	Row331	3	11	27	121	2	1	HIT	21.934
147	Row331	3	11	28	121	2	1	HIT	20.944
148	Row331	3	11	29	121	2	1	HIT	20.943
149	Row331	3	11	30	121	2	1	HIT	21.008
150	Row331	3	11	31	121	2	1	HIT	21.241
151	Row331	3	11	32	121	2	1	HIT	21.058
152	Row331	3	11	33	121	2	1	HIT	20.903
153	Row331	3	11	34	121	2	1	HIT	21.527
154	Row331	3	11	35	121	2	1	HIT	19.990
155	Row331	3	11	36	121	2	1	HIT	19.990
156	Row331	4	11	37	121	2	1	MISS	29.921
157	Row331	4	11	38	121	2	1	HIT	20.942
158	Row331	4	11	39	121	2	1	HIT	21.984
159	Row331	4	11	40	121	2	1	HIT	22.015
160	Row331	4	11	41	121	2	1	HIT	48.941
161	Row331	4	11	42	121	2	1	HIT	105.791
162	Row331	4	11	43	121	2	1	HIT	20.944
163	Row331	4	11	44	121	2	1	HIT	21.942
164	Row331	4	11	45	121	2	1	HIT	21.983
165	Row331	4	11	46	121	2	1	HIT	48.525
166	Row331	4	11	47	121	2	1	HIT	20.946
167	Row331	4	11	48	121	2	1	HIT	49.841
168	Row331	5	11	49	121	2	1	MISS	195.476
169	Row331	5	11	50	121	2	1	HIT	20.983
170	Row331	5	11	51	121	2	1	HIT	20.987
171	Row331	5	11	52	121	2	1	HIT	20.986
172	Row331	5	11	53	121	2	1	HIT	21.984
173	Row331	5	11	54	121	2	1	HIT	22.013
174	Row331	5	11	55	121	2	1	HIT	22.015
175	Row331	5	11	56	121	2	1	HIT	21.983
176	Row331	5	11	57	121	2	1	HIT	99.777
177	Row331	5	11	58	121	2	1	HIT	22.235
178	Row331	5	11	59	121	2	1	HIT	19.983
179	Row331	5	11	60	121	2	1	HIT	21.987
180	Row331	6	11	61	121	2	1	MISS	21.498
181	Row331	6	11	62	121	2	1	HIT	42.544
182	Row331	6	11	63	121	2	1	HIT	37.943
183	Row331	6	11	64	121	2	1	HIT	51.855
184	Row331	6	11	65	121	2	1	HIT	22.972
185	Row331	6	11	66	121	2	1	HIT	109.749
186	Row331	6	11	67	121	2	1	HIT	21.986
187	Row331	6	11	68	121	2	1	HIT	22.980
188	Row331	6	11	69	121	2	1	HIT	20.943
189	Row331	6	11	70	121	2	1	HIT	45.516
190	Row331	6	11	71	121	2	1	HIT	21.022
191	Row331	6	11	72	121	2	1	HIT	120.715
192	Row331	7	11	73	121	2	1	MISS	20.944
193	Row331	7	11	74	121	2	1	HIT	35.906
194	Row331	7	11	75	121	2	1	HIT	20.945
195	Row331	7	11	76	121	2	1	HIT	28.923
196	Row331	7	11	77	121	2	1	HIT	101.770
197	Row331	7	11	78	121	2	1	HIT	20.944
198	Row331	7	11	79	121	2	1	HIT	20.985
199	Row331	7	11	80	121	2	1	HIT	21.941
200	Row331	7	11	81	121	2	1	HIT	25.931
201	Row331	7	11	82	121	2	1	HIT	41.230
202	Row331	7	11	83	121	2	1	HIT	20.943
203	Row331	7	11	84	121	2	1	HIT	142.168
204	Row331	8	11	85	121	2	1	MISS	20.944
205	Row331	8	11	86	121	2	1	HIT	21.923
206	Row331	8	11	87	121	2	1	HIT	22.938
207	Row331	8	11	88	121	2	1	HIT	20.977
208	Row331	8	11	89	121	2	1	HIT	35.905
209	Row331	8	11	90	121	2	1	HIT	119.680
210	Row331	8	11	91	121	2	1	HIT	20.944
211	Row331	8	11	92	121	2	1	HIT	21.942
212	Row331	8	11	93	121	2	1	HIT	20.940
213	Row331	8	11	94	121	2	1	HIT	20.983
214	Row331	8	11	95	121	2	1	HIT	22.002
215	Row331	8	11	96	121	2	1	HIT	72.394
216	Row331	9	11	97	121	2	1	MISS	22.973
217	Row331	9	11	98	121	2	1	HIT	38.100
218	Row331	9	11	99	121	2	1	HIT	52.456
219	Row331	9	11	100	121	2	1	HIT	49.159
220	Row331	9	11	101	121	2	1	HIT	20.950
221	Row331	9	11	102	121	2	1	HIT	46.262
222	Row331	9	11	103	121	2	1	HIT	22.161
223	Row331	9	11	104	121	2	1	HIT	53.162
224	Row331	9	11	105	121	2	1	HIT	32.913
225	Row331	9	11	106	121	2	1	HIT	59.162
226	Row331	9	11	107	121	2	1	HIT	20.987
227	Row331	9	11	108	121	2	1	HIT	42.886
228	Row331	10	11	109	121	2	1	MISS	21.916
229	Row331	10	11	110	121	2	1	HIT	150.599
230	Row331	10	11	111	121	2	1	HIT	21.983
231	Row331	10	11	112	121	2	1	HIT	21.940
232	Row331	10	11	113	121	2	1	HIT	19.948
233	Row331	10	11	114	121	2	1	HIT	20.498
234	Row331	10	11	115	121	2	1	HIT	46.875
235	Row331	10	11	116	121	2	1	HIT	20.943
236	Row331	10	11	117	121	2	1	HIT	28.926
237	Row331	10	11	118	121	2	1	HIT	51.864
238	Row331	10	11	119	121	2	1	HIT	219.505
239	Row331	10	11	120	121	2	1	HIT	21.941
240	Row332	12	11	122	121	2	1	MISS	119.729
241	Row332	12	11	123	121	2	1	HIT	24.935
242	Row332	12	11	124	121	2	1	HIT	20.944
243	Row332	12	11	125	121	2	1	HIT	21.448
244	Row332	12	11	126	121	2	1	HIT	20.017
245	Row332	12	11	127	121	2	1	HIT	20.943
246	Row332	12	11	128	121	2	1	HIT	21.940
247	Row332	12	11	129	121	2	1	HIT	112.702
248	Row332	12	11	130	121	2	1	HIT	20.944
249	Row332	12	11	131	121	2	1	HIT	95.787
250	Row332	12	11	132	121	2	1	HIT	21.347
251	Row332	12	11	133	121	2	1	HIT	20.987
252	Row332	13	11	134	121	2	1	MISS	21.983
253	Row332	13	11	135	121	2	1	HIT	21.940
254	Row332	13	11	136	121	2	1	HIT	21.870
255	Row332	13	11	137	121	2	1	HIT	21.525
256	Row332	13	11	138	121	2	1	HIT	21.413
257	Row332	13	11	139	121	2	1	HIT	20.988
258	Row332	13	11	140	121	2	1	HIT	19.994
259	Row332	13	11	141	121	2	1	HIT	20.986
260	Row332	13	11	142	121	2	1	HIT	21.939
261	Row332	13	11	143	121	2	1	HIT	46.875
262	Row332	13	11	144	121	2	1	HIT	21.983
263	Row332	13	11	145	121	2	1	HIT	43.882
264	Row332	14	11	146	121	2	1	MISS	121.675
265	Row332	14	11	147	121	2	1	HIT	20.936
266	Row332	14	11	148	121	2	1	HIT	21.002
267	Row332	14	11	149	121	2	1	HIT	193.483
268	Row332	14	11	150	121	2	1	HIT	20.990
269	Row332	14	11	151	121	2	1	HIT	20.986
270	Row332	14	11	152	121	2	1	HIT	20.942
271	Row332	14	11	153	121	2	1	HIT	20.283
272	Row332	14	11	154	121	2	1	HIT	20.944
273	Row332	14	11	155	121	2	1	HIT	21.983
274	Row332	14	11	156	121	2	1	HIT	21.941
275	Row332	14	11	157	121	2	1	HIT	115.804
276	Row332	15	11	158	121	2	1	MISS	23.032
277	Row332	15	11	159	121	2	1	HIT	21.932
278	Row332	15	11	160	121	2	1	HIT	21.982
279	Row332	15	11	161	121	2	1	HIT	20.990
280	Row332	15	11	162	121	2	1	HIT	21.983
281	Row332	15	11	163	121	2	1	HIT	21.983
282	Row332	15	11	164	121	2	1	HIT	102.771
283	Row332	15	11	165	121	2	1	HIT	21.107
284	Row332	15	11	166	121	2	1	HIT	21.168
285	Row332	15	11	167	121	2	1	HIT	21.831
286	Row332	15	11	168	121	2	1	HIT	24.345
287	Row332	15	11	169	121	2	1	HIT	32.728
288	Row332	16	11	170	121	2	1	MISS	21.947
289	Row332	16	11	171	121	2	1	HIT	70.869
290	Row332	16	11	172	121	2	1	HIT	21.514
291	Row332	16	11	173	121	2	1	HIT	47.548
292	Row332	16	11	174	121	2	1	HIT	50.909
293	Row332	16	11	175	121	2	1	HIT	23.981
294	Row332	16	11	176	121	2	1	HIT	48.424
295	Row332	16	11	177	121	2	1	HIT	130.291
296	Row332	16	11	178	121	2	1	HIT	20.021
297	Row332	16	11	179	121	2	1	HIT	21.994
298	Row332	16	11	180	121	2	1	HIT	19.989
299	Row332	16	11	181	121	2	1	HIT	20.987
300	Row332	17	11	182	121	2	1	MISS	19.990
301	Row332	17	11	183	121	2	1	HIT	245.388
302	Row332	17	11	184	121	2	1	HIT	20.944
303	Row332	17	11	185	121	2	1	HIT	21.939
304	Row332	17	11	186	121	2	1	HIT	20.927
305	Row332	17	11	187	121	2	1	HIT	111.750
306	Row332	17	11	188	121	2	1	HIT	20.017
307	Row332	17	11	189	121	2	1	HIT	125.713
308	Row332	17	11	190	121	2	1	HIT	20.926
309	Row332	17	11	191	121	2	1	HIT	21.987
310	Row332	17	11	192	121	2	1	HIT	20.004
311	Row332	17	11	193	121	2	1	HIT	33.953
312	Row332	18	11	194	121	2	1	MISS	21.940
313	Row332	18	11	195	121	2	1	HIT	109.750
314	Row332	18	11	196	121	2	1	HIT	19.998
315	Row332	18	11	197	121	2	1	HIT	20.615
316	Row332	18	11	198	121	2	1	HIT	22.589
317	Row332	18	11	199	121	2	1	HIT	21.442
318	Row332	18	11	200	121	2	1	HIT	23.501
319	Row332	18	11	201	121	2	1	HIT	21.154
320	Row332	18	11	202	121	2	1	HIT	21.524
321	Row332	18	11	203	121	2	1	HIT	21.426
322	Row332	18	11	204	121	2	1	HIT	22.182
323	Row332	18	11	205	121	2	1	HIT	21.985
324	Row332	19	11	206	121	2	1	MISS	24.936
325	Row332	19	11	207	121	2	1	HIT	20.987
326	Row332	19	11	208	121	2	1	HIT	21.984
327	Row332	19	11	209	121	2	1	HIT	23.982
328	Row332	19	11	210	121	2	1	HIT	46.244
329	Row332	19	11	211	121	2	1	HIT	111.425
330	Row332	19	11	212	121	2	1	HIT	21.991
331	Row332	19	11	213	121	2	1	HIT	25.016
332	Row332	19	11	214	121	2	1	HIT	23.006
333	Row332	19	11	215	121	2	1	HIT	24.934
334	Row332	19	11	216	121	2	1	HIT	130.605
335	Row332	19	11	217	121	2	1	HIT	23.012
336	Row332	20	11	218	121	2	1	MISS	20.550
337	Row332	20	11	219	121	2	1	HIT	39.607
338	Row332	20	11	220	121	2	1	HIT	20.989
339	Row332	20	11	221	121	2	1	HIT	21.928
340	Row332	20	11	222	121	2	1	HIT	34.948
341	Row332	20	11	223	121	2	1	HIT	20.991
342	Row332	20	11	224	121	2	1	HIT	51.861
343	Row332	20	11	225	121	2	1	HIT	109.707
344	Row332	20	11	226	121	2	1	HIT	21.984
345	Row332	20	11	227	121	2	1	HIT	21.909
346	Row332	20	11	228	121	2	1	HIT	29.922
347	Row332	20	11	229	121	2	1	HIT	22.981
348	Row332	21	11	230	121	2	1	MISS	144.612
349	Row332	21	11	231	121	2	1	HIT	26.958
350	Row332	21	11	232	121	2	1	HIT	21.942
351	Row332	21	11	233	121	2	1	HIT	19.986
352	Row332	21	11	234	121	2	1	HIT	21.986
353	Row332	21	11	235	121	2	1	HIT	20.986
354	Row332	21	11	236	121	2	1	HIT	21.016
355	Row332	21	11	237	121	2	1	HIT	21.984
356	Row332	21	11	238	121	2	1	HIT	95.395
357	Row332	21	11	239	121	2	1	HIT	21.948
358	Row332	21	11	240	121	2	1	HIT	21.941
359	Row332	21	11	241	121	2	1	HIT	35.905
360	Column113	22	10	242	120	3	0	MISS	34.906
361	Column113	22	10	242	119	3	0	HIT	197.472
362	Column113	22	10	242	118	3	0	HIT	68.858
363	Column113	22	10	242	117	3	0	HIT	129.339
364	Column113	22	10	242	116	3	0	HIT	33.825
365	Column113	22	10	242	115	3	0	HIT	89.343
366	Column113	22	10	242	114	3	0	HIT	92.942
367	Column113	22	10	242	113	3	0	HIT	119.838
368	Column113	22	10	242	112	3	0	HIT	75.800
369	Column113	22	10	242	111	3	0	HIT	153.634
370	Column113	22	10	242	110	3	0	HIT	34.616
371	Column113	22	10	242	109	3	0	HIT	62.757
372	Column113	22	9	242	108	3	0	MISS	34.949
373	Column113	22	9	242	107	3	0	HIT	34.875
374	Column113	22	9	242	106	3	0	HIT	74.310
375	Column113	22	9	242	105	3	0	HIT	87.264
376	Column113	22	9	242	104	3	0	HIT	81.831
377	Column113	22	9	242	103	3	0	HIT	148.650
378	Column113	22	9	242	102	3	0	HIT	34.052
379	Column113	22	9	242	101	3	0	HIT	105.241
380	Column113	22	9	242	100	3	0	HIT	93.874
381	Column113	22	9	242	99	3	0	HIT	38.132
382	Column113	22	9	242	98	3	0	HIT	88.079
383	Column113	22	9	242	97	3	0	HIT	69.924
384	Column113	22	8	242	96	3	0	MISS	34.950
385	Column113	22	8	242	95	3	0	HIT	139.303
386	Column113	22	8	242	94	3	0	HIT	182.503
387	Column113	22	8	242	93	3	0	HIT	33.987
388	Column113	22	8	242	92	3	0	HIT	34.909
389	Column113	22	8	242	91	3	0	HIT	103.724
390	Column113	22	8	242	90	3	0	HIT	65.825
391	Column113	22	8	242	89	3	0	HIT	100.757
392	Column113	22	8	242	88	3	0	HIT	74.801
393	Column113	22	8	242	87	3	0	HIT	164.784
394	Column113	22	8	242	86	3	0	HIT	34.946
395	Column113	22	8	242	85	3	0	HIT	34.975
396	Column113	22	7	242	84	3	0	MISS	33.952
397	Column113	22	7	242	83	3	0	HIT	134.347
398	Column113	22	7	242	82	3	0	HIT	79.575
399	Column113	22	7	242	81	3	0	HIT	94.776
400	Column113	22	7	242	80	3	0	HIT	82.454
401	Column113	22	7	242	79	3	0	HIT	89.806
402	Column113	22	7	242	78	3	0	HIT	127.362
403	Column113	22	7	242	77	3	0	HIT	34.943
404	Column113	22	7	242	76	3	0	HIT	68.453
405	Column113	22	7	242	75	3	0	HIT	132.648
406	Column113	22	7	242	74	3	0	HIT	34.044
407	Column113	22	7	242	73	3	0	HIT	74.718
408	Column113	22	6	242	72	3	0	MISS	34.408
409	Column113	22	6	242	71	3	0	HIT	140.791
410	Column113	22	6	242	70	3	0	HIT	131.691
411	Column113	22	6	242	69	3	0	HIT	46.919
412	Column113	22	6	242	68	3	0	HIT	81.825
413	Column113	22	6	242	67	3	0	HIT	97.871
414	Column113	22	6	242	66	3	0	HIT	50.864
415	Column113	22	6	242	65	3	0	HIT	183.553
416	Column113	22	6	242	64	3	0	HIT	34.555
417	Column113	22	6	242	63	3	0	HIT	61.884
418	Column113	22	6	242	62	3	0	HIT	58.918
419	Column113	22	6	242	61	3	0	HIT	155.600
420	Column113	22	5	242	60	3	0	MISS	33.909
421	Column113	22	5	242	59	3	0	HIT	54.967
422	Column113	22	5	242	58	3	0	HIT	143.160
423	Column113	22	5	242	57	3	0	HIT	33.848
424	Column113	22	5	242	56	3	0	HIT	67.964
425	Column113	22	5	242	55	3	0	HIT	96.732
426	Column113	22	5	242	54	3	0	HIT	138.675
427	Column113	22	5	242	53	3	0	HIT	34.903
428	Column113	22	5	242	52	3	0	HIT	69.810
429	Column113	22	5	242	51	3	0	HIT	130.651
430	Column113	22	5	242	50	3	0	HIT	34.620
431	Column113	22	5	242	49	3	0	HIT	63.112
432	Column113	22	4	242	48	3	0	MISS	33.507
433	Column113	22	4	242	47	3	0	HIT	130.726
434	Column113	22	4	242	46	3	0	HIT	114.411
435	Column113	22	4	242	45	3	0	HIT	156.018
436	Column113	22	4	242	44	3	0	HIT	34.773
437	Column113	22	4	242	43	3	0	HIT	75.839
