===============D e t a i l================
ID	Region	Seg_X	Seg_Y	Pos_X	Pos_Y	HD	ESL	Stat	Frame Delay
0	Column1	0	1	0	1	1	0	MISS	33.905
1	Column1	0	1	0	2	1	0	HIT	35.906
2	Column1	0	1	0	3	1	0	HIT	212.912
3	Column1	0	1	0	4	1	0	HIT	85.854
4	Column1	0	1	0	5	1	0	HIT	34.985
5	Column1	0	1	0	6	1	0	HIT	33.909
6	Column1	0	1	0	7	1	0	HIT	33.908
7	Column1	0	1	0	8	1	0	HIT	34.905
8	Column1	0	1	0	9	1	0	HIT	34.977
9	Column1	0	1	0	10	1	0	HIT	33.908
10	Column1	0	1	0	11	1	0	HIT	33.982
11	Column1	0	1	0	12	1	0	HIT	113.697
12	Column1	0	2	0	13	1	0	MISS	33.908
13	Column1	0	2	0	14	1	0	HIT	34.907
14	Column1	0	2	0	15	1	0	HIT	96.742
15	Column1	0	2	0	16	1	0	HIT	34.907
16	Column1	0	2	0	17	1	0	HIT	33.983
17	Column1	0	2	0	18	1	0	HIT	34.906
18	Column1	0	2	0	19	1	0	HIT	34.906
19	Column1	0	2	0	20	1	0	HIT	34.907
20	Column1	0	2	0	21	1	0	HIT	236.441
21	Column1	0	2	0	22	1	0	HIT	33.909
22	Column1	0	2	0	23	1	0	HIT	33.909
23	Column1	0	2	0	24	1	0	HIT	34.906
24	Column1	0	3	0	25	1	0	MISS	109.724
25	Column1	0	3	0	26	1	0	HIT	34.906
26	Column1	0	3	0	27	1	0	HIT	33.897
27	Column1	0	3	0	28	1	0	HIT	34.955
28	Column1	0	3	0	29	1	0	HIT	34.965
29	Column1	0	3	0	30	1	0	HIT	100.732
30	Column1	0	3	0	31	1	0	HIT	33.909
31	Column1	0	3	0	32	1	0	HIT	34.906
32	Column1	0	3	0	33	1	0	HIT	203.458
33	Column1	0	3	0	34	1	0	HIT	166.557
34	Column1	0	3	0	35	1	0	HIT	33.909
35	Column1	0	3	0	36	1	0	HIT	34.932
36	Column1	0	4	0	37	1	0	MISS	34.906
37	Column1	0	4	0	38	1	0	HIT	33.909
38	Column1	0	4	0	39	1	0	HIT	80.827
39	Column1	0	4	0	40	1	0	HIT	34.950
40	Column1	0	4	0	41	1	0	HIT	34.972
41	Column1	0	4	0	42	1	0	HIT	176.577
42	Column1	0	4	0	43	1	0	HIT	34.908
43	Column1	0	4	0	44	1	0	HIT	231.385
44	Column1	0	4	0	45	1	0	HIT	95.251
45	Column1	0	4	0	46	1	0	HIT	34.929
46	Column1	0	4	0	47	1	0	HIT	33.973
47	Column1	0	4	0	48	1	0	HIT	33.951
48	Column1	0	5	0	49	1	0	MISS	86.360
49	Column1	0	5	0	50	1	0	HIT	135.638
50	Column1	0	5	0	51	1	0	HIT	197.472
51	Column1	0	5	0	52	1	0	HIT	34.907
52	Column1	0	5	0	53	1	0	HIT	34.981
53	Column1	0	5	0	54	1	0	HIT	34.907
54	Column1	0	5	0	55	1	0	HIT	115.771
55	Column1	0	5	0	56	1	0	HIT	248.337
56	Column1	0	5	0	57	1	0	HIT	33.989
57	Column1	0	5	0	58	1	0	HIT	33.981
58	Column1	0	5	0	59	1	0	HIT	45.385
59	Column1	0	5	0	60	1	0	HIT	92.868
60	Column1	0	6	0	61	1	0	MISS	34.949
61	Column1	0	6	0	62	1	0	HIT	198.329
62	Column1	0	6	0	63	1	0	HIT	33.910
63	Column1	0	6	0	64	1	0	HIT	170.451
64	Column1	0	6	0	65	1	0	HIT	34.719
65	Column1	0	6	0	66	1	0	HIT	52.671
66	Column1	0	6	0	67	1	0	HIT	111.447
67	Column1	0	6	0	68	1	0	HIT	80.831
