===============D e t a i l================
ID	Region	Seg_X	Seg_Y	Pos_X	Pos_Y	HD	ESL	Stat	Frame Delay
0	Column60	11	34	121	364	1	0	MISS	185.273
1	Column60	11	34	121	365	1	0	HIT	93.468
2	Column60	11	34	121	366	1	0	HIT	164.282
3	Column60	11	34	121	367	1	0	HIT	141.665
4	Column60	11	34	121	368	1	0	HIT	36.050
5	Column60	11	34	121	369	1	0	HIT	34.952
6	Column60	11	34	121	370	1	0	HIT	34.906
7	Column60	11	34	121	371	1	0	HIT	128.656
8	Column60	11	34	121	372	1	0	HIT	34.906
9	Column60	11	34	121	373	1	0	HIT	33.896
10	Column60	11	34	121	374	1	0	HIT	33.954
11	Column60	11	34	121	375	1	0	HIT	34.907
12	Column60	11	35	121	376	1	0	MISS	131.647
13	Column60	11	35	121	377	1	0	HIT	34.906
14	Column60	11	35	121	378	1	0	HIT	34.905
15	Column60	11	35	121	379	1	0	HIT	34.907
16	Column60	11	35	121	380	1	0	HIT	35.946
17	Column60	11	35	121	381	1	0	HIT	34.977
18	Column60	11	35	121	382	1	0	HIT	98.778
19	Column60	11	35	121	383	1	0	HIT	33.652
20	Column60	11	35	121	384	1	0	HIT	34.989
21	Column60	11	35	121	385	1	0	HIT	34.096
22	Column60	11	35	121	386	1	0	HIT	34.781
23	Column60	11	35	121	387	1	0	HIT	35.858
24	Column60	11	36	121	388	1	0	MISS	33.764
25	Column60	11	36	121	389	1	0	HIT	34.677
26	Column60	11	36	121	390	1	0	HIT	35.082
27	Column60	11	36	121	391	1	0	HIT	34.906
28	Column60	11	36	121	392	1	0	HIT	33.980
29	Column60	11	36	121	393	1	0	HIT	34.908
30	Column60	11	36	121	394	1	0	HIT	188.268
31	Column60	11	36	121	395	1	0	HIT	32.906
32	Column60	11	36	121	396	1	0	HIT	34.907
33	Column60	11	36	121	397	1	0	HIT	68.468
34	Column60	11	36	121	398	1	0	HIT	142.619
35	Column60	11	36	121	399	1	0	HIT	33.988
36	Column60	11	37	121	400	1	0	MISS	33.893
37	Column60	11	37	121	401	1	0	HIT	172.589
38	Column60	11	37	121	402	1	0	HIT	109.770
39	Column60	11	37	121	403	1	0	HIT	39.895
40	Column60	11	37	121	404	1	0	HIT	63.590
41	Column60	11	37	121	405	1	0	HIT	223.453
42	Column60	11	37	121	406	1	0	HIT	34.794
43	Column60	11	37	121	407	1	0	HIT	33.931
44	Column60	11	37	121	408	1	0	HIT	60.263
45	Column60	11	37	121	409	1	0	HIT	88.055
46	Column60	11	37	121	410	1	0	HIT	115.770
47	Column60	11	37	121	411	1	0	HIT	154.690
48	Column60	11	38	121	412	1	0	MISS	34.890
49	Column60	11	38	121	413	1	0	HIT	79.770
50	Column60	11	38	121	414	1	0	HIT	156.632
51	Column60	11	38	121	415	1	0	HIT	34.897
52	Column60	11	38	121	416	1	0	HIT	35.413
53	Column60	11	38	121	417	1	0	HIT	84.194
54	Column60	11	38	121	418	1	0	HIT	78.910
55	Column60	11	38	121	419	1	0	HIT	137.633
56	Column60	11	38	121	420	1	0	HIT	59.841
57	Column60	11	38	121	421	1	0	HIT	61.879
58	Column60	11	38	121	422	1	0	HIT	141.173
59	Column60	11	38	121	423	1	0	HIT	44.045
60	Column60	11	39	121	424	1	0	MISS	33.430
61	Column60	11	39	121	425	1	0	HIT	133.412
62	Column60	11	39	121	426	1	0	HIT	87.764
63	Column60	11	39	121	427	1	0	HIT	75.802
64	Column60	11	39	121	428	1	0	HIT	147.606
65	Column60	11	39	121	429	1	0	HIT	34.907
