===============D e t a i l================
ID	Region	Seg_X	Seg_Y	Pos_X	Pos_Y	HD	ESL	Stat	Frame Delay
0	Column55	0	599	0	6535	1	0	MISS	33.899
1	Column55	0	599	0	6536	1	0	HIT	34.907
2	Column55	0	599	0	6537	1	0	HIT	34.949
3	Column55	0	599	0	6538	1	0	HIT	33.572
4	Column55	0	599	0	6539	1	0	HIT	34.198
5	Column55	0	599	0	6540	1	0	HIT	34.176
6	Column55	0	599	0	6541	1	0	HIT	33.986
7	Column55	0	599	0	6542	1	0	HIT	34.368
8	Column55	0	599	0	6543	1	0	HIT	35.546
9	Column55	0	599	0	6544	1	0	HIT	34.119
10	Column55	0	599	0	6545	1	0	HIT	33.157
11	Column55	0	599	0	6546	1	0	HIT	33.475
12	Column55	0	600	0	6547	1	0	MISS	35.451
13	Column55	0	600	0	6548	1	0	HIT	33.937
14	Column55	0	600	0	6549	1	0	HIT	34.140
15	Column55	0	600	0	6550	1	0	HIT	33.662
16	Column55	0	600	0	6551	1	0	HIT	34.351
17	Column55	0	600	0	6552	1	0	HIT	33.684
18	Column55	0	600	0	6553	1	0	HIT	34.430
19	Column55	0	600	0	6554	1	0	HIT	34.111
20	Column55	0	600	0	6555	1	0	HIT	33.054
21	Column55	0	600	0	6556	1	0	HIT	33.382
22	Column55	0	600	0	6557	1	0	HIT	35.416
23	Column55	0	600	0	6558	1	0	HIT	49.974
24	Column55	0	601	0	6559	1	0	MISS	35.831
25	Column55	0	601	0	6560	1	0	HIT	166.059
26	Column55	0	601	0	6561	1	0	HIT	93.855
27	Column55	0	601	0	6562	1	0	HIT	91.547
28	Column55	0	601	0	6563	1	0	HIT	110.836
29	Column55	0	601	0	6564	1	0	HIT	79.672
30	Column55	0	601	0	6565	1	0	HIT	80.968
31	Column55	0	601	0	6566	1	0	HIT	94.759
32	Column55	0	601	0	6567	1	0	HIT	94.081
33	Column55	0	601	0	6568	1	0	HIT	108.795
34	Column55	0	601	0	6569	1	0	HIT	82.021
35	Column55	0	601	0	6570	1	0	HIT	80.670
36	Column55	0	602	0	6571	1	0	MISS	34.997
37	Column55	0	602	0	6572	1	0	HIT	177.726
38	Column55	0	602	0	6573	1	0	HIT	77.234
39	Column55	0	602	0	6574	1	0	HIT	94.777
40	Column55	0	602	0	6575	1	0	HIT	112.287
41	Column55	0	602	0	6576	1	0	HIT	78.577
42	Column55	0	602	0	6577	1	0	HIT	113.451
43	Column55	0	602	0	6578	1	0	HIT	84.872
44	Column55	0	602	0	6579	1	0	HIT	105.410
45	Column55	0	602	0	6580	1	0	HIT	97.364
46	Column55	0	602	0	6581	1	0	HIT	76.258
47	Column55	0	602	0	6582	1	0	HIT	79.286
48	Column55	0	603	0	6583	1	0	MISS	34.023
49	Column55	0	603	0	6584	1	0	HIT	163.877
50	Column55	0	603	0	6585	1	0	HIT	112.955
51	Column55	0	603	0	6586	1	0	HIT	76.112
52	Column55	0	603	0	6587	1	0	HIT	80.881
53	Column55	0	603	0	6588	1	0	HIT	112.600
54	Column55	0	603	0	6589	1	0	HIT	81.655
55	Column55	0	603	0	6590	1	0	HIT	114.538
