===============D e t a i l================
ID	Region	Seg_X	Seg_Y	Pos_X	Pos_Y	HD	ESL	Stat	Frame Delay
0	Column1	0	1	0	1	1	0	MISS	34.909
1	Column1	0	1	0	2	1	0	HIT	34.906
2	Column1	0	1	0	3	1	0	HIT	35.204
3	Column1	0	1	0	4	1	0	HIT	35.302
4	Column1	0	1	0	5	1	0	HIT	34.473
5	Column1	0	1	0	6	1	0	HIT	33.247
6	Column1	0	1	0	7	1	0	HIT	33.113
7	Column1	0	1	0	8	1	0	HIT	33.081
8	Column1	0	1	0	9	1	0	HIT	34.307
9	Column1	0	1	0	10	1	0	HIT	33.629
10	Column1	0	1	0	11	1	0	HIT	33.953
11	Column1	0	1	0	12	1	0	HIT	34.524
12	Column1	0	2	0	13	1	0	MISS	33.477
13	Column1	0	2	0	14	1	0	HIT	33.640
14	Column1	0	2	0	15	1	0	HIT	34.978
15	Column1	0	2	0	16	1	0	HIT	34.977
16	Column1	0	2	0	17	1	0	HIT	33.759
17	Column1	0	2	0	18	1	0	HIT	33.189
18	Column1	0	2	0	19	1	0	HIT	33.661
19	Column1	0	2	0	20	1	0	HIT	34.041
20	Column1	0	2	0	21	1	0	HIT	33.396
21	Column1	0	2	0	22	1	0	HIT	34.763
22	Column1	0	2	0	23	1	0	HIT	33.097
23	Column1	0	2	0	24	1	0	HIT	35.449
24	Column1	0	3	0	25	1	0	MISS	33.255
25	Column1	0	3	0	26	1	0	HIT	95.594
26	Column1	0	3	0	27	1	0	HIT	110.790
27	Column1	0	3	0	28	1	0	HIT	78.376
28	Column1	0	3	0	29	1	0	HIT	80.291
29	Column1	0	3	0	30	1	0	HIT	82.613
30	Column1	0	3	0	31	1	0	HIT	111.034
31	Column1	0	3	0	32	1	0	HIT	80.369
32	Column1	0	3	0	33	1	0	HIT	81.090
33	Column1	0	3	0	34	1	0	HIT	113.720
34	Column1	0	3	0	35	1	0	HIT	75.386
35	Column1	0	3	0	36	1	0	HIT	80.206
36	Column1	0	4	0	37	1	0	MISS	35.412
37	Column1	0	4	0	38	1	0	HIT	163.688
38	Column1	0	4	0	39	1	0	HIT	78.462
39	Column1	0	4	0	40	1	0	HIT	81.269
40	Column1	0	4	0	41	1	0	HIT	109.975
41	Column1	0	4	0	42	1	0	HIT	80.660
42	Column1	0	4	0	43	1	0	HIT	80.259
43	Column1	0	4	0	44	1	0	HIT	82.210
44	Column1	0	4	0	45	1	0	HIT	110.044
45	Column1	0	4	0	46	1	0	HIT	79.515
46	Column1	0	4	0	47	1	0	HIT	79.928
47	Column1	0	4	0	48	1	0	HIT	80.758
48	Column1	0	5	0	49	1	0	MISS	34.949
49	Column1	0	5	0	50	1	0	HIT	163.771
50	Column1	0	5	0	51	1	0	HIT	78.393
