===============D e t a i l================
ID	Region	Seg_X	Seg_Y	Pos_X	Pos_Y	HD	ESL	Stat	Frame Delay
0	Column60	11	34	121	364	1	0	MISS	34.907
1	Column60	11	34	121	365	1	0	HIT	33.909
2	Column60	11	34	121	366	1	0	HIT	33.165
3	Column60	11	34	121	367	1	0	HIT	34.039
4	Column60	11	34	121	368	1	0	HIT	33.909
5	Column60	11	34	121	369	1	0	HIT	33.907
6	Column60	11	34	121	370	1	0	HIT	34.989
7	Column60	11	34	121	371	1	0	HIT	33.346
8	Column60	11	34	121	372	1	0	HIT	33.953
9	Column60	11	34	121	373	1	0	HIT	34.930
10	Column60	11	34	121	374	1	0	HIT	34.905
11	Column60	11	34	121	375	1	0	HIT	33.908
12	Column60	11	35	121	376	1	0	MISS	34.953
13	Column60	11	35	121	377	1	0	HIT	34.950
14	Column60	11	35	121	378	1	0	HIT	33.908
15	Column60	11	35	121	379	1	0	HIT	34.949
16	Column60	11	35	121	380	1	0	HIT	33.867
17	Column60	11	35	121	381	1	0	HIT	32.953
18	Column60	11	35	121	382	1	0	HIT	34.950
19	Column60	11	35	121	383	1	0	HIT	33.909
20	Column60	11	35	121	384	1	0	HIT	33.914
21	Column60	11	35	121	385	1	0	HIT	59.470
22	Column60	11	35	121	386	1	0	HIT	82.642
23	Column60	11	35	121	387	1	0	HIT	80.923
24	Column60	11	36	121	388	1	0	MISS	34.968
25	Column60	11	36	121	389	1	0	HIT	148.814
26	Column60	11	36	121	390	1	0	HIT	80.249
27	Column60	11	36	121	391	1	0	HIT	86.811
28	Column60	11	36	121	392	1	0	HIT	104.887
29	Column60	11	36	121	393	1	0	HIT	85.939
30	Column60	11	36	121	394	1	0	HIT	58.961
31	Column60	11	36	121	395	1	0	HIT	113.222
32	Column60	11	36	121	396	1	0	HIT	78.953
33	Column60	11	36	121	397	1	0	HIT	80.296
34	Column60	11	36	121	398	1	0	HIT	81.544
35	Column60	11	36	121	399	1	0	HIT	82.046
36	Column60	11	37	121	400	1	0	MISS	33.580
37	Column60	11	37	121	401	1	0	HIT	166.867
38	Column60	11	37	121	402	1	0	HIT	82.960
39	Column60	11	37	121	403	1	0	HIT	92.794
40	Column60	11	37	121	404	1	0	HIT	78.639
41	Column60	11	37	121	405	1	0	HIT	91.446
42	Column60	11	37	121	406	1	0	HIT	70.058
43	Column60	11	37	121	407	1	0	HIT	80.172
44	Column60	11	37	121	408	1	0	HIT	80.573
45	Column60	11	37	121	409	1	0	HIT	81.441
46	Column60	11	37	121	410	1	0	HIT	80.004
47	Column60	11	37	121	411	1	0	HIT	80.219
48	Column60	11	38	121	412	1	0	MISS	33.664
49	Column60	11	38	121	413	1	0	HIT	164.134
50	Column60	11	38	121	414	1	0	HIT	81.990
51	Column60	11	38	121	415	1	0	HIT	75.590
52	Column60	11	38	121	416	1	0	HIT	82.181
53	Column60	11	38	121	417	1	0	HIT	81.829
54	Column60	11	38	121	418	1	0	HIT	106.889
55	Column60	11	38	121	419	1	0	HIT	82.473
56	Column60	11	38	121	420	1	0	HIT	65.864
57	Column60	11	38	121	421	1	0	HIT	112.932
58	Column60	11	38	121	422	1	0	HIT	75.846
59	Column60	11	38	121	423	1	0	HIT	78.917
60	Column60	11	39	121	424	1	0	MISS	34.519
61	Column60	11	39	121	425	1	0	HIT	163.573
62	Column60	11	39	121	426	1	0	HIT	69.815
63	Column60	11	39	121	427	1	0	HIT	74.428
64	Column60	11	39	121	428	1	0	HIT	73.187
65	Column60	11	39	121	429	1	0	HIT	79.255
66	Column60	11	39	121	430	1	0	HIT	79.207
67	Column60	11	39	121	431	1	0	HIT	108.979
68	Column60	11	39	121	432	1	0	HIT	80.013
69	Column60	11	39	121	433	1	0	HIT	79.800
70	Column60	11	39	121	434	1	0	HIT	113.316
71	Column60	11	39	121	435	1	0	HIT	79.207
72	Column60	11	40	121	436	1	0	MISS	33.945
73	Column60	11	40	121	437	1	0	HIT	151.627
74	Column60	11	40	121	438	1	0	HIT	73.838
75	Column60	11	40	121	439	1	0	HIT	74.802
76	Column60	11	40	121	440	1	0	HIT	78.839
77	Column60	11	40	121	441	1	0	HIT	81.835
78	Column60	11	40	121	442	1	0	HIT	78.782
79	Column60	11	40	121	443	1	0	HIT	92.814
80	Column60	11	40	121	444	1	0	HIT	78.835
81	Column60	11	40	121	445	1	0	HIT	92.859
82	Column60	11	40	121	446	1	0	HIT	67.879
83	Column60	11	40	121	447	1	0	HIT	109.185
84	Column60	11	41	121	448	1	0	MISS	33.776
85	Column60	11	41	121	449	1	0	HIT	145.662
86	Column60	11	41	121	450	1	0	HIT	65.955
87	Column60	11	41	121	451	1	0	HIT	77.672
88	Column60	11	41	121	452	1	0	HIT	80.249
89	Column60	11	41	121	453	1	0	HIT	110.872
90	Column60	11	41	121	454	1	0	HIT	79.183
91	Column60	11	41	121	455	1	0	HIT	80.210
92	Column60	11	41	121	456	1	0	HIT	80.301
93	Column60	11	41	121	457	1	0	HIT	82.777
94	Column60	11	41	121	458	1	0	HIT	75.293
95	Column60	11	41	121	459	1	0	HIT	111.264
96	Column60	11	42	121	460	1	0	MISS	35.133
97	Column60	11	42	121	461	1	0	HIT	132.416
98	Column60	11	42	121	462	1	0	HIT	78.443
99	Column60	11	42	121	463	1	0	HIT	79.687
100	Column60	11	42	121	464	1	0	HIT	77.830
101	Column60	11	42	121	465	1	0	HIT	80.390
102	Column60	11	42	121	466	1	0	HIT	107.890
103	Column60	11	42	121	467	1	0	HIT	79.633
104	Column60	11	42	121	468	1	0	HIT	115.733
105	Column60	11	42	121	469	1	0	HIT	75.355
106	Column60	11	42	121	470	1	0	HIT	101.263
107	Column60	11	42	121	471	1	0	HIT	57.526
108	Column60	11	43	121	472	1	0	MISS	34.979
109	Column60	11	43	121	473	1	0	HIT	143.048
110	Column60	11	43	121	474	1	0	HIT	76.644
111	Column60	11	43	121	475	1	0	HIT	79.265
112	Column60	11	43	121	476	1	0	HIT	80.385
113	Column60	11	43	121	477	1	0	HIT	80.601
114	Column60	11	43	121	478	1	0	HIT	80.243
115	Column60	11	43	121	479	1	0	HIT	134.715
116	Column60	11	43	121	480	1	0	HIT	56.143
117	Column60	11	43	121	481	1	0	HIT	79.443
118	Column60	11	43	121	482	1	0	HIT	79.103
119	Column60	11	43	121	483	1	0	HIT	119.986
120	Row313	10	44	120	484	0	0	MISS	34.299
121	Row313	10	44	119	484	0	0	HIT	105.687
122	Row313	10	44	118	484	0	0	HIT	78.329
123	Row313	10	44	117	484	0	0	HIT	77.192
124	Row313	10	44	116	484	0	0	HIT	80.057
125	Row313	10	44	115	484	0	0	HIT	80.050
126	Row313	10	44	114	484	0	0	HIT	80.684
127	Row313	10	44	113	484	0	0	HIT	88.634
128	Row313	10	44	112	484	0	0	HIT	72.856
129	Row313	10	44	111	484	0	0	HIT	75.692
130	Row313	10	44	110	484	0	0	HIT	79.998
