===============D e t a i l================
ID	Region	Seg_X	Seg_Y	Pos_X	Pos_Y	HD	ESL	Stat	Frame Delay
0	Column1	0	1	0	1	1	0	MISS	34.907
1	Column1	0	1	0	2	1	0	HIT	94.750
2	Column1	0	1	0	3	1	0	HIT	91.755
3	Column1	0	1	0	4	1	0	HIT	33.911
4	Column1	0	1	0	5	1	0	HIT	33.951
5	Column1	0	1	0	6	1	0	HIT	34.949
6	Column1	0	1	0	7	1	0	HIT	34.906
7	Column1	0	1	0	8	1	0	HIT	33.322
8	Column1	0	1	0	9	1	0	HIT	33.926
9	Column1	0	1	0	10	1	0	HIT	35.267
10	Column1	0	1	0	11	1	0	HIT	33.937
11	Column1	0	1	0	12	1	0	HIT	34.883
12	Column1	0	2	0	13	1	0	MISS	52.852
13	Column1	0	2	0	14	1	0	HIT	53.362
14	Column1	0	2	0	15	1	0	HIT	36.890
15	Column1	0	2	0	16	1	0	HIT	33.944
16	Column1	0	2	0	17	1	0	HIT	34.948
17	Column1	0	2	0	18	1	0	HIT	33.954
18	Column1	0	2	0	19	1	0	HIT	33.926
19	Column1	0	2	0	20	1	0	HIT	34.043
20	Column1	0	2	0	21	1	0	HIT	34.989
21	Column1	0	2	0	22	1	0	HIT	33.910
22	Column1	0	2	0	23	1	0	HIT	33.910
23	Column1	0	2	0	24	1	0	HIT	34.908
24	Column1	0	3	0	25	1	0	MISS	76.797
25	Column1	0	3	0	26	1	0	HIT	69.813
26	Column1	0	3	0	27	1	0	HIT	65.511
27	Column1	0	3	0	28	1	0	HIT	80.997
28	Column1	0	3	0	29	1	0	HIT	107.131
29	Column1	0	3	0	30	1	0	HIT	82.699
30	Column1	0	3	0	31	1	0	HIT	82.392
31	Column1	0	3	0	32	1	0	HIT	113.201
32	Column1	0	3	0	33	1	0	HIT	77.874
33	Column1	0	3	0	34	1	0	HIT	75.597
34	Column1	0	3	0	35	1	0	HIT	96.278
35	Column1	0	3	0	36	1	0	HIT	93.746
36	Column1	0	4	0	37	1	0	MISS	34.977
37	Column1	0	4	0	38	1	0	HIT	158.577
38	Column1	0	4	0	39	1	0	HIT	74.342
39	Column1	0	4	0	40	1	0	HIT	79.793
40	Column1	0	4	0	41	1	0	HIT	110.996
41	Column1	0	4	0	42	1	0	HIT	81.533
42	Column1	0	4	0	43	1	0	HIT	81.753
43	Column1	0	4	0	44	1	0	HIT	85.606
44	Column1	0	4	0	45	1	0	HIT	124.713
45	Column1	0	4	0	46	1	0	HIT	46.513
46	Column1	0	4	0	47	1	0	HIT	111.762
47	Column1	0	4	0	48	1	0	HIT	80.299
48	Column1	0	5	0	49	1	0	MISS	34.998
49	Column1	0	5	0	50	1	0	HIT	216.632
50	Column1	0	5	0	51	1	0	HIT	34.495
51	Column1	0	5	0	52	1	0	HIT	95.647
52	Column1	0	5	0	53	1	0	HIT	105.753
53	Column1	0	5	0	54	1	0	HIT	68.569
54	Column1	0	5	0	55	1	0	HIT	97.381
55	Column1	0	5	0	56	1	0	HIT	80.786
56	Column1	0	5	0	57	1	0	HIT	71.802
57	Column1	0	5	0	58	1	0	HIT	114.695
58	Column1	0	5	0	59	1	0	HIT	82.850
59	Column1	0	5	0	60	1	0	HIT	72.208
60	Column1	0	6	0	61	1	0	MISS	33.997
61	Column1	0	6	0	62	1	0	HIT	199.508
62	Column1	0	6	0	63	1	0	HIT	43.475
63	Column1	0	6	0	64	1	0	HIT	78.772
64	Column1	0	6	0	65	1	0	HIT	110.980
65	Column1	0	6	0	66	1	0	HIT	80.838
66	Column1	0	6	0	67	1	0	HIT	81.937
67	Column1	0	6	0	68	1	0	HIT	81.857
68	Column1	0	6	0	69	1	0	HIT	107.755
69	Column1	0	6	0	70	1	0	HIT	84.817
70	Column1	0	6	0	71	1	0	HIT	91.295
71	Column1	0	6	0	72	1	0	HIT	78.589
72	Column1	0	7	0	73	1	0	MISS	34.944
73	Column1	0	7	0	74	1	0	HIT	186.624
74	Column1	0	7	0	75	1	0	HIT	42.813
75	Column1	0	7	0	76	1	0	HIT	79.256
76	Column1	0	7	0	77	1	0	HIT	95.855
77	Column1	0	7	0	78	1	0	HIT	110.140
78	Column1	0	7	0	79	1	0	HIT	80.755
79	Column1	0	7	0	80	1	0	HIT	114.415
80	Column1	0	7	0	81	1	0	HIT	50.865
81	Column1	0	7	0	82	1	0	HIT	115.851
82	Column1	0	7	0	83	1	0	HIT	61.838
83	Column1	0	7	0	84	1	0	HIT	106.628
84	Column1	0	8	0	85	1	0	MISS	34.978
85	Column1	0	8	0	86	1	0	HIT	133.630
86	Column1	0	8	0	87	1	0	HIT	109.038
87	Column1	0	8	0	88	1	0	HIT	77.576
88	Column1	0	8	0	89	1	0	HIT	82.943
89	Column1	0	8	0	90	1	0	HIT	81.167
90	Column1	0	8	0	91	1	0	HIT	157.656
91	Column1	0	8	0	92	1	0	HIT	37.943
92	Column1	0	8	0	93	1	0	HIT	77.902
93	Column1	0	8	0	94	1	0	HIT	98.737
94	Column1	0	8	0	95	1	0	HIT	105.715
95	Column1	0	8	0	96	1	0	HIT	85.814
96	Column1	0	9	0	97	1	0	MISS	33.981
97	Column1	0	9	0	98	1	0	HIT	115.742
98	Column1	0	9	0	99	1	0	HIT	76.777
99	Column1	0	9	0	100	1	0	HIT	81.847
100	Column1	0	9	0	101	1	0	HIT	112.640
101	Column1	0	9	0	102	1	0	HIT	78.790
102	Column1	0	9	0	103	1	0	HIT	131.642
103	Column1	0	9	0	104	1	0	HIT	49.484
104	Column1	0	9	0	105	1	0	HIT	68.814
105	Column1	0	9	0	106	1	0	HIT	115.023
106	Column1	0	9	0	107	1	0	HIT	112.741
107	Column1	0	9	0	108	1	0	HIT	91.801
108	Column1	0	10	0	109	1	0	MISS	33.954
109	Column1	0	10	0	110	1	0	HIT	118.753
110	Column1	0	10	0	111	1	0	HIT	67.864
111	Column1	0	10	0	112	1	0	HIT	81.605
112	Column1	0	10	0	113	1	0	HIT	78.201
113	Column1	0	10	0	114	1	0	HIT	96.392
114	Column1	0	10	0	115	1	0	HIT	112.354
115	Column1	0	10	0	116	1	0	HIT	64.806
