===============D e t a i l================
ID	Region	Seg_X	Seg_Y	Pos_X	Pos_Y	HD	ESL	Stat	Frame Delay
0	Column55	0	599	0	6535	1	0	MISS	125.664
1	Column55	0	599	0	6536	1	0	HIT	205.496
2	Column55	0	599	0	6537	1	0	HIT	134.575
3	Column55	0	599	0	6538	1	0	HIT	174.164
4	Column55	0	599	0	6539	1	0	HIT	159.082
5	Column55	0	599	0	6540	1	0	HIT	140.625
6	Column55	0	599	0	6541	1	0	HIT	52.858
7	Column55	0	599	0	6542	1	0	HIT	98.737
8	Column55	0	599	0	6543	1	0	HIT	34.905
9	Column55	0	599	0	6544	1	0	HIT	105.717
10	Column55	0	599	0	6545	1	0	HIT	35.923
11	Column55	0	599	0	6546	1	0	HIT	34.941
12	Column55	0	600	0	6547	1	0	MISS	89.785
13	Column55	0	600	0	6548	1	0	HIT	33.957
14	Column55	0	600	0	6549	1	0	HIT	34.907
15	Column55	0	600	0	6550	1	0	HIT	34.978
16	Column55	0	600	0	6551	1	0	HIT	88.864
17	Column55	0	600	0	6552	1	0	HIT	33.909
18	Column55	0	600	0	6553	1	0	HIT	33.950
19	Column55	0	600	0	6554	1	0	HIT	34.949
20	Column55	0	600	0	6555	1	0	HIT	32.992
21	Column55	0	600	0	6556	1	0	HIT	93.836
22	Column55	0	600	0	6557	1	0	HIT	33.956
23	Column55	0	600	0	6558	1	0	HIT	33.631
24	Column55	0	601	0	6559	1	0	MISS	34.906
25	Column55	0	601	0	6560	1	0	HIT	291.097
26	Column55	0	601	0	6561	1	0	HIT	34.937
27	Column55	0	601	0	6562	1	0	HIT	35.020
28	Column55	0	601	0	6563	1	0	HIT	34.404
29	Column55	0	601	0	6564	1	0	HIT	33.816
30	Column55	0	601	0	6565	1	0	HIT	35.235
31	Column55	0	601	0	6566	1	0	HIT	34.926
32	Column55	0	601	0	6567	1	0	HIT	34.840
33	Column55	0	601	0	6568	1	0	HIT	63.832
34	Column55	0	601	0	6569	1	0	HIT	134.642
35	Column55	0	601	0	6570	1	0	HIT	46.918
36	Column55	0	602	0	6571	1	0	MISS	34.979
37	Column55	0	602	0	6572	1	0	HIT	131.507
38	Column55	0	602	0	6573	1	0	HIT	99.729
39	Column55	0	602	0	6574	1	0	HIT	124.749
40	Column55	0	602	0	6575	1	0	HIT	104.213
41	Column55	0	602	0	6576	1	0	HIT	52.860
42	Column55	0	602	0	6577	1	0	HIT	126.663
43	Column55	0	602	0	6578	1	0	HIT	100.520
44	Column55	0	602	0	6579	1	0	HIT	38.297
45	Column55	0	602	0	6580	1	0	HIT	111.631
46	Column55	0	602	0	6581	1	0	HIT	104.532
47	Column55	0	602	0	6582	1	0	HIT	83.820
48	Column55	0	603	0	6583	1	0	MISS	102.796
49	Column55	0	603	0	6584	1	0	HIT	63.830
50	Column55	0	603	0	6585	1	0	HIT	126.712
51	Column55	0	603	0	6586	1	0	HIT	93.793
52	Column55	0	603	0	6587	1	0	HIT	73.847
53	Column55	0	603	0	6588	1	0	HIT	145.654
54	Column55	0	603	0	6589	1	0	HIT	75.823
55	Column55	0	603	0	6590	1	0	HIT	47.875
56	Column55	0	603	0	6591	1	0	HIT	200.519
57	Column55	0	603	0	6592	1	0	HIT	73.803
58	Column55	0	603	0	6593	1	0	HIT	34.907
59	Column55	0	603	0	6594	1	0	HIT	139.717
60	Column55	0	604	0	6595	1	0	MISS	33.949
61	Column55	0	604	0	6596	1	0	HIT	103.235
62	Column55	0	604	0	6597	1	0	HIT	100.731
63	Column55	0	604	0	6598	1	0	HIT	88.762
64	Column55	0	604	0	6599	1	0	HIT	99.735
65	Column55	0	604	0	6600	1	0	HIT	153.591
66	Column55	0	604	0	6601	1	0	HIT	32.989
67	Column55	0	604	0	6602	1	0	HIT	92.755
68	Column55	0	604	0	6603	1	0	HIT	149.600
69	Column55	0	604	0	6604	1	0	HIT	116.688
70	Column55	0	604	0	6605	1	0	HIT	76.832
71	Column55	0	604	0	6606	1	0	HIT	36.981
72	Column55	0	605	0	6607	1	0	MISS	33.992
73	Column55	0	605	0	6608	1	0	HIT	155.634
74	Column55	0	605	0	6609	1	0	HIT	80.786
75	Column55	0	605	0	6610	1	0	HIT	77.794
76	Column55	0	605	0	6611	1	0	HIT	97.784
77	Column55	0	605	0	6612	1	0	HIT	149.390
