===============D e t a i l================
ID	Region	Seg_X	Seg_Y	Pos_X	Pos_Y	HD	ESL	Stat	Frame Delay
0	Column1	0	1	0	1	1	0	MISS	32.913
1	Column1	0	1	0	2	1	0	HIT	51.873
2	Column1	0	1	0	3	1	0	HIT	33.909
3	Column1	0	1	0	4	1	0	HIT	33.951
4	Column1	0	1	0	5	1	0	HIT	34.964
5	Column1	0	1	0	6	1	0	HIT	34.907
6	Column1	0	1	0	7	1	0	HIT	33.550
7	Column1	0	1	0	8	1	0	HIT	33.569
8	Column1	0	1	0	9	1	0	HIT	33.026
9	Column1	0	1	0	10	1	0	HIT	33.538
10	Column1	0	1	0	11	1	0	HIT	33.908
11	Column1	0	1	0	12	1	0	HIT	34.021
12	Column1	0	2	0	13	1	0	MISS	34.943
13	Column1	0	2	0	14	1	0	HIT	34.067
14	Column1	0	2	0	15	1	0	HIT	34.906
15	Column1	0	2	0	16	1	0	HIT	33.909
16	Column1	0	2	0	17	1	0	HIT	33.908
17	Column1	0	2	0	18	1	0	HIT	33.953
18	Column1	0	2	0	19	1	0	HIT	34.945
19	Column1	0	2	0	20	1	0	HIT	33.193
20	Column1	0	2	0	21	1	0	HIT	34.837
21	Column1	0	2	0	22	1	0	HIT	79.659
22	Column1	0	2	0	23	1	0	HIT	111.197
23	Column1	0	2	0	24	1	0	HIT	102.766
24	Column1	0	3	0	25	1	0	MISS	34.905
25	Column1	0	3	0	26	1	0	HIT	102.769
26	Column1	0	3	0	27	1	0	HIT	107.165
27	Column1	0	3	0	28	1	0	HIT	78.776
28	Column1	0	3	0	29	1	0	HIT	110.297
29	Column1	0	3	0	30	1	0	HIT	79.684
30	Column1	0	3	0	31	1	0	HIT	111.333
31	Column1	0	3	0	32	1	0	HIT	79.988
32	Column1	0	3	0	33	1	0	HIT	79.397
33	Column1	0	3	0	34	1	0	HIT	81.520
34	Column1	0	3	0	35	1	0	HIT	95.382
35	Column1	0	3	0	36	1	0	HIT	118.725
36	Column1	0	4	0	37	1	0	MISS	34.897
37	Column1	0	4	0	38	1	0	HIT	107.573
38	Column1	0	4	0	39	1	0	HIT	110.154
