===============D e t a i l================
ID	Region	Seg_X	Seg_Y	Pos_X	Pos_Y	HD	ESL	Stat	Frame Delay
0	Column60	11	34	121	364	1	0	MISS	32.914
1	Column60	11	34	121	365	1	0	HIT	55.851
2	Column60	11	34	121	366	1	0	HIT	46.876
3	Column60	11	34	121	367	1	0	HIT	35.007
4	Column60	11	34	121	368	1	0	HIT	33.676
5	Column60	11	34	121	369	1	0	HIT	34.907
6	Column60	11	34	121	370	1	0	HIT	35.000
7	Column60	11	34	121	371	1	0	HIT	34.907
8	Column60	11	34	121	372	1	0	HIT	34.263
9	Column60	11	34	121	373	1	0	HIT	34.598
10	Column60	11	34	121	374	1	0	HIT	35.086
11	Column60	11	34	121	375	1	0	HIT	34.682
12	Column60	11	35	121	376	1	0	MISS	34.503
13	Column60	11	35	121	377	1	0	HIT	33.909
14	Column60	11	35	121	378	1	0	HIT	33.176
15	Column60	11	35	121	379	1	0	HIT	34.907
16	Column60	11	35	121	380	1	0	HIT	33.909
17	Column60	11	35	121	381	1	0	HIT	34.906
18	Column60	11	35	121	382	1	0	HIT	34.906
19	Column60	11	35	121	383	1	0	HIT	33.910
20	Column60	11	35	121	384	1	0	HIT	33.953
21	Column60	11	35	121	385	1	0	HIT	70.323
22	Column60	11	35	121	386	1	0	HIT	34.904
23	Column60	11	35	121	387	1	0	HIT	42.887
24	Column60	11	36	121	388	1	0	MISS	33.909
25	Column60	11	36	121	389	1	0	HIT	186.524
26	Column60	11	36	121	390	1	0	HIT	78.860
27	Column60	11	36	121	391	1	0	HIT	42.886
28	Column60	11	36	121	392	1	0	HIT	133.694
29	Column60	11	36	121	393	1	0	HIT	40.722
30	Column60	11	36	121	394	1	0	HIT	82.204
31	Column60	11	36	121	395	1	0	HIT	109.413
32	Column60	11	36	121	396	1	0	HIT	79.946
33	Column60	11	36	121	397	1	0	HIT	80.213
34	Column60	11	36	121	398	1	0	HIT	83.505
35	Column60	11	36	121	399	1	0	HIT	81.084
36	Column60	11	37	121	400	1	0	MISS	33.471
37	Column60	11	37	121	401	1	0	HIT	165.080
38	Column60	11	37	121	402	1	0	HIT	80.870
39	Column60	11	37	121	403	1	0	HIT	86.300
40	Column60	11	37	121	404	1	0	HIT	138.680
41	Column60	11	37	121	405	1	0	HIT	34.905
42	Column60	11	37	121	406	1	0	HIT	70.812
43	Column60	11	37	121	407	1	0	HIT	75.201
44	Column60	11	37	121	408	1	0	HIT	112.971
45	Column60	11	37	121	409	1	0	HIT	79.899
46	Column60	11	37	121	410	1	0	HIT	100.782
47	Column60	11	37	121	411	1	0	HIT	73.854
48	Column60	11	38	121	412	1	0	MISS	55.850
49	Column60	11	38	121	413	1	0	HIT	106.928
50	Column60	11	38	121	414	1	0	HIT	79.524
51	Column60	11	38	121	415	1	0	HIT	80.617
52	Column60	11	38	121	416	1	0	HIT	77.934
53	Column60	11	38	121	417	1	0	HIT	81.008
54	Column60	11	38	121	418	1	0	HIT	113.004
55	Column60	11	38	121	419	1	0	HIT	75.799
56	Column60	11	38	121	420	1	0	HIT	78.791
57	Column60	11	38	121	421	1	0	HIT	79.829
58	Column60	11	38	121	422	1	0	HIT	76.607
59	Column60	11	38	121	423	1	0	HIT	81.036
