===============D e t a i l================
ID	Region	Seg_X	Seg_Y	Pos_X	Pos_Y	HD	ESL	Stat	Frame Delay
0	Column1	0	1	0	1	1	0	MISS	33.910
1	Column1	0	1	0	2	1	0	HIT	34.906
2	Column1	0	1	0	3	1	0	HIT	34.491
3	Column1	0	1	0	4	1	0	HIT	34.955
4	Column1	0	1	0	5	1	0	HIT	35.625
5	Column1	0	1	0	6	1	0	HIT	34.967
6	Column1	0	1	0	7	1	0	HIT	34.194
7	Column1	0	1	0	8	1	0	HIT	34.940
8	Column1	0	1	0	9	1	0	HIT	33.886
9	Column1	0	1	0	10	1	0	HIT	34.886
10	Column1	0	1	0	11	1	0	HIT	34.391
11	Column1	0	1	0	12	1	0	HIT	34.250
12	Column1	0	2	0	13	1	0	MISS	34.952
13	Column1	0	2	0	14	1	0	HIT	33.029
14	Column1	0	2	0	15	1	0	HIT	33.909
15	Column1	0	2	0	16	1	0	HIT	33.908
16	Column1	0	2	0	17	1	0	HIT	33.910
17	Column1	0	2	0	18	1	0	HIT	34.547
18	Column1	0	2	0	19	1	0	HIT	33.953
19	Column1	0	2	0	20	1	0	HIT	34.907
20	Column1	0	2	0	21	1	0	HIT	95.301
21	Column1	0	2	0	22	1	0	HIT	91.805
22	Column1	0	2	0	23	1	0	HIT	77.795
23	Column1	0	2	0	24	1	0	HIT	78.951
24	Column1	0	3	0	25	1	0	MISS	34.940
25	Column1	0	3	0	26	1	0	HIT	146.742
26	Column1	0	3	0	27	1	0	HIT	92.699
27	Column1	0	3	0	28	1	0	HIT	86.479
28	Column1	0	3	0	29	1	0	HIT	87.139
29	Column1	0	3	0	30	1	0	HIT	81.826
30	Column1	0	3	0	31	1	0	HIT	84.701
31	Column1	0	3	0	32	1	0	HIT	93.851
32	Column1	0	3	0	33	1	0	HIT	97.155
33	Column1	0	3	0	34	1	0	HIT	77.334
34	Column1	0	3	0	35	1	0	HIT	94.800
35	Column1	0	3	0	36	1	0	HIT	94.390
36	Column1	0	4	0	37	1	0	MISS	33.613
37	Column1	0	4	0	38	1	0	HIT	164.439
38	Column1	0	4	0	39	1	0	HIT	78.791
39	Column1	0	4	0	40	1	0	HIT	74.964
40	Column1	0	4	0	41	1	0	HIT	99.735
41	Column1	0	4	0	42	1	0	HIT	71.896
42	Column1	0	4	0	43	1	0	HIT	94.297
43	Column1	0	4	0	44	1	0	HIT	109.997
44	Column1	0	4	0	45	1	0	HIT	73.284
45	Column1	0	4	0	46	1	0	HIT	99.831
46	Column1	0	4	0	47	1	0	HIT	63.665
47	Column1	0	4	0	48	1	0	HIT	88.753
48	Column1	0	5	0	49	1	0	MISS	34.951
49	Column1	0	5	0	50	1	0	HIT	156.493
50	Column1	0	5	0	51	1	0	HIT	104.177
51	Column1	0	5	0	52	1	0	HIT	78.790
52	Column1	0	5	0	53	1	0	HIT	79.837
53	Column1	0	5	0	54	1	0	HIT	94.791
54	Column1	0	5	0	55	1	0	HIT	99.852
55	Column1	0	5	0	56	1	0	HIT	94.896
56	Column1	0	5	0	57	1	0	HIT	75.917
57	Column1	0	5	0	58	1	0	HIT	79.827
58	Column1	0	5	0	59	1	0	HIT	100.777
59	Column1	0	5	0	60	1	0	HIT	68.909
60	Column1	0	6	0	61	1	0	MISS	34.936
61	Column1	0	6	0	62	1	0	HIT	148.812
62	Column1	0	6	0	63	1	0	HIT	91.354
63	Column1	0	6	0	64	1	0	HIT	92.797
64	Column1	0	6	0	65	1	0	HIT	94.504
65	Column1	0	6	0	66	1	0	HIT	95.123
66	Column1	0	6	0	67	1	0	HIT	76.882
67	Column1	0	6	0	68	1	0	HIT	80.931
68	Column1	0	6	0	69	1	0	HIT	90.873
69	Column1	0	6	0	70	1	0	HIT	79.789
70	Column1	0	6	0	71	1	0	HIT	94.884
71	Column1	0	6	0	72	1	0	HIT	74.889
72	Column1	0	7	0	73	1	0	MISS	34.079
73	Column1	0	7	0	74	1	0	HIT	167.593
74	Column1	0	7	0	75	1	0	HIT	76.882
75	Column1	0	7	0	76	1	0	HIT	75.886
76	Column1	0	7	0	77	1	0	HIT	79.424
77	Column1	0	7	0	78	1	0	HIT	94.842
78	Column1	0	7	0	79	1	0	HIT	123.701
79	Column1	0	7	0	80	1	0	HIT	80.524
80	Column1	0	7	0	81	1	0	HIT	93.785
81	Column1	0	7	0	82	1	0	HIT	77.835
82	Column1	0	7	0	83	1	0	HIT	80.776
83	Column1	0	7	0	84	1	0	HIT	93.794
84	Column1	0	8	0	85	1	0	MISS	34.946
85	Column1	0	8	0	86	1	0	HIT	148.397
86	Column1	0	8	0	87	1	0	HIT	91.890
87	Column1	0	8	0	88	1	0	HIT	89.625
88	Column1	0	8	0	89	1	0	HIT	79.836
89	Column1	0	8	0	90	1	0	HIT	93.386
90	Column1	0	8	0	91	1	0	HIT	77.767
91	Column1	0	8	0	92	1	0	HIT	94.141
92	Column1	0	8	0	93	1	0	HIT	78.832
93	Column1	0	8	0	94	1	0	HIT	101.727
94	Column1	0	8	0	95	1	0	HIT	71.945
95	Column1	0	8	0	96	1	0	HIT	95.225
96	Column1	0	9	0	97	1	0	MISS	34.945
97	Column1	0	9	0	98	1	0	HIT	147.154
98	Column1	0	9	0	99	1	0	HIT	80.937
99	Column1	0	9	0	100	1	0	HIT	89.861
100	Column1	0	9	0	101	1	0	HIT	80.828
101	Column1	0	9	0	102	1	0	HIT	94.830
102	Column1	0	9	0	103	1	0	HIT	94.878
103	Column1	0	9	0	104	1	0	HIT	77.866
104	Column1	0	9	0	105	1	0	HIT	78.793
105	Column1	0	9	0	106	1	0	HIT	93.804
106	Column1	0	9	0	107	1	0	HIT	78.791
107	Column1	0	9	0	108	1	0	HIT	95.525
108	Column1	0	10	0	109	1	0	MISS	34.924
109	Column1	0	10	0	110	1	0	HIT	146.272
110	Column1	0	10	0	111	1	0	HIT	79.390
111	Column1	0	10	0	112	1	0	HIT	91.263
112	Column1	0	10	0	113	1	0	HIT	77.865
113	Column1	0	10	0	114	1	0	HIT	93.757
114	Column1	0	10	0	115	1	0	HIT	91.851
115	Column1	0	10	0	116	1	0	HIT	79.877
116	Column1	0	10	0	117	1	0	HIT	93.385
117	Column1	0	10	0	118	1	0	HIT	79.283
118	Column1	0	10	0	119	1	0	HIT	79.788
119	Column1	0	10	0	120	1	0	HIT	79.007
120	Row331	1	11	1	121	2	1	MISS	20.763
121	Row331	1	11	2	121	2	1	HIT	74.348
122	Row331	1	11	3	121	2	1	HIT	27.971
123	Row331	1	11	4	121	2	1	HIT	51.077
124	Row331	1	11	5	121	2	1	HIT	38.940
125	Row331	1	11	6	121	2	1	HIT	30.961
126	Row331	1	11	7	121	2	1	HIT	33.941
127	Row331	1	11	8	121	2	1	HIT	32.957
128	Row331	1	11	9	121	2	1	HIT	49.911
129	Row331	1	11	10	121	2	1	HIT	33.942
130	Row331	1	11	11	121	2	1	HIT	32.908
131	Row331	1	11	12	121	2	1	HIT	48.872
132	Row331	2	11	13	121	2	1	MISS	21.984
133	Row331	2	11	14	121	2	1	HIT	66.865
134	Row331	2	11	15	121	2	1	HIT	33.986
135	Row331	2	11	16	121	2	1	HIT	40.940
136	Row331	2	11	17	121	2	1	HIT	33.952
137	Row331	2	11	18	121	2	1	HIT	49.870
138	Row331	2	11	19	121	2	1	HIT	52.896
139	Row331	2	11	20	121	2	1	HIT	21.112
140	Row331	2	11	21	121	2	1	HIT	24.975
141	Row331	2	11	22	121	2	1	HIT	42.569
142	Row331	2	11	23	121	2	1	HIT	37.942
143	Row331	2	11	24	121	2	1	HIT	32.813
144	Row331	3	11	25	121	2	1	MISS	20.880
145	Row331	3	11	26	121	2	1	HIT	80.467
146	Row331	3	11	27	121	2	1	HIT	34.086
147	Row331	3	11	28	121	2	1	HIT	31.914
148	Row331	3	11	29	121	2	1	HIT	30.920
149	Row331	3	11	30	121	2	1	HIT	60.807
150	Row331	3	11	31	121	2	1	HIT	22.032
151	Row331	3	11	32	121	2	1	HIT	33.909
152	Row331	3	11	33	121	2	1	HIT	46.925
153	Row331	3	11	34	121	2	1	HIT	33.223
154	Row331	3	11	35	121	2	1	HIT	32.913
155	Row331	3	11	36	121	2	1	HIT	36.945
156	Row331	4	11	37	121	2	1	MISS	21.182
157	Row331	4	11	38	121	2	1	HIT	66.326
158	Row331	4	11	39	121	2	1	HIT	33.925
159	Row331	4	11	40	121	2	1	HIT	53.906
160	Row331	4	11	41	121	2	1	HIT	29.326
161	Row331	4	11	42	121	2	1	HIT	45.879
162	Row331	4	11	43	121	2	1	HIT	33.095
163	Row331	4	11	44	121	2	1	HIT	33.909
164	Row331	4	11	45	121	2	1	HIT	33.912
165	Row331	4	11	46	121	2	1	HIT	47.952
166	Row331	4	11	47	121	2	1	HIT	34.955
167	Row331	4	11	48	121	2	1	HIT	33.006
168	Row331	5	11	49	121	2	1	MISS	20.944
