===============D e t a i l================
ID	Region	Seg_X	Seg_Y	Pos_X	Pos_Y	HD	ESL	Stat	Frame Delay
0	Column1	0	1	0	1	1	0	MISS	32.912
1	Column1	0	1	0	2	1	0	HIT	101.871
2	Column1	0	1	0	3	1	0	HIT	33.242
3	Column1	0	1	0	4	1	0	HIT	34.325
4	Column1	0	1	0	5	1	0	HIT	34.483
5	Column1	0	1	0	6	1	0	HIT	34.643
6	Column1	0	1	0	7	1	0	HIT	33.634
7	Column1	0	1	0	8	1	0	HIT	34.179
8	Column1	0	1	0	9	1	0	HIT	33.187
9	Column1	0	1	0	10	1	0	HIT	34.323
10	Column1	0	1	0	11	1	0	HIT	33.430
11	Column1	0	1	0	12	1	0	HIT	34.134
12	Column1	0	2	0	13	1	0	MISS	33.466
13	Column1	0	2	0	14	1	0	HIT	33.294
14	Column1	0	2	0	15	1	0	HIT	34.292
15	Column1	0	2	0	16	1	0	HIT	33.910
16	Column1	0	2	0	17	1	0	HIT	34.336
17	Column1	0	2	0	18	1	0	HIT	34.931
18	Column1	0	2	0	19	1	0	HIT	33.981
19	Column1	0	2	0	20	1	0	HIT	34.365
20	Column1	0	2	0	21	1	0	HIT	34.854
21	Column1	0	2	0	22	1	0	HIT	33.357
22	Column1	0	2	0	23	1	0	HIT	34.548
23	Column1	0	2	0	24	1	0	HIT	33.892
24	Column1	0	3	0	25	1	0	MISS	33.634
25	Column1	0	3	0	26	1	0	HIT	34.906
26	Column1	0	3	0	27	1	0	HIT	68.940
27	Column1	0	3	0	28	1	0	HIT	79.775
28	Column1	0	3	0	29	1	0	HIT	75.885
29	Column1	0	3	0	30	1	0	HIT	95.852
30	Column1	0	3	0	31	1	0	HIT	94.784
31	Column1	0	3	0	32	1	0	HIT	108.812
32	Column1	0	3	0	33	1	0	HIT	79.869
33	Column1	0	3	0	34	1	0	HIT	64.875
34	Column1	0	3	0	35	1	0	HIT	92.801
35	Column1	0	3	0	36	1	0	HIT	108.765
36	Column1	0	4	0	37	1	0	MISS	33.952
37	Column1	0	4	0	38	1	0	HIT	141.184
38	Column1	0	4	0	39	1	0	HIT	97.338
39	Column1	0	4	0	40	1	0	HIT	71.841
40	Column1	0	4	0	41	1	0	HIT	93.800
41	Column1	0	4	0	42	1	0	HIT	60.841
42	Column1	0	4	0	43	1	0	HIT	106.767
43	Column1	0	4	0	44	1	0	HIT	107.714
44	Column1	0	4	0	45	1	0	HIT	48.872
45	Column1	0	4	0	46	1	0	HIT	107.752
