===============D e t a i l================
ID	Region	Seg_X	Seg_Y	Pos_X	Pos_Y	HD	ESL	Stat	Frame Delay
0	Column1	0	1	0	1	1	0	MISS	32.928
1	Column1	0	1	0	2	1	0	HIT	34.413
2	Column1	0	1	0	3	1	0	HIT	33.762
3	Column1	0	1	0	4	1	0	HIT	34.905
4	Column1	0	1	0	5	1	0	HIT	33.909
5	Column1	0	1	0	6	1	0	HIT	33.126
6	Column1	0	1	0	7	1	0	HIT	34.989
7	Column1	0	1	0	8	1	0	HIT	34.189
8	Column1	0	1	0	9	1	0	HIT	33.952
9	Column1	0	1	0	10	1	0	HIT	33.954
10	Column1	0	1	0	11	1	0	HIT	34.907
11	Column1	0	1	0	12	1	0	HIT	33.968
12	Column1	0	2	0	13	1	0	MISS	35.028
13	Column1	0	2	0	14	1	0	HIT	34.687
14	Column1	0	2	0	15	1	0	HIT	33.506
15	Column1	0	2	0	16	1	0	HIT	34.262
16	Column1	0	2	0	17	1	0	HIT	34.464
17	Column1	0	2	0	18	1	0	HIT	33.865
18	Column1	0	2	0	19	1	0	HIT	34.537
19	Column1	0	2	0	20	1	0	HIT	35.058
20	Column1	0	2	0	21	1	0	HIT	34.909
21	Column1	0	2	0	22	1	0	HIT	34.948
22	Column1	0	2	0	23	1	0	HIT	33.747
23	Column1	0	2	0	24	1	0	HIT	33.447
24	Column1	0	3	0	25	1	0	MISS	34.943
25	Column1	0	3	0	26	1	0	HIT	34.907
26	Column1	0	3	0	27	1	0	HIT	34.617
27	Column1	0	3	0	28	1	0	HIT	33.586
28	Column1	0	3	0	29	1	0	HIT	35.051
29	Column1	0	3	0	30	1	0	HIT	35.193
30	Column1	0	3	0	31	1	0	HIT	34.907
31	Column1	0	3	0	32	1	0	HIT	34.531
32	Column1	0	3	0	33	1	0	HIT	33.195
33	Column1	0	3	0	34	1	0	HIT	33.538
34	Column1	0	3	0	35	1	0	HIT	33.950
35	Column1	0	3	0	36	1	0	HIT	34.597
36	Column1	0	4	0	37	1	0	MISS	34.912
37	Column1	0	4	0	38	1	0	HIT	34.907
38	Column1	0	4	0	39	1	0	HIT	33.910
39	Column1	0	4	0	40	1	0	HIT	34.908
40	Column1	0	4	0	41	1	0	HIT	34.229
41	Column1	0	4	0	42	1	0	HIT	34.576
42	Column1	0	4	0	43	1	0	HIT	35.604
43	Column1	0	4	0	44	1	0	HIT	35.091
44	Column1	0	4	0	45	1	0	HIT	33.800
45	Column1	0	4	0	46	1	0	HIT	34.995
46	Column1	0	4	0	47	1	0	HIT	35.560
47	Column1	0	4	0	48	1	0	HIT	35.678
48	Column1	0	5	0	49	1	0	MISS	33.974
49	Column1	0	5	0	50	1	0	HIT	33.908
50	Column1	0	5	0	51	1	0	HIT	34.590
51	Column1	0	5	0	52	1	0	HIT	34.909
52	Column1	0	5	0	53	1	0	HIT	33.996
53	Column1	0	5	0	54	1	0	HIT	35.978
54	Column1	0	5	0	55	1	0	HIT	35.128
55	Column1	0	5	0	56	1	0	HIT	33.666
56	Column1	0	5	0	57	1	0	HIT	34.321
57	Column1	0	5	0	58	1	0	HIT	34.285
58	Column1	0	5	0	59	1	0	HIT	34.724
59	Column1	0	5	0	60	1	0	HIT	34.260
60	Column1	0	6	0	61	1	0	MISS	33.994
61	Column1	0	6	0	62	1	0	HIT	33.929
62	Column1	0	6	0	63	1	0	HIT	34.732
63	Column1	0	6	0	64	1	0	HIT	33.432
64	Column1	0	6	0	65	1	0	HIT	34.948
65	Column1	0	6	0	66	1	0	HIT	34.091
66	Column1	0	6	0	67	1	0	HIT	33.658
67	Column1	0	6	0	68	1	0	HIT	33.626
68	Column1	0	6	0	69	1	0	HIT	34.558
69	Column1	0	6	0	70	1	0	HIT	34.476
70	Column1	0	6	0	71	1	0	HIT	35.089
71	Column1	0	6	0	72	1	0	HIT	34.617
72	Column1	0	7	0	73	1	0	MISS	34.906
73	Column1	0	7	0	74	1	0	HIT	33.909
74	Column1	0	7	0	75	1	0	HIT	34.062
75	Column1	0	7	0	76	1	0	HIT	34.906
76	Column1	0	7	0	77	1	0	HIT	35.536
77	Column1	0	7	0	78	1	0	HIT	34.269
78	Column1	0	7	0	79	1	0	HIT	34.526
79	Column1	0	7	0	80	1	0	HIT	33.515
80	Column1	0	7	0	81	1	0	HIT	34.907
81	Column1	0	7	0	82	1	0	HIT	34.093
82	Column1	0	7	0	83	1	0	HIT	33.570
83	Column1	0	7	0	84	1	0	HIT	33.984
84	Column1	0	8	0	85	1	0	MISS	34.910
85	Column1	0	8	0	86	1	0	HIT	33.954
86	Column1	0	8	0	87	1	0	HIT	33.264
87	Column1	0	8	0	88	1	0	HIT	34.977
88	Column1	0	8	0	89	1	0	HIT	34.906
89	Column1	0	8	0	90	1	0	HIT	34.482
90	Column1	0	8	0	91	1	0	HIT	33.979
91	Column1	0	8	0	92	1	0	HIT	33.950
92	Column1	0	8	0	93	1	0	HIT	34.584
93	Column1	0	8	0	94	1	0	HIT	33.337
94	Column1	0	8	0	95	1	0	HIT	34.628
95	Column1	0	8	0	96	1	0	HIT	34.461
