===============D e t a i l================
ID	Region	Seg_X	Seg_Y	Pos_X	Pos_Y	HD	ESL	Stat	Frame Delay
0	Column1	0	1	0	1	1	0	MISS	34.865
1	Column1	0	1	0	2	1	0	HIT	34.530
2	Column1	0	1	0	3	1	0	HIT	36.096
3	Column1	0	1	0	4	1	0	HIT	34.288
4	Column1	0	1	0	5	1	0	HIT	34.706
5	Column1	0	1	0	6	1	0	HIT	34.577
6	Column1	0	1	0	7	1	0	HIT	33.909
7	Column1	0	1	0	8	1	0	HIT	34.576
8	Column1	0	1	0	9	1	0	HIT	34.966
9	Column1	0	1	0	10	1	0	HIT	34.275
10	Column1	0	1	0	11	1	0	HIT	33.385
11	Column1	0	1	0	12	1	0	HIT	35.918
12	Column1	0	2	0	13	1	0	MISS	34.906
13	Column1	0	2	0	14	1	0	HIT	33.952
14	Column1	0	2	0	15	1	0	HIT	33.671
15	Column1	0	2	0	16	1	0	HIT	33.146
16	Column1	0	2	0	17	1	0	HIT	33.427
17	Column1	0	2	0	18	1	0	HIT	34.950
18	Column1	0	2	0	19	1	0	HIT	34.331
19	Column1	0	2	0	20	1	0	HIT	36.901
20	Column1	0	2	0	21	1	0	HIT	93.258
21	Column1	0	2	0	22	1	0	HIT	91.368
22	Column1	0	2	0	23	1	0	HIT	94.155
23	Column1	0	2	0	24	1	0	HIT	71.959
24	Column1	0	3	0	25	1	0	MISS	34.440
25	Column1	0	3	0	26	1	0	HIT	146.164
26	Column1	0	3	0	27	1	0	HIT	96.997
27	Column1	0	3	0	28	1	0	HIT	91.157
28	Column1	0	3	0	29	1	0	HIT	82.871
29	Column1	0	3	0	30	1	0	HIT	93.443
30	Column1	0	3	0	31	1	0	HIT	93.046
31	Column1	0	3	0	32	1	0	HIT	97.195
32	Column1	0	3	0	33	1	0	HIT	71.154
33	Column1	0	3	0	34	1	0	HIT	96.362
34	Column1	0	3	0	35	1	0	HIT	93.057
35	Column1	0	3	0	36	1	0	HIT	97.003
36	Column1	0	4	0	37	1	0	MISS	33.485
37	Column1	0	4	0	38	1	0	HIT	145.439
38	Column1	0	4	0	39	1	0	HIT	92.225
39	Column1	0	4	0	40	1	0	HIT	89.749
40	Column1	0	4	0	41	1	0	HIT	96.938
41	Column1	0	4	0	42	1	0	HIT	72.994
