===============D e t a i l================
ID	Region	Seg_X	Seg_Y	Pos_X	Pos_Y	HD	ESL	Stat	Frame Delay
0	Column1	0	1	0	1	1	0	MISS	34.862
1	Column1	0	1	0	2	1	0	HIT	34.651
2	Column1	0	1	0	3	1	0	HIT	33.723
3	Column1	0	1	0	4	1	0	HIT	34.266
4	Column1	0	1	0	5	1	0	HIT	34.488
5	Column1	0	1	0	6	1	0	HIT	34.907
6	Column1	0	1	0	7	1	0	HIT	34.907
7	Column1	0	1	0	8	1	0	HIT	34.908
8	Column1	0	1	0	9	1	0	HIT	34.468
9	Column1	0	1	0	10	1	0	HIT	34.480
10	Column1	0	1	0	11	1	0	HIT	33.310
11	Column1	0	1	0	12	1	0	HIT	35.372
12	Column1	0	2	0	13	1	0	MISS	33.909
13	Column1	0	2	0	14	1	0	HIT	33.845
14	Column1	0	2	0	15	1	0	HIT	33.908
15	Column1	0	2	0	16	1	0	HIT	48.944
16	Column1	0	2	0	17	1	0	HIT	35.302
17	Column1	0	2	0	18	1	0	HIT	35.038
18	Column1	0	2	0	19	1	0	HIT	35.642
19	Column1	0	2	0	20	1	0	HIT	33.611
20	Column1	0	2	0	21	1	0	HIT	76.593
21	Column1	0	2	0	22	1	0	HIT	77.301
22	Column1	0	2	0	23	1	0	HIT	89.080
23	Column1	0	2	0	24	1	0	HIT	87.372
24	Column1	0	3	0	25	1	0	MISS	34.441
25	Column1	0	3	0	26	1	0	HIT	148.160
26	Column1	0	3	0	27	1	0	HIT	97.135
27	Column1	0	3	0	28	1	0	HIT	70.246
28	Column1	0	3	0	29	1	0	HIT	80.752
29	Column1	0	3	0	30	1	0	HIT	86.894
30	Column1	0	3	0	31	1	0	HIT	108.548
31	Column1	0	3	0	32	1	0	HIT	99.305
32	Column1	0	3	0	33	1	0	HIT	68.263
33	Column1	0	3	0	34	1	0	HIT	97.249
34	Column1	0	3	0	35	1	0	HIT	69.431
35	Column1	0	3	0	36	1	0	HIT	91.758
36	Column1	0	4	0	37	1	0	MISS	33.475
37	Column1	0	4	0	38	1	0	HIT	167.843
38	Column1	0	4	0	39	1	0	HIT	78.724
39	Column1	0	4	0	40	1	0	HIT	82.863
40	Column1	0	4	0	41	1	0	HIT	88.449
41	Column1	0	4	0	42	1	0	HIT	80.898
42	Column1	0	4	0	43	1	0	HIT	121.676
43	Column1	0	4	0	44	1	0	HIT	57.834
44	Column1	0	4	0	45	1	0	HIT	97.778
45	Column1	0	4	0	46	1	0	HIT	87.913
46	Column1	0	4	0	47	1	0	HIT	81.898
47	Column1	0	4	0	48	1	0	HIT	91.181
48	Column1	0	5	0	49	1	0	MISS	33.426
49	Column1	0	5	0	50	1	0	HIT	153.722
50	Column1	0	5	0	51	1	0	HIT	70.930
51	Column1	0	5	0	52	1	0	HIT	107.912
52	Column1	0	5	0	53	1	0	HIT	76.049
53	Column1	0	5	0	54	1	0	HIT	87.488
54	Column1	0	5	0	55	1	0	HIT	73.623
55	Column1	0	5	0	56	1	0	HIT	116.169
56	Column1	0	5	0	57	1	0	HIT	59.868
57	Column1	0	5	0	58	1	0	HIT	94.166
58	Column1	0	5	0	59	1	0	HIT	89.163
59	Column1	0	5	0	60	1	0	HIT	102.413
60	Column1	0	6	0	61	1	0	MISS	35.168
61	Column1	0	6	0	62	1	0	HIT	135.768
62	Column1	0	6	0	63	1	0	HIT	76.164
63	Column1	0	6	0	64	1	0	HIT	95.412
64	Column1	0	6	0	65	1	0	HIT	86.765
65	Column1	0	6	0	66	1	0	HIT	88.944
66	Column1	0	6	0	67	1	0	HIT	95.519
67	Column1	0	6	0	68	1	0	HIT	83.808
68	Column1	0	6	0	69	1	0	HIT	95.565
69	Column1	0	6	0	70	1	0	HIT	72.753
70	Column1	0	6	0	71	1	0	HIT	82.683
71	Column1	0	6	0	72	1	0	HIT	97.051
72	Column1	0	7	0	73	1	0	MISS	33.941
73	Column1	0	7	0	74	1	0	HIT	149.603
74	Column1	0	7	0	75	1	0	HIT	91.843
75	Column1	0	7	0	76	1	0	HIT	72.258
76	Column1	0	7	0	77	1	0	HIT	71.979
77	Column1	0	7	0	78	1	0	HIT	104.175
78	Column1	0	7	0	79	1	0	HIT	96.153
79	Column1	0	7	0	80	1	0	HIT	91.367
80	Column1	0	7	0	81	1	0	HIT	110.305
81	Column1	0	7	0	82	1	0	HIT	74.601
82	Column1	0	7	0	83	1	0	HIT	71.691
83	Column1	0	7	0	84	1	0	HIT	86.084
84	Column1	0	8	0	85	1	0	MISS	37.880
85	Column1	0	8	0	86	1	0	HIT	136.857
86	Column1	0	8	0	87	1	0	HIT	98.180
87	Column1	0	8	0	88	1	0	HIT	73.137
88	Column1	0	8	0	89	1	0	HIT	79.658
