===============D e t a i l================
ID	Region	Seg_X	Seg_Y	Pos_X	Pos_Y	HD	ESL	Stat	Frame Delay
0	Column55	0	599	0	6535	1	0	MISS	33.867
1	Column55	0	599	0	6536	1	0	HIT	34.865
2	Column55	0	599	0	6537	1	0	HIT	34.894
3	Column55	0	599	0	6538	1	0	HIT	35.157
4	Column55	0	599	0	6539	1	0	HIT	34.252
5	Column55	0	599	0	6540	1	0	HIT	33.020
6	Column55	0	599	0	6541	1	0	HIT	33.733
7	Column55	0	599	0	6542	1	0	HIT	34.394
8	Column55	0	599	0	6543	1	0	HIT	34.851
9	Column55	0	599	0	6544	1	0	HIT	34.949
10	Column55	0	599	0	6545	1	0	HIT	33.024
11	Column55	0	599	0	6546	1	0	HIT	34.853
12	Column55	0	600	0	6547	1	0	MISS	33.637
13	Column55	0	600	0	6548	1	0	HIT	33.910
14	Column55	0	600	0	6549	1	0	HIT	34.060
15	Column55	0	600	0	6550	1	0	HIT	34.696
16	Column55	0	600	0	6551	1	0	HIT	34.260
17	Column55	0	600	0	6552	1	0	HIT	33.243
18	Column55	0	600	0	6553	1	0	HIT	95.541
19	Column55	0	600	0	6554	1	0	HIT	99.481
20	Column55	0	600	0	6555	1	0	HIT	98.732
21	Column55	0	600	0	6556	1	0	HIT	76.060
22	Column55	0	600	0	6557	1	0	HIT	102.286
23	Column55	0	600	0	6558	1	0	HIT	94.754
24	Column55	0	601	0	6559	1	0	MISS	34.880
25	Column55	0	601	0	6560	1	0	HIT	166.757
26	Column55	0	601	0	6561	1	0	HIT	94.526
27	Column55	0	601	0	6562	1	0	HIT	97.847
28	Column55	0	601	0	6563	1	0	HIT	94.159
29	Column55	0	601	0	6564	1	0	HIT	77.535
30	Column55	0	601	0	6565	1	0	HIT	95.432
31	Column55	0	601	0	6566	1	0	HIT	99.197
32	Column55	0	601	0	6567	1	0	HIT	96.809
33	Column55	0	601	0	6568	1	0	HIT	93.688
34	Column55	0	601	0	6569	1	0	HIT	74.531
35	Column55	0	601	0	6570	1	0	HIT	93.237
36	Column55	0	602	0	6571	1	0	MISS	34.881
37	Column55	0	602	0	6572	1	0	HIT	172.543
38	Column55	0	602	0	6573	1	0	HIT	91.534
39	Column55	0	602	0	6574	1	0	HIT	94.436
40	Column55	0	602	0	6575	1	0	HIT	98.663
41	Column55	0	602	0	6576	1	0	HIT	78.742
42	Column55	0	602	0	6577	1	0	HIT	96.555
43	Column55	0	602	0	6578	1	0	HIT	104.215
44	Column55	0	602	0	6579	1	0	HIT	96.207
45	Column55	0	602	0	6580	1	0	HIT	100.242
46	Column55	0	602	0	6581	1	0	HIT	77.286
47	Column55	0	602	0	6582	1	0	HIT	93.125
48	Column55	0	603	0	6583	1	0	MISS	33.326
49	Column55	0	603	0	6584	1	0	HIT	172.964
50	Column55	0	603	0	6585	1	0	HIT	95.964
51	Column55	0	603	0	6586	1	0	HIT	80.245
52	Column55	0	603	0	6587	1	0	HIT	96.387
53	Column55	0	603	0	6588	1	0	HIT	93.796
54	Column55	0	603	0	6589	1	0	HIT	94.472
55	Column55	0	603	0	6590	1	0	HIT	97.465
56	Column55	0	603	0	6591	1	0	HIT	92.998
57	Column55	0	603	0	6592	1	0	HIT	93.849
58	Column55	0	603	0	6593	1	0	HIT	80.183
59	Column55	0	603	0	6594	1	0	HIT	95.532
60	Column55	0	604	0	6595	1	0	MISS	34.035
