===============D e t a i l================
ID	Region	Seg_X	Seg_Y	Pos_X	Pos_Y	HD	ESL	Stat	Frame Delay
0	Column55	0	599	0	6535	1	0	MISS	33.868
1	Column55	0	599	0	6536	1	0	HIT	39.875
2	Column55	0	599	0	6537	1	0	HIT	33.647
3	Column55	0	599	0	6538	1	0	HIT	33.908
4	Column55	0	599	0	6539	1	0	HIT	34.955
5	Column55	0	599	0	6540	1	0	HIT	33.909
6	Column55	0	599	0	6541	1	0	HIT	35.548
7	Column55	0	599	0	6542	1	0	HIT	34.414
8	Column55	0	599	0	6543	1	0	HIT	34.977
9	Column55	0	599	0	6544	1	0	HIT	33.910
10	Column55	0	599	0	6545	1	0	HIT	33.951
11	Column55	0	599	0	6546	1	0	HIT	34.533
12	Column55	0	600	0	6547	1	0	MISS	34.907
13	Column55	0	600	0	6548	1	0	HIT	34.953
14	Column55	0	600	0	6549	1	0	HIT	35.519
15	Column55	0	600	0	6550	1	0	HIT	33.158
16	Column55	0	600	0	6551	1	0	HIT	34.010
17	Column55	0	600	0	6552	1	0	HIT	33.568
18	Column55	0	600	0	6553	1	0	HIT	33.909
19	Column55	0	600	0	6554	1	0	HIT	35.125
20	Column55	0	600	0	6555	1	0	HIT	34.152
21	Column55	0	600	0	6556	1	0	HIT	34.515
22	Column55	0	600	0	6557	1	0	HIT	34.486
23	Column55	0	600	0	6558	1	0	HIT	34.175
24	Column55	0	601	0	6559	1	0	MISS	34.913
25	Column55	0	601	0	6560	1	0	HIT	33.910
26	Column55	0	601	0	6561	1	0	HIT	33.909
27	Column55	0	601	0	6562	1	0	HIT	33.398
28	Column55	0	601	0	6563	1	0	HIT	33.910
29	Column55	0	601	0	6564	1	0	HIT	33.533
30	Column55	0	601	0	6565	1	0	HIT	34.085
31	Column55	0	601	0	6566	1	0	HIT	33.908
32	Column55	0	601	0	6567	1	0	HIT	34.948
33	Column55	0	601	0	6568	1	0	HIT	33.909
34	Column55	0	601	0	6569	1	0	HIT	35.980
35	Column55	0	601	0	6570	1	0	HIT	34.951
36	Column55	0	602	0	6571	1	0	MISS	35.905
37	Column55	0	602	0	6572	1	0	HIT	33.972
38	Column55	0	602	0	6573	1	0	HIT	33.951
39	Column55	0	602	0	6574	1	0	HIT	34.499
40	Column55	0	602	0	6575	1	0	HIT	34.861
41	Column55	0	602	0	6576	1	0	HIT	33.173
42	Column55	0	602	0	6577	1	0	HIT	34.724
43	Column55	0	602	0	6578	1	0	HIT	34.951
44	Column55	0	602	0	6579	1	0	HIT	33.389
45	Column55	0	602	0	6580	1	0	HIT	34.093
46	Column55	0	602	0	6581	1	0	HIT	34.978
47	Column55	0	602	0	6582	1	0	HIT	34.994
48	Column55	0	603	0	6583	1	0	MISS	33.909
49	Column55	0	603	0	6584	1	0	HIT	34.955
50	Column55	0	603	0	6585	1	0	HIT	33.910
51	Column55	0	603	0	6586	1	0	HIT	34.048
52	Column55	0	603	0	6587	1	0	HIT	34.152
53	Column55	0	603	0	6588	1	0	HIT	33.905
54	Column55	0	603	0	6589	1	0	HIT	35.260
55	Column55	0	603	0	6590	1	0	HIT	33.370
56	Column55	0	603	0	6591	1	0	HIT	34.335
57	Column55	0	603	0	6592	1	0	HIT	35.073
58	Column55	0	603	0	6593	1	0	HIT	35.058
59	Column55	0	603	0	6594	1	0	HIT	33.910
60	Column55	0	604	0	6595	1	0	MISS	34.906
61	Column55	0	604	0	6596	1	0	HIT	36.903
62	Column55	0	604	0	6597	1	0	HIT	33.984
63	Column55	0	604	0	6598	1	0	HIT	33.908
64	Column55	0	604	0	6599	1	0	HIT	34.860
65	Column55	0	604	0	6600	1	0	HIT	33.909
66	Column55	0	604	0	6601	1	0	HIT	35.046
67	Column55	0	604	0	6602	1	0	HIT	34.785
68	Column55	0	604	0	6603	1	0	HIT	33.542
69	Column55	0	604	0	6604	1	0	HIT	35.526
70	Column55	0	604	0	6605	1	0	HIT	35.365
71	Column55	0	604	0	6606	1	0	HIT	33.978
72	Column55	0	605	0	6607	1	0	MISS	33.960
73	Column55	0	605	0	6608	1	0	HIT	33.944
74	Column55	0	605	0	6609	1	0	HIT	33.420
75	Column55	0	605	0	6610	1	0	HIT	33.950
76	Column55	0	605	0	6611	1	0	HIT	34.664
77	Column55	0	605	0	6612	1	0	HIT	34.351
