===============D e t a i l================
ID	Region	Seg_X	Seg_Y	Pos_X	Pos_Y	HD	ESL	Stat	Frame Delay
0	Column1	0	1	0	1	1	0	MISS	33.867
1	Column1	0	1	0	2	1	0	HIT	33.866
2	Column1	0	1	0	3	1	0	HIT	34.617
3	Column1	0	1	0	4	1	0	HIT	34.906
4	Column1	0	1	0	5	1	0	HIT	34.907
5	Column1	0	1	0	6	1	0	HIT	34.977
6	Column1	0	1	0	7	1	0	HIT	34.458
7	Column1	0	1	0	8	1	0	HIT	34.279
8	Column1	0	1	0	9	1	0	HIT	33.616
9	Column1	0	1	0	10	1	0	HIT	33.309
10	Column1	0	1	0	11	1	0	HIT	34.961
11	Column1	0	1	0	12	1	0	HIT	33.464
12	Column1	0	2	0	13	1	0	MISS	33.979
13	Column1	0	2	0	14	1	0	HIT	33.569
14	Column1	0	2	0	15	1	0	HIT	33.944
15	Column1	0	2	0	16	1	0	HIT	34.412
16	Column1	0	2	0	17	1	0	HIT	34.510
17	Column1	0	2	0	18	1	0	HIT	34.907
18	Column1	0	2	0	19	1	0	HIT	33.927
19	Column1	0	2	0	20	1	0	HIT	34.848
20	Column1	0	2	0	21	1	0	HIT	33.378
21	Column1	0	2	0	22	1	0	HIT	36.043
22	Column1	0	2	0	23	1	0	HIT	34.498
23	Column1	0	2	0	24	1	0	HIT	34.055
24	Column1	0	3	0	25	1	0	MISS	34.907
25	Column1	0	3	0	26	1	0	HIT	34.907
26	Column1	0	3	0	27	1	0	HIT	35.265
27	Column1	0	3	0	28	1	0	HIT	32.944
28	Column1	0	3	0	29	1	0	HIT	34.906
29	Column1	0	3	0	30	1	0	HIT	33.909
30	Column1	0	3	0	31	1	0	HIT	36.195
31	Column1	0	3	0	32	1	0	HIT	34.469
32	Column1	0	3	0	33	1	0	HIT	34.908
33	Column1	0	3	0	34	1	0	HIT	34.168
34	Column1	0	3	0	35	1	0	HIT	34.649
35	Column1	0	3	0	36	1	0	HIT	34.906
36	Column1	0	4	0	37	1	0	MISS	34.907
