===============D e t a i l================
ID	Region	Seg_X	Seg_Y	Pos_X	Pos_Y	HD	ESL	Stat	Frame Delay
0	Column1	0	1	0	1	1	0	MISS	33.887
1	Column1	0	1	0	2	1	0	HIT	34.943
2	Column1	0	1	0	3	1	0	HIT	33.910
3	Column1	0	1	0	4	1	0	HIT	34.194
4	Column1	0	1	0	5	1	0	HIT	34.093
5	Column1	0	1	0	6	1	0	HIT	33.980
6	Column1	0	1	0	7	1	0	HIT	34.617
7	Column1	0	1	0	8	1	0	HIT	34.488
8	Column1	0	1	0	9	1	0	HIT	34.937
9	Column1	0	1	0	10	1	0	HIT	34.914
10	Column1	0	1	0	11	1	0	HIT	34.353
11	Column1	0	1	0	12	1	0	HIT	33.624
12	Column1	0	2	0	13	1	0	MISS	33.910
13	Column1	0	2	0	14	1	0	HIT	33.952
14	Column1	0	2	0	15	1	0	HIT	32.955
15	Column1	0	2	0	16	1	0	HIT	33.953
16	Column1	0	2	0	17	1	0	HIT	35.946
17	Column1	0	2	0	18	1	0	HIT	33.375
18	Column1	0	2	0	19	1	0	HIT	36.167
19	Column1	0	2	0	20	1	0	HIT	34.907
20	Column1	0	2	0	21	1	0	HIT	34.906
21	Column1	0	2	0	22	1	0	HIT	34.333
22	Column1	0	2	0	23	1	0	HIT	33.386
23	Column1	0	2	0	24	1	0	HIT	33.600
24	Column1	0	3	0	25	1	0	MISS	33.909
25	Column1	0	3	0	26	1	0	HIT	34.911
26	Column1	0	3	0	27	1	0	HIT	34.472
27	Column1	0	3	0	28	1	0	HIT	33.532
28	Column1	0	3	0	29	1	0	HIT	34.960
29	Column1	0	3	0	30	1	0	HIT	33.980
30	Column1	0	3	0	31	1	0	HIT	35.456
31	Column1	0	3	0	32	1	0	HIT	33.452
32	Column1	0	3	0	33	1	0	HIT	35.190
33	Column1	0	3	0	34	1	0	HIT	33.509
34	Column1	0	3	0	35	1	0	HIT	33.128
35	Column1	0	3	0	36	1	0	HIT	33.951
36	Column1	0	4	0	37	1	0	MISS	35.412
37	Column1	0	4	0	38	1	0	HIT	33.909
38	Column1	0	4	0	39	1	0	HIT	35.084
39	Column1	0	4	0	40	1	0	HIT	32.983
40	Column1	0	4	0	41	1	0	HIT	34.907
41	Column1	0	4	0	42	1	0	HIT	34.907
42	Column1	0	4	0	43	1	0	HIT	33.953
43	Column1	0	4	0	44	1	0	HIT	33.982
44	Column1	0	4	0	45	1	0	HIT	33.193
45	Column1	0	4	0	46	1	0	HIT	34.907
46	Column1	0	4	0	47	1	0	HIT	34.340
47	Column1	0	4	0	48	1	0	HIT	34.950
48	Column1	0	5	0	49	1	0	MISS	34.907
49	Column1	0	5	0	50	1	0	HIT	34.907
50	Column1	0	5	0	51	1	0	HIT	33.181
51	Column1	0	5	0	52	1	0	HIT	33.352
52	Column1	0	5	0	53	1	0	HIT	34.660
53	Column1	0	5	0	54	1	0	HIT	33.259
54	Column1	0	5	0	55	1	0	HIT	35.940
55	Column1	0	5	0	56	1	0	HIT	33.909
56	Column1	0	5	0	57	1	0	HIT	34.949
57	Column1	0	5	0	58	1	0	HIT	33.911
58	Column1	0	5	0	59	1	0	HIT	34.166
59	Column1	0	5	0	60	1	0	HIT	33.585
60	Column1	0	6	0	61	1	0	MISS	33.004
61	Column1	0	6	0	62	1	0	HIT	34.905
62	Column1	0	6	0	63	1	0	HIT	34.043
63	Column1	0	6	0	64	1	0	HIT	35.076
64	Column1	0	6	0	65	1	0	HIT	33.981
65	Column1	0	6	0	66	1	0	HIT	33.953
66	Column1	0	6	0	67	1	0	HIT	33.954
67	Column1	0	6	0	68	1	0	HIT	35.558
68	Column1	0	6	0	69	1	0	HIT	34.949
69	Column1	0	6	0	70	1	0	HIT	34.985
70	Column1	0	6	0	71	1	0	HIT	35.542
71	Column1	0	6	0	72	1	0	HIT	33.269
72	Column1	0	7	0	73	1	0	MISS	77.833
