===============D e t a i l================
ID	Region	Seg_X	Seg_Y	Pos_X	Pos_Y	HD	ESL	Stat	Frame Delay
0	Column1	0	1	0	1	1	0	MISS	32.870
1	Column1	0	1	0	2	1	0	HIT	34.907
2	Column1	0	1	0	3	1	0	HIT	34.052
3	Column1	0	1	0	4	1	0	HIT	33.282
4	Column1	0	1	0	5	1	0	HIT	34.722
5	Column1	0	1	0	6	1	0	HIT	35.016
6	Column1	0	1	0	7	1	0	HIT	34.979
7	Column1	0	1	0	8	1	0	HIT	33.459
8	Column1	0	1	0	9	1	0	HIT	33.952
9	Column1	0	1	0	10	1	0	HIT	33.845
10	Column1	0	1	0	11	1	0	HIT	34.506
11	Column1	0	1	0	12	1	0	HIT	34.557
12	Column1	0	2	0	13	1	0	MISS	33.951
13	Column1	0	2	0	14	1	0	HIT	34.011
14	Column1	0	2	0	15	1	0	HIT	35.435
15	Column1	0	2	0	16	1	0	HIT	33.343
16	Column1	0	2	0	17	1	0	HIT	33.854
17	Column1	0	2	0	18	1	0	HIT	33.980
18	Column1	0	2	0	19	1	0	HIT	33.482
19	Column1	0	2	0	20	1	0	HIT	34.268
20	Column1	0	2	0	21	1	0	HIT	35.526
21	Column1	0	2	0	22	1	0	HIT	34.517
22	Column1	0	2	0	23	1	0	HIT	34.619
23	Column1	0	2	0	24	1	0	HIT	33.928
24	Column1	0	3	0	25	1	0	MISS	33.909
25	Column1	0	3	0	26	1	0	HIT	33.933
26	Column1	0	3	0	27	1	0	HIT	35.529
27	Column1	0	3	0	28	1	0	HIT	34.620
28	Column1	0	3	0	29	1	0	HIT	34.551
29	Column1	0	3	0	30	1	0	HIT	33.396
30	Column1	0	3	0	31	1	0	HIT	34.180
31	Column1	0	3	0	32	1	0	HIT	34.101
32	Column1	0	3	0	33	1	0	HIT	33.470
33	Column1	0	3	0	34	1	0	HIT	34.907
34	Column1	0	3	0	35	1	0	HIT	33.910
35	Column1	0	3	0	36	1	0	HIT	33.198
36	Column1	0	4	0	37	1	0	MISS	33.909
37	Column1	0	4	0	38	1	0	HIT	34.906
38	Column1	0	4	0	39	1	0	HIT	34.315
39	Column1	0	4	0	40	1	0	HIT	33.864
40	Column1	0	4	0	41	1	0	HIT	33.975
41	Column1	0	4	0	42	1	0	HIT	33.373
42	Column1	0	4	0	43	1	0	HIT	33.960
43	Column1	0	4	0	44	1	0	HIT	33.698
44	Column1	0	4	0	45	1	0	HIT	33.982
45	Column1	0	4	0	46	1	0	HIT	34.064
46	Column1	0	4	0	47	1	0	HIT	33.930
47	Column1	0	4	0	48	1	0	HIT	33.125
48	Column1	0	5	0	49	1	0	MISS	34.648
49	Column1	0	5	0	50	1	0	HIT	33.718
50	Column1	0	5	0	51	1	0	HIT	35.251
51	Column1	0	5	0	52	1	0	HIT	34.206
52	Column1	0	5	0	53	1	0	HIT	34.423
53	Column1	0	5	0	54	1	0	HIT	33.953
54	Column1	0	5	0	55	1	0	HIT	33.910
55	Column1	0	5	0	56	1	0	HIT	35.039
56	Column1	0	5	0	57	1	0	HIT	33.398
57	Column1	0	5	0	58	1	0	HIT	35.425
58	Column1	0	5	0	59	1	0	HIT	33.947
59	Column1	0	5	0	60	1	0	HIT	34.563
60	Column1	0	6	0	61	1	0	MISS	32.995
61	Column1	0	6	0	62	1	0	HIT	34.906
62	Column1	0	6	0	63	1	0	HIT	34.250
63	Column1	0	6	0	64	1	0	HIT	34.960
