===============D e t a i l================
ID	Region	Seg_X	Seg_Y	Pos_X	Pos_Y	HD	ESL	Stat	Frame Delay
0	Column60	11	34	121	364	1	0	MISS	46.833
1	Column60	11	34	121	365	1	0	HIT	35.905
2	Column60	11	34	121	366	1	0	HIT	33.909
3	Column60	11	34	121	367	1	0	HIT	34.875
4	Column60	11	34	121	368	1	0	HIT	34.271
5	Column60	11	34	121	369	1	0	HIT	33.910
6	Column60	11	34	121	370	1	0	HIT	34.946
7	Column60	11	34	121	371	1	0	HIT	34.905
8	Column60	11	34	121	372	1	0	HIT	45.921
9	Column60	11	34	121	373	1	0	HIT	33.910
10	Column60	11	34	121	374	1	0	HIT	34.022
11	Column60	11	34	121	375	1	0	HIT	33.996
12	Column60	11	35	121	376	1	0	MISS	34.908
13	Column60	11	35	121	377	1	0	HIT	34.414
14	Column60	11	35	121	378	1	0	HIT	34.951
15	Column60	11	35	121	379	1	0	HIT	35.255
16	Column60	11	35	121	380	1	0	HIT	33.460
17	Column60	11	35	121	381	1	0	HIT	34.950
18	Column60	11	35	121	382	1	0	HIT	34.908
19	Column60	11	35	121	383	1	0	HIT	38.894
20	Column60	11	35	121	384	1	0	HIT	41.890
21	Column60	11	35	121	385	1	0	HIT	33.805
22	Column60	11	35	121	386	1	0	HIT	34.954
23	Column60	11	35	121	387	1	0	HIT	93.271
24	Column60	11	36	121	388	1	0	MISS	33.887
25	Column60	11	36	121	389	1	0	HIT	148.860
26	Column60	11	36	121	390	1	0	HIT	72.813
27	Column60	11	36	121	391	1	0	HIT	105.761
28	Column60	11	36	121	392	1	0	HIT	65.926
29	Column60	11	36	121	393	1	0	HIT	77.795
30	Column60	11	36	121	394	1	0	HIT	101.728
31	Column60	11	36	121	395	1	0	HIT	55.852
32	Column60	11	36	121	396	1	0	HIT	111.254
33	Column60	11	36	121	397	1	0	HIT	81.823
34	Column60	11	36	121	398	1	0	HIT	78.007
35	Column60	11	36	121	399	1	0	HIT	94.482
36	Column60	11	37	121	400	1	0	MISS	34.018
37	Column60	11	37	121	401	1	0	HIT	136.715
38	Column60	11	37	121	402	1	0	HIT	83.785
39	Column60	11	37	121	403	1	0	HIT	81.785
40	Column60	11	37	121	404	1	0	HIT	70.902
41	Column60	11	37	121	405	1	0	HIT	116.245
42	Column60	11	37	121	406	1	0	HIT	57.999
43	Column60	11	37	121	407	1	0	HIT	91.227
44	Column60	11	37	121	408	1	0	HIT	85.770
45	Column60	11	37	121	409	1	0	HIT	92.828
46	Column60	11	37	121	410	1	0	HIT	69.944
47	Column60	11	37	121	411	1	0	HIT	75.903
48	Column60	11	38	121	412	1	0	MISS	33.948
49	Column60	11	38	121	413	1	0	HIT	348.485
50	Column60	11	38	121	414	1	0	HIT	387.181
51	Column60	11	38	121	415	1	0	HIT	33.966
52	Column60	11	38	121	416	1	0	HIT	33.062
53	Column60	11	38	121	417	1	0	HIT	34.907
54	Column60	11	38	121	418	1	0	HIT	53.030
55	Column60	11	38	121	419	1	0	HIT	33.907
56	Column60	11	38	121	420	1	0	HIT	141.407
57	Column60	11	38	121	421	1	0	HIT	32.993
58	Column60	11	38	121	422	1	0	HIT	34.907
59	Column60	11	38	121	423	1	0	HIT	34.907
60	Column60	11	39	121	424	1	0	MISS	33.909
61	Column60	11	39	121	425	1	0	HIT	34.906
62	Column60	11	39	121	426	1	0	HIT	73.222
63	Column60	11	39	121	427	1	0	HIT	106.724
64	Column60	11	39	121	428	1	0	HIT	79.785
65	Column60	11	39	121	429	1	0	HIT	106.279
66	Column60	11	39	121	430	1	0	HIT	35.913
67	Column60	11	39	121	431	1	0	HIT	115.692
68	Column60	11	39	121	432	1	0	HIT	76.197
69	Column60	11	39	121	433	1	0	HIT	67.919
70	Column60	11	39	121	434	1	0	HIT	100.730
71	Column60	11	39	121	435	1	0	HIT	92.938
72	Column60	11	40	121	436	1	0	MISS	34.906
73	Column60	11	40	121	437	1	0	HIT	133.089
74	Column60	11	40	121	438	1	0	HIT	94.978
75	Column60	11	40	121	439	1	0	HIT	69.941
76	Column60	11	40	121	440	1	0	HIT	88.965
77	Column60	11	40	121	441	1	0	HIT	87.717
78	Column60	11	40	121	442	1	0	HIT	70.601
79	Column60	11	40	121	443	1	0	HIT	82.449
80	Column60	11	40	121	444	1	0	HIT	99.347
81	Column60	11	40	121	445	1	0	HIT	94.820
82	Column60	11	40	121	446	1	0	HIT	65.824
83	Column60	11	40	121	447	1	0	HIT	119.684
84	Column60	11	41	121	448	1	0	MISS	33.909
85	Column60	11	41	121	449	1	0	HIT	146.141
86	Column60	11	41	121	450	1	0	HIT	51.907
87	Column60	11	41	121	451	1	0	HIT	73.804
88	Column60	11	41	121	452	1	0	HIT	90.798
89	Column60	11	41	121	453	1	0	HIT	94.125
90	Column60	11	41	121	454	1	0	HIT	72.837
91	Column60	11	41	121	455	1	0	HIT	92.903
92	Column60	11	41	121	456	1	0	HIT	92.758
93	Column60	11	41	121	457	1	0	HIT	76.795
94	Column60	11	41	121	458	1	0	HIT	83.779
95	Column60	11	41	121	459	1	0	HIT	82.515
96	Column60	11	42	121	460	1	0	MISS	33.910
97	Column60	11	42	121	461	1	0	HIT	149.628
98	Column60	11	42	121	462	1	0	HIT	112.699
99	Column60	11	42	121	463	1	0	HIT	65.824
100	Column60	11	42	121	464	1	0	HIT	59.093
101	Column60	11	42	121	465	1	0	HIT	88.994
102	Column60	11	42	121	466	1	0	HIT	95.795
103	Column60	11	42	121	467	1	0	HIT	92.795
104	Column60	11	42	121	468	1	0	HIT	74.910
105	Column60	11	42	121	469	1	0	HIT	113.861
106	Column60	11	42	121	470	1	0	HIT	59.843
107	Column60	11	42	121	471	1	0	HIT	72.831
108	Column60	11	43	121	472	1	0	MISS	33.982
109	Column60	11	43	121	473	1	0	HIT	152.101
110	Column60	11	43	121	474	1	0	HIT	75.838
111	Column60	11	43	121	475	1	0	HIT	90.160
112	Column60	11	43	121	476	1	0	HIT	88.081
113	Column60	11	43	121	477	1	0	HIT	77.193
114	Column60	11	43	121	478	1	0	HIT	74.292
115	Column60	11	43	121	479	1	0	HIT	98.650
116	Column60	11	43	121	480	1	0	HIT	100.590
117	Column60	11	43	121	481	1	0	HIT	61.348
118	Column60	11	43	121	482	1	0	HIT	103.583
119	Column60	11	43	121	483	1	0	HIT	97.815
120	Row313	10	44	120	484	0	0	MISS	33.943
121	Row313	10	44	119	484	0	0	HIT	119.782
122	Row313	10	44	118	484	0	0	HIT	68.858
123	Row313	10	44	117	484	0	0	HIT	89.815
124	Row313	10	44	116	484	0	0	HIT	90.300
125	Row313	10	44	115	484	0	0	HIT	59.839
126	Row313	10	44	114	484	0	0	HIT	89.910
127	Row313	10	44	113	484	0	0	HIT	74.916
128	Row313	10	44	112	484	0	0	HIT	76.904
129	Row313	10	44	111	484	0	0	HIT	91.355
130	Row313	10	44	110	484	0	0	HIT	93.718
131	Row313	10	44	109	484	0	0	HIT	58.920
132	Row313	9	44	108	484	0	0	MISS	34.905
133	Row313	9	44	107	484	0	0	HIT	116.357
134	Row313	9	44	106	484	0	0	HIT	84.505
135	Row313	9	44	105	484	0	0	HIT	70.812
136	Row313	9	44	104	484	0	0	HIT	78.871
137	Row313	9	44	103	484	0	0	HIT	93.273
138	Row313	9	44	102	484	0	0	HIT	67.819
139	Row313	9	44	101	484	0	0	HIT	72.874
140	Row313	9	44	100	484	0	0	HIT	120.314
141	Row313	9	44	99	484	0	0	HIT	46.875
142	Row313	9	44	98	484	0	0	HIT	94.803
143	Row313	9	44	97	484	0	0	HIT	65.871
144	Row313	8	44	96	484	0	0	MISS	33.419
145	Row313	8	44	95	484	0	0	HIT	153.683
146	Row313	8	44	94	484	0	0	HIT	54.854
147	Row313	8	44	93	484	0	0	HIT	99.867
148	Row313	8	44	92	484	0	0	HIT	65.825
149	Row313	8	44	91	484	0	0	HIT	73.993
150	Row313	8	44	90	484	0	0	HIT	89.797
151	Row313	8	44	89	484	0	0	HIT	77.791
152	Row313	8	44	88	484	0	0	HIT	87.755
153	Row313	8	44	87	484	0	0	HIT	74.104
154	Row313	8	44	86	484	0	0	HIT	111.738
155	Row313	8	44	85	484	0	0	HIT	57.891
156	Row313	7	44	84	484	0	0	MISS	33.909
157	Row313	7	44	83	484	0	0	HIT	127.706
158	Row313	7	44	82	484	0	0	HIT	73.346
159	Row313	7	44	81	484	0	0	HIT	71.851
160	Row313	7	44	80	484	0	0	HIT	75.854
161	Row313	7	44	79	484	0	0	HIT	94.790
162	Row313	7	44	78	484	0	0	HIT	71.857
163	Row313	7	44	77	484	0	0	HIT	89.949
164	Row313	7	44	76	484	0	0	HIT	69.809
165	Row313	7	44	75	484	0	0	HIT	71.850
166	Row313	7	44	74	484	0	0	HIT	109.705
167	Row313	7	44	73	484	0	0	HIT	58.846
168	Row313	6	44	72	484	0	0	MISS	33.939
169	Row313	6	44	71	484	0	0	HIT	146.246
170	Row313	6	44	70	484	0	0	HIT	76.837
171	Row313	6	44	69	484	0	0	HIT	74.413
172	Row313	6	44	68	484	0	0	HIT	78.108
173	Row313	6	44	67	484	0	0	HIT	59.138
174	Row313	6	44	66	484	0	0	HIT	88.804
175	Row313	6	44	65	484	0	0	HIT	81.783
176	Row313	6	44	64	484	0	0	HIT	72.807
177	Row313	6	44	63	484	0	0	HIT	87.909
178	Row313	6	44	62	484	0	0	HIT	76.797
179	Row313	6	44	61	484	0	0	HIT	87.111
180	Row313	5	44	60	484	0	0	MISS	34.956
181	Row313	5	44	59	484	0	0	HIT	132.718
182	Row313	5	44	58	484	0	0	HIT	67.853
183	Row313	5	44	57	484	0	0	HIT	74.955
184	Row313	5	44	56	484	0	0	HIT	93.059
185	Row313	5	44	55	484	0	0	HIT	77.584
186	Row313	5	44	54	484	0	0	HIT	70.309
187	Row313	5	44	53	484	0	0	HIT	101.063
188	Row313	5	44	52	484	0	0	HIT	76.343
189	Row313	5	44	51	484	0	0	HIT	71.349
190	Row313	5	44	50	484	0	0	HIT	87.768
191	Row313	5	44	49	484	0	0	HIT	59.113
192	Row313	4	44	48	484	0	0	MISS	35.457
193	Row313	4	44	47	484	0	0	HIT	127.854
194	Row313	4	44	46	484	0	0	HIT	74.671
195	Row313	4	44	45	484	0	0	HIT	79.360
196	Row313	4	44	44	484	0	0	HIT	96.317
197	Row313	4	44	43	484	0	0	HIT	74.310
198	Row313	4	44	42	484	0	0	HIT	69.816
199	Row313	4	44	41	484	0	0	HIT	115.722
200	Row313	4	44	40	484	0	0	HIT	53.898
201	Row313	4	44	39	484	0	0	HIT	79.068
202	Row313	4	44	38	484	0	0	HIT	79.873
203	Row313	4	44	37	484	0	0	HIT	88.255
204	Row313	3	44	36	484	0	0	MISS	34.949
205	Row313	3	44	35	484	0	0	HIT	127.789
206	Row313	3	44	34	484	0	0	HIT	71.905
207	Row313	3	44	33	484	0	0	HIT	99.761
208	Row313	3	44	32	484	0	0	HIT	77.082
209	Row313	3	44	31	484	0	0	HIT	73.573
210	Row313	3	44	30	484	0	0	HIT	115.971
211	Row313	3	44	29	484	0	0	HIT	61.836
