===============D e t a i l================
ID	Region	Seg_X	Seg_Y	Pos_X	Pos_Y	HD	ESL	Stat	Frame Delay
0	Column60	11	34	121	364	1	0	MISS	33.911
1	Column60	11	34	121	365	1	0	HIT	33.867
2	Column60	11	34	121	366	1	0	HIT	34.336
3	Column60	11	34	121	367	1	0	HIT	33.205
4	Column60	11	34	121	368	1	0	HIT	33.338
5	Column60	11	34	121	369	1	0	HIT	33.576
6	Column60	11	34	121	370	1	0	HIT	33.315
7	Column60	11	34	121	371	1	0	HIT	34.153
8	Column60	11	34	121	372	1	0	HIT	33.952
9	Column60	11	34	121	373	1	0	HIT	34.846
10	Column60	11	34	121	374	1	0	HIT	32.996
11	Column60	11	34	121	375	1	0	HIT	35.276
12	Column60	11	35	121	376	1	0	MISS	33.956
13	Column60	11	35	121	377	1	0	HIT	33.158
14	Column60	11	35	121	378	1	0	HIT	33.913
15	Column60	11	35	121	379	1	0	HIT	34.955
16	Column60	11	35	121	380	1	0	HIT	34.949
17	Column60	11	35	121	381	1	0	HIT	33.196
18	Column60	11	35	121	382	1	0	HIT	34.753
19	Column60	11	35	121	383	1	0	HIT	34.310
20	Column60	11	35	121	384	1	0	HIT	33.982
21	Column60	11	35	121	385	1	0	HIT	33.141
22	Column60	11	35	121	386	1	0	HIT	33.503
23	Column60	11	35	121	387	1	0	HIT	33.521
24	Column60	11	36	121	388	1	0	MISS	33.425
25	Column60	11	36	121	389	1	0	HIT	34.460
26	Column60	11	36	121	390	1	0	HIT	33.909
27	Column60	11	36	121	391	1	0	HIT	34.825
28	Column60	11	36	121	392	1	0	HIT	34.337
29	Column60	11	36	121	393	1	0	HIT	34.081
30	Column60	11	36	121	394	1	0	HIT	32.549
31	Column60	11	36	121	395	1	0	HIT	34.978
32	Column60	11	36	121	396	1	0	HIT	34.284
33	Column60	11	36	121	397	1	0	HIT	34.364
34	Column60	11	36	121	398	1	0	HIT	35.365
35	Column60	11	36	121	399	1	0	HIT	33.958
36	Column60	11	37	121	400	1	0	MISS	34.421
37	Column60	11	37	121	401	1	0	HIT	34.906
38	Column60	11	37	121	402	1	0	HIT	35.187
39	Column60	11	37	121	403	1	0	HIT	34.657
40	Column60	11	37	121	404	1	0	HIT	33.952
41	Column60	11	37	121	405	1	0	HIT	35.243
42	Column60	11	37	121	406	1	0	HIT	34.907
43	Column60	11	37	121	407	1	0	HIT	33.909
44	Column60	11	37	121	408	1	0	HIT	34.539
45	Column60	11	37	121	409	1	0	HIT	33.591
46	Column60	11	37	121	410	1	0	HIT	33.742
47	Column60	11	37	121	411	1	0	HIT	35.098
48	Column60	11	38	121	412	1	0	MISS	34.906
49	Column60	11	38	121	413	1	0	HIT	33.910
50	Column60	11	38	121	414	1	0	HIT	34.908
51	Column60	11	38	121	415	1	0	HIT	34.032
52	Column60	11	38	121	416	1	0	HIT	34.183
53	Column60	11	38	121	417	1	0	HIT	33.819
54	Column60	11	38	121	418	1	0	HIT	34.907
55	Column60	11	38	121	419	1	0	HIT	33.548
56	Column60	11	38	121	420	1	0	HIT	33.911
57	Column60	11	38	121	421	1	0	HIT	34.271
58	Column60	11	38	121	422	1	0	HIT	34.975
59	Column60	11	38	121	423	1	0	HIT	33.910
60	Column60	11	39	121	424	1	0	MISS	33.954
61	Column60	11	39	121	425	1	0	HIT	33.914
62	Column60	11	39	121	426	1	0	HIT	33.952
63	Column60	11	39	121	427	1	0	HIT	34.539
64	Column60	11	39	121	428	1	0	HIT	34.749
65	Column60	11	39	121	429	1	0	HIT	34.204
66	Column60	11	39	121	430	1	0	HIT	33.952
67	Column60	11	39	121	431	1	0	HIT	34.409
68	Column60	11	39	121	432	1	0	HIT	34.741
69	Column60	11	39	121	433	1	0	HIT	33.568
70	Column60	11	39	121	434	1	0	HIT	33.909
71	Column60	11	39	121	435	1	0	HIT	34.089
72	Column60	11	40	121	436	1	0	MISS	33.911
73	Column60	11	40	121	437	1	0	HIT	34.906
74	Column60	11	40	121	438	1	0	HIT	33.316
