===============D e t a i l================
ID	Region	Seg_X	Seg_Y	Pos_X	Pos_Y	HD	ESL	Stat	Frame Delay
0	Column1	0	1	0	1	1	0	MISS	34.865
1	Column1	0	1	0	2	1	0	HIT	306.230
2	Column1	0	1	0	3	1	0	HIT	35.052
3	Column1	0	1	0	4	1	0	HIT	34.955
4	Column1	0	1	0	5	1	0	HIT	33.908
5	Column1	0	1	0	6	1	0	HIT	33.960
6	Column1	0	1	0	7	1	0	HIT	78.532
7	Column1	0	1	0	8	1	0	HIT	63.766
8	Column1	0	1	0	9	1	0	HIT	103.688
9	Column1	0	1	0	10	1	0	HIT	73.856
10	Column1	0	1	0	11	1	0	HIT	86.812
11	Column1	0	1	0	12	1	0	HIT	79.779
12	Column1	0	2	0	13	1	0	MISS	35.459
13	Column1	0	2	0	14	1	0	HIT	90.759
14	Column1	0	2	0	15	1	0	HIT	60.839
15	Column1	0	2	0	16	1	0	HIT	51.862
16	Column1	0	2	0	17	1	0	HIT	58.844
17	Column1	0	2	0	18	1	0	HIT	73.356
18	Column1	0	2	0	19	1	0	HIT	75.797
19	Column1	0	2	0	20	1	0	HIT	89.760
20	Column1	0	2	0	21	1	0	HIT	84.775
21	Column1	0	2	0	22	1	0	HIT	133.857
22	Column1	0	2	0	23	1	0	HIT	119.346
23	Column1	0	2	0	24	1	0	HIT	90.269
24	Column1	0	3	0	25	1	0	MISS	33.952
25	Column1	0	3	0	26	1	0	HIT	201.463
26	Column1	0	3	0	27	1	0	HIT	109.707
27	Column1	0	3	0	28	1	0	HIT	76.794
28	Column1	0	3	0	29	1	0	HIT	111.704
29	Column1	0	3	0	30	1	0	HIT	58.843
30	Column1	0	3	0	31	1	0	HIT	106.720
31	Column1	0	3	0	32	1	0	HIT	115.325
32	Column1	0	3	0	33	1	0	HIT	47.884
33	Column1	0	3	0	34	1	0	HIT	48.868
34	Column1	0	3	0	35	1	0	HIT	64.341
35	Column1	0	3	0	36	1	0	HIT	40.936
36	Column1	0	4	0	37	1	0	MISS	33.750
37	Column1	0	4	0	38	1	0	HIT	120.231
38	Column1	0	4	0	39	1	0	HIT	48.464
